,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,PGL.DCE,20230511,4521.0,4510.0,4499.0,4530.0,4423.0,4494.0,4488.0,-16.0,-22.0,63.0,565.57,736.0,,,,,,
1,PGL.DCE,20230510,4488.0,4480.0,4509.0,4530.0,4458.0,4521.0,4510.0,41.0,30.0,64.0,577.34,746.0,,,,27.0,,
2,PGL.DCE,20230509,4339.0,4442.0,4368.0,4540.0,4368.0,4488.0,4480.0,46.0,38.0,101.0,905.13,757.0,,,,33.0,,
3,PGL.DCE,20230508,4361.0,4400.0,4337.0,4555.0,4330.0,4339.0,4442.0,-61.0,42.0,161.0,1430.54,757.0,,,,149.0,,
4,PGL.DCE,20230505,4430.0,4446.0,4446.0,4557.0,4283.0,4361.0,4400.0,-85.0,-46.0,742.0,6529.6,799.0,,,,22.0,,
5,PGL.DCE,20230504,4564.0,4546.0,4614.0,4614.0,4305.0,4430.0,4446.0,-116.0,-100.0,145.0,1289.47,861.0,,,,69.0,,
6,PGL.DCE,20230428,4582.0,4662.0,4590.0,4835.0,4476.0,4564.0,4546.0,-98.0,-116.0,6220.0,56562.79,1147.0,,,,134.0,,
7,PGL.DCE,20230427,4733.0,4763.0,4712.0,4712.0,4573.0,4582.0,4662.0,-181.0,-101.0,3514.0,32767.28,3289.0,,,,18.0,,
8,PGL.DCE,20230426,4692.0,4777.0,4777.0,4789.0,4711.0,4733.0,4763.0,-44.0,-14.0,5664.0,53961.33,5361.0,,,,151.0,,
9,PGL.DCE,20230425,4688.0,4688.0,,,,4692.0,4692.0,4.0,4.0,0.0,0.0,0.0,,,,41.0,,
10,PGL.DCE,20230424,4688.0,4688.0,,,,4688.0,4688.0,0.0,0.0,0.0,0.0,1448.0,,4494.0,194.0,4.0,648.0,0.2993827160493827
11,PGL.DCE,20230421,4688.0,4688.0,,,,4688.0,4688.0,0.0,0.0,0.0,0.0,1448.0,,4521.0,167.0,0.0,621.0,0.2689210950080515
12,PGL.DCE,20230420,4698.0,4698.0,,,,4688.0,4688.0,-10.0,-10.0,0.0,0.0,2448.0,,4488.0,200.0,0.0,588.0,0.3401360544217687
13,PGL.DCE,20230419,4633.0,4698.0,,,,4698.0,4698.0,0.0,0.0,0.0,0.0,2448.0,,4339.0,359.0,10.0,449.0,0.799554565701559
14,PGL.DCE,20230418,4706.0,4706.0,4748.0,4755.0,4633.0,4633.0,4698.0,-73.0,-8.0,28.0,263.12,2448.0,,4361.0,272.0,65.0,492.0,0.5528455284552846
15,PGL.DCE,20230417,4729.0,4706.0,,,,4706.0,4706.0,0.0,0.0,0.0,0.0,2773.0,,4430.0,276.0,73.0,496.0,0.5564516129032258
16,PGL.DCE,20230414,4740.0,4723.0,4699.0,4729.0,4694.0,4729.0,4706.0,6.0,-17.0,20.0,188.27,2773.0,,4564.0,165.0,23.0,385.0,0.42857142857142855
17,PGL.DCE,20230413,4587.0,4601.0,4680.0,4740.0,4680.0,4740.0,4723.0,139.0,122.0,10.0,94.46,2773.0,,4582.0,158.0,11.0,378.0,0.41798941798941797
18,PGL.DCE,20230412,4633.0,4633.0,4587.0,4587.0,4587.0,4587.0,4601.0,-46.0,-32.0,8.0,73.62,2773.0,,4733.0,146.0,153.0,380.0,0.38421052631578945
19,PGL.DCE,20230411,4633.0,4633.0,,,,4633.0,4633.0,0.0,0.0,0.0,0.0,2773.0,,4692.0,59.0,46.0,385.0,0.15324675324675324
20,PGL.DCE,20230410,4633.0,4633.0,,,,4633.0,4633.0,0.0,0.0,0.0,0.0,2773.0,,4688.0,55.0,0.0,381.0,0.14435695538057744
21,PGL.DCE,20230407,4650.0,4633.0,,,,4633.0,4633.0,0.0,0.0,0.0,0.0,2773.0,,4688.0,55.0,0.0,381.0,0.14435695538057744
22,PGL.DCE,20230406,4637.0,4674.0,4597.0,4650.0,4597.0,4650.0,4633.0,-24.0,-41.0,20.0,185.34,2773.0,,4688.0,38.0,17.0,398.0,0.09547738693467336
23,PGL.DCE,20230404,4641.0,4573.0,4666.0,4700.0,4637.0,4637.0,4674.0,64.0,101.0,20.0,186.97,2786.0,,4698.0,61.0,13.0,401.0,0.15211970074812967
24,PGL.DCE,20230403,4495.0,4559.0,4559.0,4660.0,4481.0,4641.0,4573.0,82.0,14.0,373.0,3411.67,2787.0,,4633.0,8.0,4.0,340.0,0.023529411764705882
25,PGL.DCE,20230331,4569.0,4579.0,4579.0,4598.0,4495.0,4495.0,4559.0,-84.0,-20.0,2792.0,25459.7,3121.0,,4706.0,211.0,146.0,413.0,0.5108958837772397
26,PGL.DCE,20230330,4592.0,4580.0,4608.0,4616.0,4544.0,4569.0,4579.0,-11.0,-1.0,2546.0,23321.09,4540.0,,4729.0,160.0,74.0,464.0,0.3448275862068966
27,PGL.DCE,20230329,4779.0,4600.0,4600.0,4614.0,4501.0,4592.0,4580.0,-8.0,-20.0,3053.0,27967.29,5594.0,,4740.0,148.0,23.0,476.0,0.31092436974789917
28,PGL.DCE,20230328,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,0.0,,4587.0,192.0,187.0,510.0,0.3764705882352941
29,PGL.DCE,20230327,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,15.0,,4633.0,146.0,0.0,464.0,0.3146551724137931
30,PGL.DCE,20230324,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4633.0,146.0,0.0,464.0,0.3146551724137931
31,PGL.DCE,20230323,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4633.0,146.0,0.0,464.0,0.3146551724137931
32,PGL.DCE,20230322,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4650.0,129.0,0.0,447.0,0.28859060402684567
33,PGL.DCE,20230321,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4637.0,142.0,0.0,434.0,0.3271889400921659
34,PGL.DCE,20230320,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4641.0,138.0,0.0,430.0,0.3209302325581395
35,PGL.DCE,20230317,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4495.0,284.0,0.0,284.0,1.0
36,PGL.DCE,20230316,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4569.0,210.0,0.0,210.0,1.0
37,PGL.DCE,20230315,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4592.0,187.0,0.0,187.0,1.0
38,PGL.DCE,20230314,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4779.0,0.0,0.0,0.0,
39,PGL.DCE,20230313,4779.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4779.0,0.0,0.0,0.0,
40,PGL.DCE,20230310,4800.0,4779.0,,,,4779.0,4779.0,0.0,0.0,0.0,0.0,47.0,,4779.0,0.0,0.0,0.0,
41,PGL.DCE,20230309,4819.0,4818.0,4798.0,4999.0,4700.0,4800.0,4779.0,-18.0,-39.0,12.0,114.7,47.0,,4779.0,21.0,21.0,21.0,1.0
42,PGL.DCE,20230308,4828.0,4828.0,4818.0,4820.0,4817.0,4819.0,4818.0,-9.0,-10.0,29.0,279.47,67.0,,4779.0,40.0,19.0,40.0,1.0
43,PGL.DCE,20230307,4750.0,4813.0,4828.0,4828.0,4828.0,4828.0,4828.0,15.0,15.0,8.0,77.25,96.0,,4779.0,49.0,9.0,49.0,1.0
44,PGL.DCE,20230306,4818.0,4805.0,4819.0,4836.0,4750.0,4750.0,4813.0,-55.0,8.0,89.0,856.74,104.0,,4779.0,29.0,78.0,127.0,0.2283464566929134
45,PGL.DCE,20230303,4782.0,4782.0,4796.0,4818.0,4796.0,4818.0,4805.0,36.0,23.0,40.0,384.4,560.0,,4779.0,39.0,68.0,195.0,0.2
46,PGL.DCE,20230302,4780.0,4679.0,4780.0,4870.0,4726.0,4782.0,4782.0,103.0,103.0,200.0,1912.93,600.0,,4779.0,3.0,36.0,231.0,0.012987012987012988
47,PGL.DCE,20230301,4642.0,4632.0,4636.0,4780.0,4636.0,4780.0,4679.0,148.0,47.0,578.0,5409.24,766.0,,4779.0,1.0,2.0,233.0,0.004291845493562232
48,PGL.DCE,20230228,4662.0,4637.0,4662.0,4689.0,4584.0,4642.0,4632.0,5.0,-5.0,9392.0,87011.18,1335.0,,4779.0,137.0,138.0,371.0,0.3692722371967655
49,PGL.DCE,20230227,4666.0,4553.0,4670.0,4698.0,4586.0,4662.0,4637.0,109.0,84.0,14354.0,133145.85,7901.0,,4779.0,117.0,20.0,391.0,0.29923273657289
50,PGL.DCE,20230224,4969.0,4528.0,4450.0,4671.0,4420.0,4666.0,4553.0,138.0,25.0,29954.0,272803.35,10232.0,,4779.0,113.0,4.0,395.0,0.28607594936708863
51,PGL.DCE,20230223,4762.0,4762.0,,,,4969.0,4969.0,207.0,207.0,0.0,0.0,0.0,,4800.0,169.0,303.0,677.0,0.24963072378138848
52,PGL.DCE,20230222,4762.0,4762.0,,,,4762.0,4762.0,0.0,0.0,0.0,0.0,499.0,,4819.0,57.0,207.0,865.0,0.06589595375722543
53,PGL.DCE,20230221,4762.0,4762.0,,,,4762.0,4762.0,0.0,0.0,0.0,0.0,499.0,,4828.0,66.0,0.0,856.0,0.07710280373831775
54,PGL.DCE,20230220,4762.0,4762.0,,,,4762.0,4762.0,0.0,0.0,0.0,0.0,501.0,,4750.0,12.0,0.0,778.0,0.015424164524421594
55,PGL.DCE,20230217,4900.0,4762.0,,,,4762.0,4762.0,0.0,0.0,0.0,0.0,501.0,,4818.0,56.0,0.0,710.0,0.07887323943661972
56,PGL.DCE,20230216,4766.0,4766.0,4624.0,4900.0,4624.0,4900.0,4762.0,134.0,-4.0,2.0,19.05,501.0,,4782.0,118.0,138.0,812.0,0.14532019704433496
57,PGL.DCE,20230215,5100.0,5100.0,4766.0,4766.0,4766.0,4766.0,4766.0,-334.0,-334.0,11.0,104.85,502.0,,4780.0,14.0,134.0,944.0,0.014830508474576272
58,PGL.DCE,20230214,5122.0,5136.0,5100.0,5100.0,5100.0,5100.0,5100.0,-36.0,-36.0,14.0,142.8,503.0,,4642.0,458.0,334.0,1140.0,0.4017543859649123
59,PGL.DCE,20230213,5222.0,5222.0,5146.0,5146.0,5122.0,5122.0,5136.0,-100.0,-86.0,5.0,51.36,513.0,,4662.0,460.0,22.0,1142.0,0.4028021015761821
60,PGL.DCE,20230210,5222.0,5222.0,,,,5222.0,5222.0,0.0,0.0,0.0,0.0,518.0,,4666.0,556.0,100.0,1238.0,0.4491114701130856
61,PGL.DCE,20230209,5100.0,5100.0,5222.0,5222.0,5222.0,5222.0,5222.0,122.0,122.0,2.0,20.89,518.0,,4969.0,253.0,0.0,935.0,0.27058823529411763
62,PGL.DCE,20230208,5100.0,5067.0,,,,5100.0,5100.0,33.0,33.0,0.0,0.0,520.0,,4762.0,338.0,122.0,850.0,0.3976470588235294
63,PGL.DCE,20230207,5335.0,5334.0,4936.0,5100.0,4936.0,5100.0,5067.0,-234.0,-267.0,5.0,50.67,520.0,,4762.0,338.0,0.0,850.0,0.3976470588235294
64,PGL.DCE,20230206,5185.0,5184.0,5332.0,5335.0,5331.0,5335.0,5334.0,151.0,150.0,517.0,5516.25,524.0,,4762.0,573.0,235.0,1085.0,0.528110599078341
65,PGL.DCE,20230203,5253.0,5235.0,5180.0,5185.0,5180.0,5185.0,5184.0,-50.0,-51.0,47.0,487.3,699.0,,4762.0,423.0,150.0,1235.0,0.3425101214574899
66,PGL.DCE,20230202,5254.0,5218.0,5231.0,5253.0,5225.0,5253.0,5235.0,35.0,17.0,340.0,3559.81,746.0,,4900.0,353.0,68.0,1165.0,0.30300429184549355
67,PGL.DCE,20230201,5300.0,5270.0,5270.0,5273.0,5113.0,5254.0,5218.0,-16.0,-52.0,1090.0,11375.64,1086.0,,4766.0,488.0,1.0,1032.0,0.4728682170542636
68,PGL.DCE,20230131,5227.0,5225.0,5230.0,5324.0,5211.0,5300.0,5270.0,75.0,45.0,7561.0,79694.37,2156.0,,5100.0,200.0,46.0,744.0,0.26881720430107525
69,PGL.DCE,20230130,5022.0,4898.0,5293.0,5293.0,5170.0,5227.0,5225.0,329.0,327.0,4555.0,47606.49,6373.0,,5122.0,105.0,73.0,795.0,0.1320754716981132
70,PGL.DCE,20230120,4299.0,4786.0,4850.0,5024.0,4818.0,5022.0,4898.0,236.0,112.0,11119.0,108936.44,7671.0,,5222.0,200.0,205.0,900.0,0.2222222222222222
