,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,V.DCE,20230511,5889.0,5901.0,5895.0,5902.0,5834.0,5836.0,5869.0,-65.0,-32.0,874027.0,2564924.14,847441.0,,,,,,
1,V.DCE,20230510,5943.0,5969.0,5925.0,5940.0,5873.0,5889.0,5901.0,-80.0,-68.0,813042.0,2399025.64,833331.0,,,,53.0,,
2,V.DCE,20230509,5987.0,5952.0,5991.0,6012.0,5934.0,5943.0,5969.0,-9.0,17.0,722400.0,2156163.1,785097.0,,,,54.0,,
3,V.DCE,20230508,5919.0,5910.0,5915.0,5992.0,5905.0,5987.0,5952.0,77.0,42.0,848528.0,2525516.93,776977.0,,,,44.0,,
4,V.DCE,20230505,5987.0,5974.0,5980.0,5983.0,5863.0,5919.0,5910.0,-55.0,-64.0,817037.0,2414516.33,785617.0,,,,68.0,,
5,V.DCE,20230504,6025.0,6009.0,5960.0,6048.0,5886.0,5987.0,5974.0,-22.0,-35.0,696200.0,2079738.78,728417.0,,,,68.0,,
6,V.DCE,20230428,5994.0,6006.0,5994.0,6042.0,5976.0,6025.0,6009.0,19.0,3.0,603731.0,1814178.72,717832.0,,,,38.0,,
7,V.DCE,20230427,6048.0,6048.0,6027.0,6055.0,5957.0,5994.0,6006.0,-54.0,-42.0,1023121.0,3072602.94,749500.0,,,,31.0,,
8,V.DCE,20230426,6083.0,6112.0,6068.0,6078.0,6025.0,6048.0,6048.0,-64.0,-64.0,720844.0,2179891.51,728049.0,,,,54.0,,
9,V.DCE,20230425,6103.0,6164.0,6118.0,6163.0,6065.0,6083.0,6112.0,-81.0,-52.0,840256.0,2568235.52,695133.0,,,,35.0,,
10,V.DCE,20230424,6198.0,6213.0,6200.0,6228.0,6101.0,6103.0,6164.0,-110.0,-49.0,998809.0,3078680.38,667939.0,,5836.0,267.0,20.0,465.0,0.5741935483870968
11,V.DCE,20230421,6200.0,6174.0,6200.0,6260.0,6178.0,6198.0,6213.0,24.0,39.0,989502.0,3074170.97,656062.0,,5889.0,309.0,95.0,507.0,0.6094674556213018
12,V.DCE,20230420,6205.0,6211.0,6195.0,6207.0,6137.0,6200.0,6174.0,-11.0,-37.0,843583.0,2604319.1,660092.0,,5943.0,257.0,2.0,455.0,0.5648351648351648
13,V.DCE,20230419,6180.0,6128.0,6180.0,6242.0,6174.0,6205.0,6211.0,77.0,83.0,814414.0,2529480.14,644817.0,,5987.0,218.0,5.0,416.0,0.5240384615384616
14,V.DCE,20230418,6084.0,6052.0,6074.0,6182.0,6074.0,6180.0,6128.0,128.0,76.0,806130.0,2470316.12,641972.0,,5919.0,261.0,25.0,373.0,0.6997319034852547
15,V.DCE,20230417,6018.0,6009.0,6025.0,6088.0,6014.0,6084.0,6048.0,75.0,39.0,409728.0,1239056.1,256398.0,,5987.0,97.0,96.0,401.0,0.24189526184538654
16,V.DCE,20230414,6021.0,6045.0,6003.0,6043.0,5978.0,6018.0,6009.0,-27.0,-36.0,507649.0,1525425.04,317254.0,,6025.0,7.0,66.0,429.0,0.016317016317016316
17,V.DCE,20230413,6112.0,6137.0,6102.0,6125.0,5971.0,6021.0,6045.0,-116.0,-92.0,825694.0,2495788.89,353692.0,,5994.0,27.0,3.0,401.0,0.06733167082294264
18,V.DCE,20230412,6165.0,6141.0,6155.0,6168.0,6110.0,6112.0,6137.0,-29.0,-4.0,425329.0,1305264.64,371383.0,,6048.0,64.0,91.0,438.0,0.1461187214611872
19,V.DCE,20230411,6173.0,6203.0,6168.0,6182.0,6104.0,6165.0,6141.0,-38.0,-62.0,497410.0,1527298.38,388210.0,,6083.0,82.0,53.0,456.0,0.17982456140350878
20,V.DCE,20230410,6239.0,6203.0,6220.0,6257.0,6146.0,6173.0,6203.0,-30.0,0.0,544679.0,1689580.08,401666.0,,6103.0,70.0,8.0,444.0,0.15765765765765766
21,V.DCE,20230407,6170.0,6205.0,6189.0,6246.0,6166.0,6239.0,6203.0,34.0,-2.0,556263.0,1725403.39,412062.0,,6198.0,41.0,66.0,415.0,0.09879518072289156
22,V.DCE,20230406,6210.0,6222.0,6204.0,6268.0,6163.0,6170.0,6205.0,-52.0,-17.0,547676.0,1699416.48,440942.0,,6200.0,30.0,69.0,482.0,0.06224066390041494
23,V.DCE,20230404,6253.0,6312.0,6250.0,6272.0,6172.0,6210.0,6222.0,-102.0,-90.0,636042.0,1978910.83,440149.0,,6205.0,5.0,40.0,517.0,0.009671179883945842
24,V.DCE,20230403,6282.0,6282.0,6295.0,6397.0,6251.0,6253.0,6312.0,-29.0,30.0,673636.0,2125999.34,462100.0,,6180.0,73.0,43.0,535.0,0.13644859813084112
25,V.DCE,20230331,6256.0,6237.0,6256.0,6320.0,6244.0,6282.0,6282.0,45.0,45.0,583125.0,1831713.42,480002.0,,6084.0,198.0,29.0,468.0,0.4230769230769231
26,V.DCE,20230330,6265.0,6264.0,6280.0,6288.0,6190.0,6256.0,6237.0,-8.0,-27.0,612189.0,1909215.03,517391.0,,6018.0,238.0,26.0,428.0,0.5560747663551402
27,V.DCE,20230329,6241.0,6225.0,6255.0,6294.0,6232.0,6265.0,6264.0,40.0,39.0,619218.0,1939540.51,514840.0,,6021.0,244.0,9.0,434.0,0.5622119815668203
28,V.DCE,20230328,6183.0,6156.0,6188.0,6258.0,6187.0,6241.0,6225.0,85.0,69.0,582112.0,1812025.42,567686.0,,6112.0,129.0,24.0,367.0,0.35149863760217986
29,V.DCE,20230327,6130.0,6075.0,6085.0,6193.0,6076.0,6183.0,6156.0,108.0,81.0,710321.0,2186520.32,604470.0,,6165.0,18.0,58.0,372.0,0.04838709677419355
30,V.DCE,20230324,6045.0,6069.0,6055.0,6135.0,6012.0,6130.0,6075.0,61.0,6.0,876017.0,2661113.32,646237.0,,6173.0,43.0,53.0,417.0,0.10311750599520383
31,V.DCE,20230323,6141.0,6138.0,6137.0,6147.0,6023.0,6045.0,6069.0,-93.0,-69.0,1025784.0,3112843.33,704574.0,,6239.0,194.0,85.0,436.0,0.44495412844036697
32,V.DCE,20230322,6118.0,6137.0,6139.0,6183.0,6096.0,6141.0,6138.0,4.0,1.0,697101.0,2139471.68,641279.0,,6170.0,29.0,96.0,463.0,0.06263498920086392
33,V.DCE,20230321,6126.0,6138.0,6151.0,6178.0,6091.0,6118.0,6137.0,-20.0,-1.0,651106.0,1998124.87,649752.0,,6210.0,92.0,23.0,446.0,0.2062780269058296
34,V.DCE,20230320,6163.0,6170.0,6149.0,6196.0,6076.0,6126.0,6138.0,-44.0,-32.0,882489.0,2708424.59,658112.0,,6253.0,127.0,8.0,411.0,0.30900243309002434
35,V.DCE,20230317,6130.0,6196.0,6150.0,6233.0,6120.0,6163.0,6170.0,-33.0,-26.0,768915.0,2372121.62,640326.0,,6282.0,119.0,37.0,419.0,0.2840095465393795
36,V.DCE,20230316,6254.0,6304.0,6210.0,6242.0,6129.0,6130.0,6196.0,-174.0,-108.0,804540.0,2492633.77,640527.0,,6256.0,126.0,33.0,426.0,0.29577464788732394
37,V.DCE,20230315,6337.0,6360.0,6340.0,6344.0,6241.0,6254.0,6304.0,-106.0,-56.0,775758.0,2445361.93,620017.0,,6265.0,11.0,124.0,541.0,0.02033271719038817
38,V.DCE,20230314,6381.0,6373.0,6303.0,6398.0,6281.0,6337.0,6360.0,-36.0,-13.0,827870.0,2632709.24,579739.0,,6241.0,96.0,83.0,600.0,0.16
39,V.DCE,20230313,6299.0,6317.0,6300.0,6440.0,6300.0,6381.0,6373.0,64.0,56.0,977443.0,3114947.14,597583.0,,6183.0,198.0,44.0,586.0,0.3378839590443686
40,V.DCE,20230310,6331.0,6367.0,6331.0,6372.0,6255.0,6299.0,6317.0,-68.0,-50.0,898894.0,2839431.58,637283.0,,6130.0,169.0,82.0,615.0,0.27479674796747966
41,V.DCE,20230309,6458.0,6476.0,6456.0,6459.0,6315.0,6331.0,6367.0,-145.0,-109.0,1001049.0,3187292.63,662418.0,,6045.0,286.0,32.0,562.0,0.5088967971530249
42,V.DCE,20230308,6461.0,6451.0,6461.0,6516.0,6431.0,6458.0,6476.0,7.0,25.0,869025.0,2814077.78,643415.0,,6141.0,317.0,127.0,593.0,0.5345699831365935
43,V.DCE,20230307,6408.0,6411.0,6408.0,6485.0,6400.0,6461.0,6451.0,50.0,40.0,735818.0,2373702.12,657924.0,,6118.0,343.0,3.0,573.0,0.5986038394415357
44,V.DCE,20230306,6435.0,6405.0,6418.0,6457.0,6366.0,6408.0,6411.0,3.0,6.0,968363.0,3104483.8,660516.0,,6126.0,282.0,53.0,618.0,0.4563106796116505
45,V.DCE,20230303,6387.0,6401.0,6384.0,6448.0,6348.0,6435.0,6405.0,34.0,4.0,732490.0,2345947.37,677394.0,,6163.0,272.0,27.0,608.0,0.4473684210526316
46,V.DCE,20230302,6398.0,6370.0,6387.0,6438.0,6372.0,6387.0,6401.0,17.0,31.0,628361.0,2011167.92,691473.0,,6130.0,257.0,48.0,623.0,0.41252006420545745
47,V.DCE,20230301,6374.0,6368.0,6373.0,6406.0,6334.0,6398.0,6370.0,30.0,2.0,681279.0,2170101.78,676529.0,,6254.0,144.0,11.0,510.0,0.2823529411764706
48,V.DCE,20230228,6421.0,6470.0,6425.0,6431.0,6325.0,6374.0,6368.0,-96.0,-102.0,842325.0,2682353.03,669000.0,,6337.0,37.0,24.0,451.0,0.082039911308204
49,V.DCE,20230227,6517.0,6501.0,6502.0,6535.0,6411.0,6421.0,6470.0,-80.0,-31.0,895959.0,2898480.35,696316.0,,6381.0,40.0,47.0,454.0,0.0881057268722467
50,V.DCE,20230224,6472.0,6487.0,6485.0,6523.0,6479.0,6517.0,6501.0,30.0,14.0,672957.0,2187565.19,712308.0,,6299.0,218.0,96.0,468.0,0.4658119658119658
51,V.DCE,20230223,6447.0,6468.0,6480.0,6528.0,6441.0,6472.0,6487.0,4.0,19.0,878600.0,2849982.46,703669.0,,6331.0,141.0,45.0,481.0,0.29313929313929316
52,V.DCE,20230222,6485.0,6484.0,6500.0,6500.0,6422.0,6447.0,6468.0,-37.0,-16.0,820746.0,2654325.46,733136.0,,6458.0,11.0,25.0,379.0,0.029023746701846966
53,V.DCE,20230221,6404.0,6348.0,6413.0,6515.0,6410.0,6485.0,6484.0,137.0,136.0,847458.0,2747712.85,741867.0,,6461.0,24.0,38.0,414.0,0.057971014492753624
54,V.DCE,20230220,6338.0,6343.0,6320.0,6409.0,6262.0,6404.0,6348.0,61.0,5.0,790541.0,2509418.65,791371.0,,6408.0,4.0,81.0,442.0,0.00904977375565611
55,V.DCE,20230217,6334.0,6331.0,6331.0,6376.0,6314.0,6338.0,6343.0,7.0,12.0,671766.0,2130641.35,806839.0,,6435.0,97.0,66.0,481.0,0.20166320166320167
56,V.DCE,20230216,6291.0,6276.0,6294.0,6366.0,6292.0,6334.0,6331.0,58.0,55.0,766561.0,2426634.77,824343.0,,6387.0,53.0,4.0,437.0,0.12128146453089245
57,V.DCE,20230215,6267.0,6227.0,6267.0,6324.0,6232.0,6291.0,6276.0,64.0,49.0,819291.0,2571088.88,844326.0,,6398.0,107.0,43.0,469.0,0.2281449893390192
58,V.DCE,20230214,6186.0,6205.0,6180.0,6295.0,6173.0,6267.0,6227.0,62.0,22.0,932981.0,2905076.85,873704.0,,6374.0,107.0,24.0,469.0,0.2281449893390192
59,V.DCE,20230213,6246.0,6229.0,6274.0,6282.0,6157.0,6186.0,6205.0,-43.0,-24.0,1025832.0,3182865.8,912129.0,,6421.0,235.0,81.0,503.0,0.4671968190854871
60,V.DCE,20230210,6251.0,6261.0,6238.0,6276.0,6151.0,6246.0,6229.0,-15.0,-32.0,1033672.0,3219744.72,902423.0,,6517.0,271.0,60.0,467.0,0.5802997858672377
61,V.DCE,20230209,6214.0,6187.0,6226.0,6298.0,6220.0,6251.0,6261.0,64.0,74.0,930776.0,2914133.34,907901.0,,6472.0,221.0,5.0,427.0,0.5175644028103045
62,V.DCE,20230208,6219.0,6203.0,6227.0,6228.0,6151.0,6214.0,6187.0,11.0,-16.0,962506.0,2977536.76,929169.0,,6447.0,233.0,37.0,439.0,0.530751708428246
63,V.DCE,20230207,6235.0,6236.0,6240.0,6256.0,6143.0,6219.0,6203.0,-17.0,-33.0,997907.0,3095091.91,903859.0,,6485.0,266.0,5.0,406.0,0.6551724137931034
64,V.DCE,20230206,6226.0,6215.0,6226.0,6294.0,6188.0,6235.0,6236.0,20.0,21.0,904481.0,2820601.97,880595.0,,6404.0,169.0,16.0,341.0,0.49560117302052786
