,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,VL.DCE,20230511,5840.0,5856.0,5850.0,5850.0,5575.0,5799.0,5798.0,-57.0,-58.0,566.0,1641.0,9351.0,,,,,,
1,VL.DCE,20230510,5880.0,5897.0,5853.0,5853.0,5836.0,5840.0,5856.0,-57.0,-41.0,79.0,231.33,9410.0,,,,41.0,,
2,VL.DCE,20230509,5902.0,5875.0,5902.0,5926.0,5864.0,5880.0,5897.0,5.0,22.0,293.0,864.04,9415.0,,,,40.0,,
3,VL.DCE,20230508,5831.0,5824.0,5831.0,5902.0,5831.0,5902.0,5875.0,78.0,51.0,185.0,543.46,9461.0,,,,22.0,,
4,VL.DCE,20230505,5901.0,5923.0,5882.0,5882.0,5790.0,5831.0,5824.0,-92.0,-99.0,522.0,1520.09,9553.0,,,,71.0,,
5,VL.DCE,20230504,5936.0,5949.0,5949.0,5971.0,5817.0,5901.0,5923.0,-48.0,-26.0,1606.0,4756.93,9919.0,,,,70.0,,
6,VL.DCE,20230428,5966.0,5988.0,5968.0,5968.0,5921.0,5936.0,5949.0,-52.0,-39.0,19277.0,57344.34,10855.0,,,,35.0,,
7,VL.DCE,20230427,6032.0,6036.0,6003.0,6035.0,5942.0,5966.0,5988.0,-70.0,-48.0,31171.0,93334.59,18236.0,,,,30.0,,
8,VL.DCE,20230426,6069.0,6101.0,6051.0,6064.0,6010.0,6032.0,6036.0,-69.0,-65.0,33807.0,102031.17,29310.0,,,,66.0,,
9,VL.DCE,20230425,6100.0,6165.0,6105.0,6145.0,6052.0,6069.0,6101.0,-96.0,-64.0,64501.0,196774.13,44428.0,,,,37.0,,
10,VL.DCE,20230424,6190.0,6208.0,6190.0,6223.0,6099.0,6100.0,6165.0,-108.0,-43.0,94017.0,289811.0,59669.0,,5799.0,301.0,31.0,443.0,0.6794582392776524
