,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,L.DCE,20230511,7828.0,7826.0,7839.0,7841.0,7741.0,7759.0,7782.0,-67.0,-44.0,356081.0,1385547.84,428241.0,,,,,,
1,L.DCE,20230510,7840.0,7895.0,7840.0,7867.0,7788.0,7828.0,7826.0,-67.0,-69.0,325438.0,1273507.66,416809.0,,,,69.0,,
2,L.DCE,20230509,7927.0,7915.0,7942.0,7953.0,7838.0,7840.0,7895.0,-75.0,-20.0,336285.0,1327489.66,404528.0,,,,12.0,,
3,L.DCE,20230508,7899.0,7876.0,7910.0,7948.0,7875.0,7927.0,7915.0,51.0,39.0,345390.0,1367011.41,388644.0,,,,87.0,,
4,L.DCE,20230505,7949.0,7949.0,7949.0,7949.0,7827.0,7899.0,7876.0,-50.0,-73.0,389527.0,1534121.17,378829.0,,,,28.0,,
5,L.DCE,20230504,8039.0,8046.0,7950.0,7996.0,7894.0,7949.0,7949.0,-97.0,-97.0,273877.0,1088568.03,359813.0,,,,50.0,,
6,L.DCE,20230428,8042.0,8124.0,8050.0,8068.0,8026.0,8039.0,8046.0,-85.0,-78.0,281071.0,1130796.57,352186.0,,,,90.0,,
7,L.DCE,20230427,8205.0,8191.0,8186.0,8211.0,8031.0,8042.0,8124.0,-149.0,-67.0,497157.0,2019631.62,368266.0,,,,3.0,,
8,L.DCE,20230426,8211.0,8197.0,8191.0,8220.0,8154.0,8205.0,8191.0,8.0,-6.0,364935.0,1494694.73,407268.0,,,,163.0,,
9,L.DCE,20230425,8139.0,8190.0,8141.0,8240.0,8140.0,8211.0,8197.0,21.0,7.0,329256.0,1349473.52,392863.0,,,,6.0,,
10,L.DCE,20230424,8223.0,8210.0,8223.0,8262.0,8129.0,8139.0,8190.0,-71.0,-20.0,381260.0,1561276.53,375747.0,,7759.0,380.0,72.0,580.0,0.6551724137931034
11,L.DCE,20230421,8195.0,8180.0,8190.0,8249.0,8179.0,8223.0,8210.0,43.0,30.0,327380.0,1343905.56,384619.0,,7828.0,395.0,84.0,595.0,0.6638655462184874
12,L.DCE,20230420,8205.0,8213.0,8210.0,8211.0,8149.0,8195.0,8180.0,-18.0,-33.0,279958.0,1145047.48,362501.0,,7840.0,355.0,28.0,611.0,0.5810147299509002
13,L.DCE,20230419,8199.0,8173.0,8199.0,8246.0,8185.0,8205.0,8213.0,32.0,40.0,291499.0,1197148.84,346713.0,,7927.0,278.0,10.0,534.0,0.5205992509363296
14,L.DCE,20230418,8226.0,8128.0,8166.0,8202.0,8145.0,8199.0,8173.0,71.0,45.0,239047.0,976948.13,310069.0,,7899.0,300.0,6.0,512.0,0.5859375
15,L.DCE,20230417,8158.0,8137.0,8150.0,8237.0,8144.0,8226.0,8193.0,89.0,56.0,194972.0,798736.83,174048.0,,7949.0,277.0,27.0,489.0,0.5664621676891616
16,L.DCE,20230414,8128.0,8160.0,8128.0,8174.0,8100.0,8158.0,8137.0,-2.0,-23.0,187927.0,764646.08,193822.0,,8039.0,119.0,68.0,467.0,0.25481798715203424
17,L.DCE,20230413,8198.0,8155.0,8187.0,8206.0,8110.0,8128.0,8160.0,-27.0,5.0,222008.0,905894.21,215909.0,,8042.0,86.0,30.0,494.0,0.17408906882591094
18,L.DCE,20230412,8127.0,8105.0,8120.0,8203.0,8111.0,8198.0,8155.0,93.0,50.0,224550.0,915702.42,236952.0,,8205.0,7.0,70.0,401.0,0.017456359102244388
19,L.DCE,20230411,8096.0,8116.0,8090.0,8136.0,8074.0,8127.0,8105.0,11.0,-11.0,161951.0,656329.73,242266.0,,8211.0,84.0,71.0,466.0,0.18025751072961374
20,L.DCE,20230410,8126.0,8086.0,8140.0,8153.0,8072.0,8096.0,8116.0,10.0,30.0,201953.0,819587.09,256955.0,,8139.0,43.0,31.0,425.0,0.1011764705882353
21,L.DCE,20230407,8076.0,8140.0,8101.0,8126.0,8056.0,8126.0,8086.0,-14.0,-54.0,202181.0,817449.49,265791.0,,8223.0,97.0,30.0,371.0,0.261455525606469
22,L.DCE,20230406,8191.0,8206.0,8206.0,8209.0,8066.0,8076.0,8140.0,-130.0,-66.0,214845.0,874449.78,266837.0,,8195.0,119.0,50.0,393.0,0.30279898218829515
23,L.DCE,20230404,8232.0,8240.0,8265.0,8265.0,8170.0,8191.0,8206.0,-49.0,-34.0,184283.0,756133.74,285132.0,,8205.0,14.0,115.0,498.0,0.028112449799196786
24,L.DCE,20230403,8192.0,8169.0,8210.0,8300.0,8180.0,8232.0,8240.0,63.0,71.0,263832.0,1087060.62,293629.0,,8199.0,33.0,41.0,533.0,0.06191369606003752
25,L.DCE,20230331,8090.0,8083.0,8100.0,8198.0,8092.0,8192.0,8169.0,109.0,86.0,285441.0,1165919.91,296651.0,,8226.0,34.0,40.0,546.0,0.06227106227106227
26,L.DCE,20230330,8098.0,8108.0,8116.0,8131.0,8048.0,8090.0,8083.0,-18.0,-25.0,215295.0,870115.14,303530.0,,8158.0,68.0,102.0,580.0,0.11724137931034483
27,L.DCE,20230329,8109.0,8103.0,8105.0,8137.0,8073.0,8098.0,8108.0,-5.0,5.0,215966.0,875576.63,307244.0,,8128.0,30.0,8.0,558.0,0.053763440860215055
28,L.DCE,20230328,8058.0,8054.0,8060.0,8134.0,8054.0,8109.0,8103.0,55.0,49.0,226657.0,918306.2,316726.0,,8198.0,89.0,11.0,499.0,0.17835671342685372
29,L.DCE,20230327,8056.0,7999.0,8000.0,8095.0,7996.0,8058.0,8054.0,59.0,55.0,243503.0,980692.2,326589.0,,8127.0,69.0,51.0,479.0,0.1440501043841336
30,L.DCE,20230324,8003.0,8042.0,8020.0,8062.0,7931.0,8056.0,7999.0,14.0,-43.0,309487.0,1237876.33,329776.0,,8096.0,40.0,2.0,450.0,0.08888888888888889
31,L.DCE,20230323,8072.0,8071.0,8054.0,8085.0,7995.0,8003.0,8042.0,-68.0,-29.0,232771.0,935998.37,344206.0,,8126.0,123.0,53.0,473.0,0.26004228329809725
32,L.DCE,20230322,8036.0,8018.0,8060.0,8109.0,8033.0,8072.0,8071.0,54.0,53.0,271054.0,1093903.96,349157.0,,8076.0,4.0,69.0,492.0,0.008130081300813009
33,L.DCE,20230321,7995.0,8033.0,8026.0,8050.0,7977.0,8036.0,8018.0,3.0,-15.0,246727.0,989158.21,355870.0,,8191.0,155.0,36.0,413.0,0.37530266343825663
34,L.DCE,20230320,8030.0,8032.0,8018.0,8081.0,7990.0,7995.0,8033.0,-37.0,1.0,250084.0,1004533.63,356542.0,,8232.0,237.0,41.0,413.0,0.5738498789346247
35,L.DCE,20230317,7953.0,7995.0,7953.0,8100.0,7938.0,8030.0,8032.0,35.0,37.0,331723.0,1332348.44,361959.0,,8192.0,162.0,35.0,408.0,0.39705882352941174
36,L.DCE,20230316,8111.0,8135.0,8080.0,8080.0,7945.0,7953.0,7995.0,-182.0,-140.0,332688.0,1330010.6,377130.0,,8090.0,137.0,77.0,383.0,0.3577023498694517
37,L.DCE,20230315,8153.0,8166.0,8153.0,8165.0,8106.0,8111.0,8135.0,-55.0,-31.0,256314.0,1042680.17,379738.0,,8098.0,13.0,158.0,533.0,0.024390243902439025
38,L.DCE,20230314,8227.0,8203.0,8167.0,8209.0,8111.0,8153.0,8166.0,-50.0,-37.0,296342.0,1209988.56,368881.0,,8109.0,44.0,42.0,564.0,0.07801418439716312
39,L.DCE,20230313,8184.0,8218.0,8209.0,8245.0,8165.0,8227.0,8203.0,9.0,-15.0,274099.0,1124280.42,366489.0,,8058.0,169.0,74.0,587.0,0.2879045996592845
40,L.DCE,20230310,8222.0,8231.0,8227.0,8269.0,8182.0,8184.0,8218.0,-47.0,-13.0,287927.0,1183217.4,372262.0,,8056.0,128.0,43.0,628.0,0.20382165605095542
41,L.DCE,20230309,8274.0,8280.0,8292.0,8293.0,8193.0,8222.0,8231.0,-58.0,-49.0,304117.0,1251698.4,375153.0,,8003.0,219.0,38.0,613.0,0.3572593800978793
42,L.DCE,20230308,8307.0,8322.0,8300.0,8335.0,8235.0,8274.0,8280.0,-48.0,-42.0,337881.0,1398944.38,385889.0,,8072.0,202.0,52.0,596.0,0.3389261744966443
43,L.DCE,20230307,8313.0,8324.0,8313.0,8359.0,8286.0,8307.0,8322.0,-17.0,-2.0,270219.0,1124389.85,401279.0,,8036.0,271.0,33.0,593.0,0.45699831365935917
44,L.DCE,20230306,8367.0,8348.0,8360.0,8371.0,8276.0,8313.0,8324.0,-35.0,-24.0,369816.0,1539325.21,409544.0,,7995.0,318.0,6.0,558.0,0.5698924731182796
45,L.DCE,20230303,8382.0,8397.0,8382.0,8400.0,8315.0,8367.0,8348.0,-30.0,-49.0,311413.0,1299991.99,432799.0,,8030.0,337.0,54.0,577.0,0.584055459272097
46,L.DCE,20230302,8398.0,8354.0,8386.0,8434.0,8365.0,8382.0,8397.0,28.0,43.0,298777.0,1254492.47,438869.0,,7953.0,429.0,15.0,515.0,0.8330097087378641
47,L.DCE,20230301,8319.0,8294.0,8322.0,8400.0,8313.0,8398.0,8354.0,104.0,60.0,271876.0,1135686.88,429170.0,,8111.0,287.0,16.0,373.0,0.7694369973190348
48,L.DCE,20230228,8268.0,8294.0,8289.0,8328.0,8263.0,8319.0,8294.0,25.0,0.0,292017.0,1211025.58,404326.0,,8153.0,166.0,79.0,410.0,0.40487804878048783
49,L.DCE,20230227,8335.0,8321.0,8314.0,8351.0,8257.0,8268.0,8294.0,-53.0,-27.0,328660.0,1363033.8,392482.0,,8227.0,41.0,51.0,387.0,0.10594315245478036
50,L.DCE,20230224,8328.0,8334.0,8339.0,8365.0,8260.0,8335.0,8321.0,1.0,-13.0,342798.0,1426286.26,391085.0,,8184.0,151.0,67.0,411.0,0.36739659367396593
51,L.DCE,20230223,8324.0,8355.0,8354.0,8356.0,8316.0,8328.0,8334.0,-27.0,-21.0,254663.0,1061264.8,396635.0,,8222.0,106.0,7.0,380.0,0.2789473684210526
52,L.DCE,20230222,8370.0,8360.0,8350.0,8390.0,8297.0,8324.0,8355.0,-36.0,-5.0,282491.0,1180190.81,397504.0,,8274.0,50.0,4.0,332.0,0.15060240963855423
53,L.DCE,20230221,8290.0,8230.0,8300.0,8399.0,8294.0,8370.0,8360.0,140.0,130.0,302701.0,1265407.0,399523.0,,8307.0,63.0,46.0,345.0,0.1826086956521739
54,L.DCE,20230220,8220.0,8219.0,8206.0,8296.0,8158.0,8290.0,8230.0,71.0,11.0,329766.0,1357048.38,384845.0,,8313.0,23.0,80.0,419.0,0.05489260143198091
