,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,LL.DCE,20230511,8014.0,8058.0,8058.0,8058.0,7990.0,7990.0,8056.0,-68.0,-2.0,250.0,1007.03,1564.0,,,,,,
1,LL.DCE,20230510,8100.0,8137.0,8073.0,8100.0,8014.0,8014.0,8058.0,-123.0,-79.0,308.0,1240.95,1814.0,,,,24.0,,
2,LL.DCE,20230509,8165.0,8152.0,8200.0,8200.0,8100.0,8100.0,8137.0,-52.0,-15.0,1042.0,4239.86,2121.0,,,,86.0,,
3,LL.DCE,20230508,8129.0,8129.0,8150.0,8165.0,8138.0,8165.0,8152.0,36.0,23.0,1145.0,4667.33,3103.0,,,,65.0,,
4,LL.DCE,20230505,8200.0,8226.0,8226.0,8226.0,8100.0,8129.0,8129.0,-97.0,-97.0,2794.0,11356.46,3997.0,,,,36.0,,
5,LL.DCE,20230504,8307.0,8263.0,8260.0,8300.0,8196.0,8200.0,8226.0,-63.0,-37.0,3026.0,12447.2,6746.0,,,,71.0,,
6,LL.DCE,20230428,8229.0,8248.0,8248.0,8335.0,8218.0,8307.0,8263.0,59.0,15.0,10340.0,42719.81,9391.0,,,,107.0,,
7,LL.DCE,20230427,8300.0,8282.0,8282.0,8296.0,8208.0,8229.0,8248.0,-53.0,-34.0,24120.0,99482.77,17091.0,,,,78.0,,
8,LL.DCE,20230426,8297.0,8275.0,8275.0,8308.0,8251.0,8300.0,8282.0,25.0,7.0,21326.0,88317.49,31737.0,,,,71.0,,
9,LL.DCE,20230425,8223.0,8257.0,8212.0,8318.0,8212.0,8297.0,8275.0,40.0,18.0,23639.0,97814.1,42662.0,,,,3.0,,
10,LL.DCE,20230424,8289.0,8267.0,8300.0,8315.0,8215.0,8223.0,8257.0,-44.0,-10.0,46215.0,190806.98,50902.0,,7990.0,233.0,74.0,615.0,0.37886178861788616
11,LL.DCE,20230421,8250.0,8226.0,8246.0,8300.0,8244.0,8289.0,8267.0,63.0,41.0,42282.0,174775.55,73168.0,,8014.0,275.0,66.0,657.0,0.4185692541856925
12,LL.DCE,20230420,8241.0,8249.0,8229.0,8250.0,8203.0,8250.0,8226.0,1.0,-23.0,43196.0,177671.83,89854.0,,8100.0,150.0,39.0,610.0,0.2459016393442623
13,LL.DCE,20230419,8241.0,8216.0,8221.0,8281.0,8221.0,8241.0,8249.0,25.0,33.0,82036.0,338375.38,107993.0,,8165.0,76.0,9.0,554.0,0.1371841155234657
14,LL.DCE,20230418,8351.0,8193.0,8184.0,8247.0,8184.0,8241.0,8216.0,48.0,23.0,116711.0,479484.28,139487.0,,8129.0,112.0,0.0,518.0,0.21621621621621623
15,LL.DCE,20230417,8350.0,8350.0,,,,8351.0,8351.0,1.0,1.0,0.0,0.0,0.0,,8200.0,151.0,110.0,557.0,0.2710951526032316
16,LL.DCE,20230414,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,13.0,,8307.0,43.0,1.0,451.0,0.09534368070953436
17,LL.DCE,20230413,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,13.0,,8229.0,121.0,0.0,373.0,0.32439678284182305
18,LL.DCE,20230412,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,13.0,,8300.0,50.0,0.0,302.0,0.16556291390728478
19,LL.DCE,20230411,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,13.0,,8297.0,53.0,0.0,299.0,0.17725752508361203
20,LL.DCE,20230410,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,13.0,,8223.0,127.0,0.0,225.0,0.5644444444444444
21,LL.DCE,20230407,8352.0,8527.0,,,,8350.0,8350.0,-177.0,-177.0,0.0,0.0,13.0,,8289.0,61.0,0.0,159.0,0.3836477987421384
22,LL.DCE,20230406,8250.0,8250.0,8842.0,8842.0,8352.0,8352.0,8527.0,102.0,277.0,14.0,59.69,13.0,,8250.0,102.0,2.0,122.0,0.8360655737704918
23,LL.DCE,20230404,8128.0,8128.0,,,,8250.0,8250.0,122.0,122.0,0.0,0.0,22.0,,8241.0,9.0,102.0,215.0,0.04186046511627907
24,LL.DCE,20230403,8268.0,8128.0,8128.0,8128.0,8128.0,8128.0,8128.0,0.0,0.0,11.0,44.7,22.0,,8241.0,113.0,122.0,337.0,0.3353115727002967
25,LL.DCE,20230331,8255.0,8243.0,8132.0,8269.0,8020.0,8268.0,8128.0,25.0,-115.0,243.0,987.61,33.0,,8351.0,83.0,140.0,367.0,0.22615803814713897
26,LL.DCE,20230330,8247.0,8148.0,8258.0,8258.0,8179.0,8255.0,8243.0,107.0,95.0,11.0,45.34,221.0,,8350.0,95.0,13.0,379.0,0.25065963060686014
27,LL.DCE,20230329,8188.0,8091.0,8091.0,8248.0,8091.0,8247.0,8148.0,156.0,57.0,113.0,460.38,231.0,,8350.0,103.0,8.0,387.0,0.2661498708010336
28,LL.DCE,20230328,8097.0,8059.0,8059.0,8189.0,8059.0,8188.0,8091.0,129.0,32.0,116.0,469.3,329.0,,8350.0,162.0,59.0,446.0,0.3632286995515695
29,LL.DCE,20230327,8015.0,8016.0,8090.0,8113.0,8036.0,8097.0,8059.0,81.0,43.0,100.0,402.99,426.0,,8350.0,253.0,91.0,537.0,0.47113594040968343
30,LL.DCE,20230324,8055.0,8058.0,8058.0,8058.0,8015.0,8015.0,8016.0,-43.0,-42.0,91.0,364.76,473.0,,8350.0,335.0,82.0,619.0,0.5411954765751211
31,LL.DCE,20230323,8097.0,8108.0,8119.0,8119.0,8050.0,8055.0,8058.0,-53.0,-50.0,59.0,237.73,549.0,,8350.0,295.0,40.0,659.0,0.44764795144157815
32,LL.DCE,20230322,8085.0,8066.0,8099.0,8134.0,8095.0,8097.0,8108.0,31.0,42.0,157.0,636.52,595.0,,8352.0,255.0,42.0,699.0,0.3648068669527897
33,LL.DCE,20230321,8040.0,8066.0,8066.0,8085.0,8050.0,8085.0,8066.0,19.0,0.0,359.0,1448.02,711.0,,8250.0,165.0,12.0,609.0,0.270935960591133
34,LL.DCE,20230320,8080.0,8066.0,8066.0,8095.0,8040.0,8040.0,8066.0,-26.0,0.0,1465.0,5908.84,939.0,,8128.0,88.0,45.0,532.0,0.16541353383458646
35,LL.DCE,20230317,8029.0,8053.0,8042.0,8138.0,7998.0,8080.0,8066.0,27.0,13.0,1127.0,4545.34,2261.0,,8268.0,188.0,40.0,432.0,0.4351851851851852
36,LL.DCE,20230316,8138.0,8155.0,8108.0,8108.0,7995.0,8029.0,8053.0,-126.0,-102.0,14301.0,57586.19,3119.0,,8255.0,226.0,51.0,470.0,0.4808510638297872
37,LL.DCE,20230315,8231.0,8190.0,8181.0,8184.0,8132.0,8138.0,8155.0,-52.0,-35.0,8464.0,34513.01,8101.0,,8247.0,109.0,109.0,571.0,0.19089316987740806
38,LL.DCE,20230314,8215.0,8202.0,,,,8231.0,8231.0,29.0,29.0,10.0,41.16,0.0,,8188.0,43.0,93.0,605.0,0.07107438016528926
