,ts_code,symbol,name,list_date,delist_date
0,PG.DCE,PG,LPG主力,,
1,PGL.DCE,PGL,LPG连续,,
2,EB.DCE,EB,苯乙烯主力,,
3,EBL.DCE,EBL,苯乙烯连续,,
4,JL.DCE,JL,焦炭连续,,
5,JDL.DCE,JDL,鸡蛋连续,,
6,CSL.DCE,CSL,玉米淀粉连续,,
7,CS.DCE,CS,玉米淀粉主力,,
8,C.DCE,C,玉米主力,,
9,LL.DCE,LL,塑料连续,,
10,BL.DCE,BL,豆二连续,,
11,V.DCE,V,PVC主力,,
12,J.DCE,J,焦炭主力,,
13,PL.DCE,PL,棕榈油连续,,
14,BB.DCE,BB,胶合板主力,,
15,M.DCE,M,豆粕主力,,
16,A.DCE,A,豆一主力,,
17,PP.DCE,PP,聚丙烯主力,,
18,JML.DCE,JML,焦煤连续,,
19,PPL.DCE,PPL,聚丙烯连续,,
20,ML.DCE,ML,豆粕连续,,
21,P.DCE,P,棕榈油主力,,
22,YL.DCE,YL,豆油连续,,
23,FB.DCE,FB,纤维板主力,,
24,B.DCE,B,豆二主力,,
25,VL.DCE,VL,PVC连续,,
26,CL.DCE,CL,玉米连续,,
27,FBL.DCE,FBL,纤维板连续,,
28,IL.DCE,IL,铁矿石连续,,
29,JD.DCE,JD,鸡蛋主力,,
30,JM.DCE,JM,焦煤主力,,
31,AL.DCE,AL,豆一连续,,
32,L.DCE,L,塑料主力,,
33,I.DCE,I,铁矿石主力,,
34,Y.DCE,Y,豆油主力,,
35,BBL.DCE,BBL,胶合板连续,,
36,RR.DCE,RR,粳米主力,,
37,RRL.DCE,RRL,粳米连续,,
38,LHL.DCE,LHL,生猪连续,,
39,EG.DCE,EG,乙二醇主力,,
40,EGL.DCE,EGL,乙二醇连续,,
41,LH.DCE,LH,生猪主力,,
