,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,J.DCE,20230511,2150.5,2161.5,2145.0,2176.5,2102.0,2109.0,2134.5,-52.5,-27.0,41763.0,891478.86,49298.0,,,,,,
1,J.DCE,20230510,2163.5,2193.5,2150.0,2191.5,2135.5,2150.5,2161.5,-43.0,-32.0,40951.0,885296.01,49944.0,,,,41.5,,
2,J.DCE,20230509,2227.5,2143.0,2227.5,2240.0,2157.0,2163.5,2193.5,20.5,50.5,42115.0,923957.27,49374.0,,,,13.0,,
3,J.DCE,20230508,2140.5,2095.0,2146.0,2234.0,2077.0,2227.5,2143.0,132.5,48.0,70566.0,1512506.1,50320.0,,,,64.0,,
4,J.DCE,20230505,2094.0,2106.0,2092.0,2146.0,2055.0,2140.5,2095.0,34.5,-11.0,42796.0,896729.3,50681.0,,,,87.0,,
5,J.DCE,20230504,2149.0,2147.0,2121.0,2140.0,2082.5,2094.0,2106.0,-53.0,-41.0,29142.0,613803.82,50342.0,,,,46.5,,
6,J.DCE,20230428,2164.0,2194.5,2160.0,2175.0,2119.0,2149.0,2147.0,-45.5,-47.5,39456.0,847264.92,48069.0,,,,55.0,,
7,J.DCE,20230427,2187.0,2194.5,2200.0,2224.0,2161.5,2164.0,2194.5,-30.5,0.0,32274.0,708286.07,48283.0,,,,15.0,,
8,J.DCE,20230426,2208.0,2233.0,2201.0,2225.0,2168.0,2187.0,2194.5,-46.0,-38.5,34324.0,753368.36,47532.0,,,,23.0,,
9,J.DCE,20230425,2241.0,2260.5,2236.0,2265.0,2202.5,2208.0,2233.0,-52.5,-27.5,30592.0,683151.49,46199.0,,,,21.0,,
10,J.DCE,20230424,2271.0,2291.0,2270.0,2303.0,2220.0,2241.0,2260.5,-50.0,-30.5,37485.0,847442.6,45160.0,,2109.0,132.0,33.0,399.0,0.3308270676691729
11,J.DCE,20230421,2312.0,2329.5,2319.0,2321.5,2268.0,2271.0,2291.0,-58.5,-38.5,27649.0,633551.14,41608.0,,2150.5,120.5,30.0,387.5,0.3109677419354839
12,J.DCE,20230420,2380.5,2394.5,2360.0,2368.0,2300.5,2312.0,2329.5,-82.5,-65.0,34080.0,793980.56,40034.0,,2163.5,148.5,41.0,415.5,0.3574007220216607
13,J.DCE,20230419,2395.0,2383.0,2400.0,2420.0,2368.0,2380.5,2394.5,-2.5,11.5,29353.0,703002.56,36335.0,,2227.5,153.0,68.5,420.0,0.36428571428571427
14,J.DCE,20230418,2360.5,2335.5,2367.5,2410.0,2355.0,2395.0,2383.0,59.5,47.5,37405.0,891460.63,35961.0,,2140.5,254.5,14.5,347.5,0.7323741007194244
15,J.DCE,20230417,2344.0,2356.0,2344.0,2365.0,2304.5,2360.5,2335.5,4.5,-20.5,33349.0,778874.98,36524.0,,2094.0,266.5,34.5,335.5,0.7943368107302533
