,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,JM.DCE,20230511,1351.5,1354.5,1355.0,1373.0,1327.0,1337.5,1347.5,-17.0,-7.0,152105.0,1230196.92,163423.0,,,,,,
1,JM.DCE,20230510,1351.5,1380.0,1345.0,1376.5,1332.5,1351.5,1354.5,-28.5,-25.5,167326.0,1360159.45,164684.0,,,,14.0,,
2,JM.DCE,20230509,1412.5,1346.0,1412.5,1419.0,1345.5,1351.5,1380.0,5.5,34.0,183833.0,1522327.85,156174.0,,,,0.0,,
3,JM.DCE,20230508,1352.0,1323.0,1352.0,1420.0,1300.5,1412.5,1346.0,89.5,23.0,255484.0,2063891.43,147644.0,,,,61.0,,
4,JM.DCE,20230505,1325.5,1334.5,1323.0,1360.0,1287.5,1352.0,1323.0,17.5,-11.5,154921.0,1230187.02,130073.0,,,,60.5,,
5,JM.DCE,20230504,1385.0,1384.5,1380.0,1381.0,1318.0,1325.5,1334.5,-59.0,-50.0,77632.0,621792.62,119668.0,,,,26.5,,
6,JM.DCE,20230428,1416.5,1439.5,1408.0,1413.5,1361.0,1385.0,1384.5,-54.5,-55.0,97006.0,805933.89,99157.0,,,,59.5,,
7,JM.DCE,20230427,1442.5,1452.5,1443.0,1463.0,1415.0,1416.5,1439.5,-36.0,-13.0,67876.0,586291.41,93371.0,,,,31.5,,
8,JM.DCE,20230426,1473.5,1484.5,1460.0,1470.0,1437.0,1442.5,1452.5,-42.0,-32.0,69658.0,607093.58,88762.0,,,,26.0,,
9,JM.DCE,20230425,1487.0,1489.0,1482.0,1504.0,1465.5,1473.5,1484.5,-15.5,-4.5,55052.0,490371.2,83016.0,,,,31.0,,
10,JM.DCE,20230424,1486.5,1504.5,1486.5,1510.0,1468.0,1487.0,1489.0,-17.5,-15.5,66766.0,596549.17,80902.0,,1337.5,149.5,13.5,323.5,0.46213292117465227
11,JM.DCE,20230421,1525.5,1540.5,1521.0,1529.5,1485.0,1486.5,1504.5,-54.0,-36.0,60714.0,548199.74,80221.0,,1351.5,135.0,0.5,310.0,0.43548387096774194
12,JM.DCE,20230420,1583.5,1595.0,1575.0,1575.0,1515.0,1525.5,1540.5,-69.5,-54.5,68009.0,628715.68,76313.0,,1351.5,174.0,39.0,349.0,0.498567335243553
13,JM.DCE,20230419,1595.0,1587.0,1595.0,1614.5,1575.0,1583.5,1595.0,-3.5,8.0,49591.0,474594.77,65515.0,,1412.5,171.0,58.0,346.0,0.49421965317919075
14,JM.DCE,20230418,1574.0,1549.0,1578.0,1609.5,1570.0,1595.0,1587.0,46.0,38.0,67885.0,646567.91,64198.0,,1352.0,243.0,11.5,297.0,0.8181818181818182
15,JM.DCE,20230417,1550.5,1562.5,1540.5,1575.0,1523.0,1574.0,1549.0,11.5,-13.5,63162.0,587061.91,63258.0,,1325.5,248.5,21.0,291.5,0.8524871355060034
16,JM.DCE,20230414,1726.0,1550.0,1531.0,1592.0,1531.0,1550.5,1562.5,0.5,12.5,53611.0,502621.5,60219.0,,1385.0,165.5,23.5,255.5,0.6477495107632094
17,JM.DCE,20230413,1725.0,1720.0,1721.0,1727.5,1705.0,1726.0,1716.0,6.0,-4.0,26940.0,277395.33,37642.0,,1416.5,309.5,175.5,399.5,0.7747183979974969
