,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,JML.DCE,20230511,1240.0,1240.0,1258.0,1258.0,1250.0,1250.0,1254.0,10.0,14.0,2.0,15.05,518.0,,,,,,
1,JML.DCE,20230510,1235.0,1243.0,1230.0,1245.0,1230.0,1240.0,1240.0,-3.0,-3.0,26.0,193.47,518.0,,,,10.0,,
2,JML.DCE,20230509,1255.0,1238.5,1250.0,1250.0,1235.0,1235.0,1243.0,-3.5,4.5,9.0,67.14,621.0,,,,5.0,,
3,JML.DCE,20230508,1237.0,1233.5,1240.0,1255.0,1225.0,1255.0,1238.5,21.5,5.0,181.0,1345.2,625.0,,,,20.0,,
4,JML.DCE,20230505,1230.0,1241.5,1230.0,1240.0,1211.0,1237.0,1233.5,-4.5,-8.0,211.0,1561.86,802.0,,,,18.0,,
5,JML.DCE,20230504,1262.0,1324.0,1231.0,1264.0,1230.0,1230.0,1241.5,-94.0,-82.5,213.0,1586.85,893.0,,,,7.0,,
6,JML.DCE,20230428,1414.5,1434.5,1415.0,1415.5,1235.0,1262.0,1324.0,-172.5,-110.5,7144.0,56755.42,1161.0,,,,32.0,,
7,JML.DCE,20230427,1452.0,1478.5,1451.5,1476.5,1405.0,1414.5,1434.5,-64.0,-44.0,4494.0,38692.16,3904.0,,,,152.5,,
8,JML.DCE,20230426,1502.5,1526.5,1502.0,1502.0,1447.5,1452.0,1478.5,-74.5,-48.0,5648.0,50115.3,6460.0,,,,37.5,,
9,JML.DCE,20230425,1551.5,1557.0,1553.0,1556.0,1501.0,1502.5,1526.5,-54.5,-30.5,4771.0,43700.79,9059.0,,,,50.5,,
10,JML.DCE,20230424,1536.0,1578.5,1622.5,1622.5,1525.5,1551.5,1557.0,-27.0,-21.5,8152.0,76168.95,11238.0,,1250.0,301.5,49.0,381.5,0.7903014416775884
11,JML.DCE,20230421,1618.5,1644.5,1615.5,1619.0,1535.0,1536.0,1578.5,-108.5,-66.0,9410.0,89122.45,15094.0,,1240.0,296.0,15.5,387.0,0.7648578811369509
12,JML.DCE,20230420,1688.0,1698.0,1680.0,1680.0,1617.0,1618.5,1644.5,-79.5,-53.5,7143.0,70483.44,18147.0,,1235.0,383.5,82.5,464.5,0.8256189451022605
13,JML.DCE,20230419,1713.5,1705.0,1710.0,1712.0,1684.0,1688.0,1698.0,-17.0,-7.0,7512.0,76539.59,19830.0,,1255.0,433.0,69.5,514.0,0.8424124513618677
14,JML.DCE,20230418,1770.0,1700.5,1708.5,1723.0,1680.0,1713.5,1705.0,13.0,4.5,11469.0,117345.07,21726.0,,1237.0,476.5,25.5,521.5,0.9137104506232023
15,JML.DCE,20230417,1770.0,1770.0,1770.0,1770.0,1770.0,1770.0,1844.5,0.0,74.5,2.0,21.24,0.0,,1230.0,540.0,56.5,571.0,0.9457092819614711
