,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,CS.DCE,20230511,2908.0,2903.0,2908.0,2922.0,2865.0,2871.0,2886.0,-32.0,-17.0,214995.0,620519.95,236579.0,,,,,,
1,CS.DCE,20230510,2955.0,2955.0,2961.0,2961.0,2874.0,2908.0,2903.0,-47.0,-52.0,371224.0,1077690.37,234254.0,,,,37.0,,
2,CS.DCE,20230509,2970.0,2950.0,2962.0,2970.0,2943.0,2955.0,2955.0,5.0,5.0,152688.0,451274.08,219827.0,,,,47.0,,
3,CS.DCE,20230508,2931.0,2934.0,2930.0,2975.0,2930.0,2970.0,2950.0,36.0,16.0,193672.0,571514.33,226193.0,,,,15.0,,
4,CS.DCE,20230505,2933.0,2954.0,2942.0,2946.0,2922.0,2931.0,2934.0,-23.0,-20.0,171273.0,502685.52,244289.0,,,,39.0,,
5,CS.DCE,20230504,2973.0,2964.0,2984.0,2996.0,2928.0,2933.0,2954.0,-31.0,-10.0,189626.0,560308.2,237648.0,,,,2.0,,
6,CS.DCE,20230428,2987.0,2993.0,2983.0,2984.0,2942.0,2973.0,2964.0,-20.0,-29.0,187690.0,556315.89,228330.0,,,,40.0,,
7,CS.DCE,20230427,2987.0,2973.0,2987.0,3019.0,2977.0,2987.0,2993.0,14.0,20.0,182454.0,546242.78,233756.0,,,,14.0,,
8,CS.DCE,20230426,2953.0,2955.0,2950.0,2992.0,2950.0,2987.0,2973.0,32.0,18.0,174426.0,518621.63,235942.0,,,,0.0,,
9,CS.DCE,20230425,2970.0,2974.0,2968.0,2974.0,2944.0,2953.0,2955.0,-21.0,-19.0,163729.0,483978.55,242747.0,,,,34.0,,
10,CS.DCE,20230424,2974.0,2984.0,2970.0,2998.0,2958.0,2970.0,2974.0,-14.0,-10.0,196072.0,583219.23,234941.0,,2871.0,99.0,17.0,245.0,0.40408163265306124
11,CS.DCE,20230421,2995.0,3000.0,3003.0,3003.0,2970.0,2974.0,2984.0,-26.0,-16.0,180503.0,538785.72,233936.0,,2908.0,66.0,4.0,212.0,0.3113207547169811
12,CS.DCE,20230420,3019.0,3036.0,3015.0,3024.0,2976.0,2995.0,3000.0,-41.0,-36.0,226840.0,680705.95,227049.0,,2955.0,40.0,21.0,186.0,0.21505376344086022
13,CS.DCE,20230419,3030.0,3031.0,3018.0,3056.0,3014.0,3019.0,3036.0,-12.0,5.0,187624.0,569636.71,223421.0,,2970.0,49.0,24.0,195.0,0.2512820512820513
14,CS.DCE,20230418,3022.0,3018.0,3029.0,3041.0,3014.0,3030.0,3031.0,12.0,13.0,168983.0,512254.35,217070.0,,2931.0,99.0,11.0,167.0,0.592814371257485
15,CS.DCE,20230417,3033.0,3020.0,3033.0,3035.0,3000.0,3022.0,3018.0,2.0,-2.0,177681.0,536274.51,224769.0,,2933.0,89.0,8.0,173.0,0.5144508670520231
16,CS.DCE,20230414,3018.0,3026.0,3021.0,3035.0,3004.0,3033.0,3020.0,7.0,-6.0,139296.0,420769.52,215059.0,,2973.0,60.0,11.0,144.0,0.4166666666666667
17,CS.DCE,20230413,3044.0,3046.0,3044.0,3061.0,3008.0,3018.0,3026.0,-28.0,-20.0,186603.0,564823.12,219039.0,,2987.0,31.0,15.0,145.0,0.21379310344827587
18,CS.DCE,20230412,3051.0,3047.0,3062.0,3062.0,3036.0,3044.0,3046.0,-3.0,-1.0,142439.0,433898.35,212518.0,,2987.0,57.0,26.0,171.0,0.3333333333333333
