,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,CSL.DCE,20230511,3001.0,3047.0,3009.0,3009.0,3009.0,3009.0,3010.0,-38.0,-37.0,47.0,141.5,4071.0,,,,,,
1,CSL.DCE,20230510,2990.0,2990.0,3088.0,3098.0,3001.0,3001.0,3047.0,11.0,57.0,40.0,121.88,4288.0,,,,8.0,,
2,CSL.DCE,20230509,2973.0,2984.0,,,,2990.0,2990.0,6.0,6.0,0.0,0.0,4308.0,,,,11.0,,
3,CSL.DCE,20230508,2973.0,2967.0,2973.0,2973.0,2973.0,2973.0,2984.0,6.0,17.0,21.0,62.67,6608.0,,,,17.0,,
4,CSL.DCE,20230505,2994.0,2993.0,2929.0,2975.0,2929.0,2973.0,2967.0,-20.0,-26.0,95.0,281.92,6829.0,,,,0.0,,
5,CSL.DCE,20230504,2978.0,2976.0,2978.0,2994.0,2978.0,2994.0,2993.0,18.0,17.0,1158.0,3466.99,6872.0,,,,21.0,,
6,CSL.DCE,20230428,2993.0,2998.0,2993.0,2995.0,2954.0,2978.0,2976.0,-20.0,-22.0,1287.0,3830.15,6875.0,,,,16.0,,
7,CSL.DCE,20230427,2997.0,2967.0,2997.0,3020.0,2984.0,2993.0,2998.0,26.0,31.0,2059.0,6174.62,7762.0,,,,15.0,,
8,CSL.DCE,20230426,2951.0,2964.0,2955.0,2998.0,2955.0,2997.0,2967.0,33.0,3.0,3884.0,11526.66,8854.0,,,,4.0,,
9,CSL.DCE,20230425,2973.0,2984.0,2978.0,2978.0,2946.0,2951.0,2964.0,-33.0,-20.0,3899.0,11559.2,10256.0,,,,46.0,,
10,CSL.DCE,20230424,2987.0,3000.0,2985.0,3006.0,2962.0,2973.0,2984.0,-27.0,-16.0,7078.0,21122.04,12530.0,,3009.0,36.0,22.0,160.0,0.225
11,CSL.DCE,20230421,3005.0,3013.0,3005.0,3009.0,2981.0,2987.0,3000.0,-26.0,-13.0,6961.0,20884.56,16817.0,,3001.0,14.0,14.0,166.0,0.08433734939759036
12,CSL.DCE,20230420,3023.0,3043.0,3026.0,3033.0,3001.0,3005.0,3013.0,-38.0,-30.0,10607.0,31967.88,21737.0,,2990.0,15.0,18.0,173.0,0.08670520231213873
13,CSL.DCE,20230419,3038.0,3038.0,3038.0,3060.0,3021.0,3023.0,3043.0,-15.0,5.0,16677.0,50762.56,27868.0,,2973.0,50.0,18.0,174.0,0.28735632183908044
14,CSL.DCE,20230418,3031.0,3032.0,3030.0,3047.0,3030.0,3038.0,3038.0,6.0,6.0,13210.0,40134.0,37518.0,,2973.0,65.0,15.0,189.0,0.3439153439153439
15,CSL.DCE,20230417,3043.0,3028.0,3043.0,3044.0,3018.0,3031.0,3032.0,3.0,4.0,15729.0,47694.05,42211.0,,2994.0,37.0,7.0,175.0,0.21142857142857144
16,CSL.DCE,20230414,3024.0,3031.0,3026.0,3043.0,3015.0,3043.0,3028.0,12.0,-3.0,15260.0,46217.69,48812.0,,2978.0,65.0,12.0,171.0,0.38011695906432746
17,CSL.DCE,20230413,3045.0,3041.0,3045.0,3056.0,3019.0,3024.0,3031.0,-17.0,-10.0,18821.0,57062.89,55241.0,,2993.0,31.0,19.0,175.0,0.17714285714285713
18,CSL.DCE,20230412,3044.0,3039.0,3039.0,3052.0,3030.0,3045.0,3041.0,6.0,2.0,30026.0,91334.7,58738.0,,2997.0,48.0,21.0,192.0,0.25
19,CSL.DCE,20230411,3033.0,3014.0,3026.0,3054.0,3017.0,3044.0,3039.0,30.0,25.0,31664.0,96249.74,63803.0,,2951.0,93.0,1.0,147.0,0.6326530612244898
20,CSL.DCE,20230410,2987.0,2972.0,2982.0,3043.0,2982.0,3033.0,3014.0,61.0,42.0,76513.0,230682.72,67739.0,,2973.0,60.0,11.0,136.0,0.4411764705882353
21,CSL.DCE,20230407,2963.0,2976.0,2969.0,2994.0,2944.0,2987.0,2972.0,11.0,-4.0,56504.0,167967.49,84852.0,,2987.0,0.0,46.0,168.0,0.0
22,CSL.DCE,20230406,2982.0,2969.0,2986.0,2987.0,2963.0,2963.0,2976.0,-6.0,7.0,56218.0,167324.59,99493.0,,3005.0,42.0,24.0,174.0,0.2413793103448276
23,CSL.DCE,20230404,2954.0,2968.0,2950.0,2988.0,2950.0,2982.0,2969.0,14.0,1.0,95579.0,283852.56,117607.0,,3023.0,41.0,19.0,175.0,0.2342857142857143
24,CSL.DCE,20230403,2948.0,2939.0,2962.0,2986.0,2950.0,2954.0,2968.0,15.0,29.0,150129.0,445679.88,132484.0,,3038.0,84.0,28.0,188.0,0.44680851063829785
