,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,CL.DCE,20230511,2556.0,2545.0,,,,2545.0,2545.0,0.0,0.0,0.0,0.0,16534.0,,,,,,
1,CL.DCE,20230510,2590.0,2591.0,2591.0,2591.0,2540.0,2556.0,2545.0,-35.0,-46.0,825.0,2100.29,16534.0,,,,11.0,,
2,CL.DCE,20230509,2608.0,2598.0,2608.0,2608.0,2585.0,2590.0,2591.0,-8.0,-7.0,526.0,1363.13,17454.0,,,,34.0,,
3,CL.DCE,20230508,2584.0,2576.0,2599.0,2608.0,2590.0,2608.0,2598.0,32.0,22.0,3480.0,9042.87,19755.0,,,,18.0,,
4,CL.DCE,20230505,2570.0,2488.0,2570.0,2591.0,2570.0,2584.0,2576.0,96.0,88.0,492.0,1267.74,21374.0,,,,24.0,,
5,CL.DCE,20230504,2616.0,2616.0,2655.0,2655.0,2407.0,2570.0,2488.0,-46.0,-128.0,4547.0,11315.92,21585.0,,,,14.0,,
6,CL.DCE,20230428,2631.0,2642.0,2633.0,2633.0,2602.0,2616.0,2616.0,-26.0,-26.0,14481.0,37888.32,28407.0,,,,46.0,,
7,CL.DCE,20230427,2651.0,2647.0,2647.0,2654.0,2630.0,2631.0,2642.0,-16.0,-5.0,13303.0,35157.8,34236.0,,,,15.0,,
8,CL.DCE,20230426,2640.0,2636.0,2636.0,2655.0,2636.0,2651.0,2647.0,15.0,11.0,20024.0,53020.25,40885.0,,,,20.0,,
9,CL.DCE,20230425,2648.0,2649.0,2648.0,2648.0,2628.0,2640.0,2636.0,-9.0,-13.0,20495.0,54033.99,46914.0,,,,11.0,,
10,CL.DCE,20230424,2648.0,2670.0,2650.0,2663.0,2640.0,2648.0,2649.0,-22.0,-21.0,24428.0,64733.48,55977.0,,2545.0,103.0,8.0,201.0,0.5124378109452736
11,CL.DCE,20230421,2685.0,2690.0,2605.0,2686.0,2605.0,2648.0,2670.0,-42.0,-20.0,27943.0,74618.61,69537.0,,2556.0,92.0,0.0,190.0,0.4842105263157895
12,CL.DCE,20230420,2709.0,2719.0,2717.0,2717.0,2667.0,2685.0,2690.0,-34.0,-29.0,50526.0,135952.8,82006.0,,2590.0,95.0,37.0,193.0,0.49222797927461137
13,CL.DCE,20230419,2726.0,2727.0,2725.0,2731.0,2704.0,2709.0,2719.0,-18.0,-8.0,34383.0,93518.56,101352.0,,2608.0,101.0,24.0,199.0,0.507537688442211
14,CL.DCE,20230418,2723.0,2731.0,2727.0,2734.0,2721.0,2726.0,2727.0,-5.0,-4.0,46416.0,126577.42,117051.0,,2584.0,142.0,17.0,192.0,0.7395833333333334
15,CL.DCE,20230417,2749.0,2745.0,2749.0,2749.0,2722.0,2723.0,2731.0,-22.0,-14.0,54399.0,148577.05,142774.0,,2570.0,153.0,3.0,181.0,0.8453038674033149
16,CL.DCE,20230414,2740.0,2750.0,2740.0,2754.0,2736.0,2749.0,2745.0,-1.0,-5.0,42522.0,116756.3,167433.0,,2616.0,133.0,26.0,161.0,0.8260869565217391
