,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,LHL.DCE,20230511,14690.0,14635.0,15595.0,15595.0,14255.0,14685.0,14705.0,50.0,70.0,18.0,423.53,57.0,,,,,,
1,LHL.DCE,20230510,14700.0,14665.0,14780.0,14780.0,14500.0,14690.0,14635.0,25.0,-30.0,21.0,491.79,64.0,,,,5.0,,
2,LHL.DCE,20230509,14615.0,14575.0,14680.0,14730.0,14535.0,14700.0,14665.0,125.0,90.0,15.0,352.06,78.0,,,,10.0,,
3,LHL.DCE,20230508,14440.0,14390.0,14490.0,14620.0,14490.0,14615.0,14575.0,225.0,185.0,16.0,373.14,85.0,,,,85.0,,
4,LHL.DCE,20230505,14170.0,14130.0,14450.0,14450.0,14285.0,14440.0,14390.0,310.0,260.0,12.0,276.32,109.0,,,,175.0,,
5,LHL.DCE,20230504,14490.0,14490.0,14490.0,14490.0,14005.0,14170.0,14130.0,-320.0,-360.0,126.0,2848.73,116.0,,,,270.0,,
6,LHL.DCE,20230428,14500.0,14475.0,14580.0,14580.0,14450.0,14490.0,14490.0,15.0,15.0,3782.0,87690.13,209.0,,,,320.0,,
7,LHL.DCE,20230427,14500.0,14630.0,14465.0,14550.0,14390.0,14500.0,14475.0,-130.0,-155.0,3612.0,83670.19,3539.0,,,,10.0,,
8,LHL.DCE,20230426,14725.0,14965.0,14720.0,14730.0,14485.0,14500.0,14630.0,-465.0,-335.0,4032.0,94408.86,5966.0,,,,0.0,,
9,LHL.DCE,20230425,15360.0,15355.0,15400.0,15410.0,14720.0,14725.0,14965.0,-630.0,-390.0,4123.0,98723.97,8448.0,,,,225.0,,
10,LHL.DCE,20230424,15120.0,15120.0,15435.0,15515.0,15245.0,15360.0,15355.0,240.0,235.0,4452.0,109401.01,10194.0,,14685.0,675.0,635.0,1735.0,0.38904899135446686
11,LHL.DCE,20230421,14950.0,14960.0,15000.0,15220.0,15000.0,15120.0,15120.0,160.0,160.0,5165.0,124984.74,12634.0,,14690.0,430.0,240.0,1970.0,0.2182741116751269
12,LHL.DCE,20230420,15060.0,14975.0,15005.0,15025.0,14905.0,14950.0,14960.0,-25.0,-15.0,3369.0,80647.75,14972.0,,14700.0,250.0,170.0,2130.0,0.11737089201877934
13,LHL.DCE,20230419,14890.0,14875.0,14945.0,15140.0,14830.0,15060.0,14975.0,185.0,100.0,7482.0,179321.09,16194.0,,14615.0,445.0,110.0,2155.0,0.20649651972157773
14,LHL.DCE,20230418,14770.0,14710.0,14900.0,14995.0,14750.0,14890.0,14875.0,180.0,165.0,7141.0,170007.3,18853.0,,14440.0,450.0,170.0,2150.0,0.20930232558139536
15,LHL.DCE,20230417,14645.0,14655.0,14600.0,14860.0,14570.0,14770.0,14710.0,115.0,55.0,9505.0,223781.07,21351.0,,14170.0,600.0,120.0,2000.0,0.3
16,LHL.DCE,20230414,14580.0,14635.0,14600.0,14745.0,14595.0,14645.0,14655.0,10.0,20.0,13740.0,322273.1,24152.0,,14490.0,155.0,125.0,1805.0,0.08587257617728532
17,LHL.DCE,20230413,14760.0,14770.0,14735.0,14770.0,14555.0,14580.0,14635.0,-190.0,-135.0,15443.0,361687.22,28793.0,,14500.0,80.0,65.0,1860.0,0.043010752688172046
18,LHL.DCE,20230412,14790.0,14800.0,14750.0,14845.0,14700.0,14760.0,14770.0,-40.0,-30.0,9507.0,224681.78,32041.0,,14500.0,260.0,180.0,2040.0,0.12745098039215685
19,LHL.DCE,20230411,14765.0,14770.0,14790.0,14880.0,14725.0,14790.0,14800.0,20.0,30.0,12563.0,297534.92,34331.0,,14725.0,65.0,30.0,1845.0,0.03523035230352303
20,LHL.DCE,20230410,14965.0,14975.0,14875.0,14920.0,14675.0,14765.0,14770.0,-210.0,-205.0,17675.0,417832.51,36677.0,,15360.0,595.0,25.0,1235.0,0.4817813765182186
21,LHL.DCE,20230407,14820.0,14835.0,14865.0,15070.0,14865.0,14965.0,14975.0,130.0,140.0,19854.0,475735.29,39066.0,,15120.0,155.0,200.0,1195.0,0.1297071129707113
22,LHL.DCE,20230406,14965.0,14950.0,14830.0,14915.0,14770.0,14820.0,14835.0,-130.0,-115.0,14099.0,334756.32,40224.0,,14950.0,130.0,145.0,1170.0,0.1111111111111111
23,LHL.DCE,20230404,14940.0,15120.0,14960.0,15030.0,14865.0,14965.0,14950.0,-155.0,-170.0,14586.0,348956.44,41556.0,,15060.0,95.0,145.0,1205.0,0.07883817427385892
24,LHL.DCE,20230403,15075.0,15140.0,15120.0,15275.0,14905.0,14940.0,15120.0,-200.0,-20.0,25248.0,610898.98,43240.0,,14890.0,50.0,25.0,1060.0,0.04716981132075472
25,LHL.DCE,20230331,15180.0,15155.0,15095.0,15220.0,15010.0,15075.0,15140.0,-80.0,-15.0,25581.0,619771.42,44087.0,,14770.0,305.0,135.0,1075.0,0.2837209302325581
26,LHL.DCE,20230330,15180.0,15260.0,15190.0,15240.0,15060.0,15180.0,15155.0,-80.0,-105.0,20777.0,503961.31,47635.0,,14645.0,535.0,105.0,1055.0,0.5071090047393365
27,LHL.DCE,20230329,13800.0,15505.0,15440.0,15515.0,15095.0,15180.0,15260.0,-325.0,-245.0,30342.0,740972.02,51691.0,,14580.0,600.0,0.0,990.0,0.6060606060606061
28,LHL.DCE,20230328,13800.0,13800.0,,,,13800.0,13800.0,0.0,0.0,0.0,0.0,0.0,,14760.0,960.0,1380.0,2190.0,0.4383561643835616
29,LHL.DCE,20230327,13800.0,13800.0,,,,13800.0,13800.0,0.0,0.0,0.0,0.0,0.0,,14790.0,990.0,0.0,2160.0,0.4583333333333333
30,LHL.DCE,20230324,13800.0,13800.0,,,,13800.0,13800.0,0.0,0.0,0.0,0.0,0.0,,14765.0,965.0,0.0,2135.0,0.4519906323185012
31,LHL.DCE,20230323,13800.0,13800.0,,,,13800.0,13800.0,0.0,0.0,0.0,0.0,0.0,,14965.0,1165.0,0.0,1935.0,0.6020671834625323
