,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,RR.DCE,20230511,3373.0,3380.0,3376.0,3382.0,3365.0,3365.0,3371.0,-15.0,-9.0,7593.0,25603.17,21998.0,,,,,,
1,RR.DCE,20230510,3386.0,3392.0,3386.0,3391.0,3371.0,3373.0,3380.0,-19.0,-12.0,8016.0,27100.22,22383.0,,,,8.0,,
2,RR.DCE,20230509,3398.0,3399.0,3400.0,3401.0,3383.0,3386.0,3392.0,-13.0,-7.0,9626.0,32654.58,23028.0,,,,13.0,,
3,RR.DCE,20230508,3400.0,3405.0,3400.0,3406.0,3396.0,3398.0,3399.0,-7.0,-6.0,6035.0,20518.96,23859.0,,,,12.0,,
4,RR.DCE,20230505,3418.0,3424.0,3422.0,3422.0,3396.0,3400.0,3405.0,-24.0,-19.0,7659.0,26084.55,24814.0,,,,2.0,,
5,RR.DCE,20230504,3419.0,3427.0,3421.0,3429.0,3417.0,3418.0,3424.0,-9.0,-3.0,3546.0,12141.9,24419.0,,,,18.0,,
6,RR.DCE,20230428,3433.0,3438.0,3432.0,3440.0,3412.0,3419.0,3427.0,-19.0,-11.0,4318.0,14801.42,24316.0,,,,1.0,,
7,RR.DCE,20230427,3441.0,3432.0,3437.0,3450.0,3429.0,3433.0,3438.0,1.0,6.0,5919.0,20350.06,24237.0,,,,14.0,,
8,RR.DCE,20230426,3432.0,3428.0,3434.0,3446.0,3424.0,3441.0,3432.0,13.0,4.0,10861.0,37282.0,24115.0,,,,8.0,,
9,RR.DCE,20230425,3431.0,3428.0,3433.0,3436.0,3422.0,3432.0,3428.0,4.0,0.0,7493.0,25689.67,22640.0,,,,9.0,,
10,RR.DCE,20230424,3423.0,3436.0,3431.0,3445.0,3418.0,3431.0,3428.0,-5.0,-8.0,11212.0,38437.54,20732.0,,3365.0,66.0,1.0,86.0,0.7674418604651163
11,RR.DCE,20230421,3433.0,3423.0,3429.0,3435.0,3418.0,3423.0,3426.0,0.0,3.0,7451.0,25528.3,17138.0,,3373.0,50.0,8.0,86.0,0.5813953488372093
12,RR.DCE,20230420,3428.0,3441.0,3428.0,3438.0,3413.0,3433.0,3423.0,-8.0,-18.0,8056.0,27578.29,17972.0,,3386.0,47.0,10.0,83.0,0.5662650602409639
13,RR.DCE,20230419,3449.0,3444.0,3444.0,3452.0,3425.0,3428.0,3441.0,-16.0,-3.0,11406.0,39259.41,18175.0,,3398.0,30.0,5.0,76.0,0.39473684210526316
14,RR.DCE,20230418,3447.0,3441.0,3442.0,3453.0,3433.0,3449.0,3444.0,8.0,3.0,5404.0,18614.54,17662.0,,3400.0,49.0,21.0,95.0,0.5157894736842106
15,RR.DCE,20230417,3449.0,3441.0,3444.0,3453.0,3425.0,3447.0,3441.0,6.0,0.0,8793.0,30257.52,17486.0,,3418.0,29.0,2.0,79.0,0.3670886075949367
16,RR.DCE,20230414,3439.0,3419.0,3439.0,3454.0,3430.0,3449.0,3441.0,30.0,22.0,9712.0,33428.23,17740.0,,3419.0,30.0,2.0,80.0,0.375
17,RR.DCE,20230413,3390.0,3385.0,3391.0,3444.0,3385.0,3439.0,3419.0,54.0,34.0,12365.0,42276.9,17740.0,,3433.0,6.0,10.0,76.0,0.07894736842105263
18,RR.DCE,20230412,3393.0,3392.0,3393.0,3395.0,3381.0,3390.0,3385.0,-2.0,-7.0,3604.0,12202.41,14239.0,,3441.0,51.0,49.0,117.0,0.4358974358974359
19,RR.DCE,20230411,3396.0,3395.0,3399.0,3399.0,3390.0,3393.0,3392.0,-2.0,-3.0,2117.0,7182.65,13422.0,,3432.0,39.0,3.0,111.0,0.35135135135135137
20,RR.DCE,20230410,3397.0,3396.0,3398.0,3399.0,3391.0,3396.0,3395.0,0.0,-1.0,2542.0,8630.69,13756.0,,3431.0,35.0,3.0,113.0,0.30973451327433627
21,RR.DCE,20230407,3400.0,3394.0,3401.0,3406.0,3388.0,3397.0,3396.0,3.0,2.0,3296.0,11196.1,13705.0,,3423.0,26.0,1.0,106.0,0.24528301886792453
22,RR.DCE,20230406,3398.0,3393.0,3397.0,3401.0,3391.0,3400.0,3394.0,7.0,1.0,2274.0,7720.17,13610.0,,3433.0,33.0,3.0,99.0,0.3333333333333333
23,RR.DCE,20230404,3365.0,3392.0,3391.0,3400.0,3387.0,3398.0,3393.0,6.0,1.0,2101.0,7129.27,13449.0,,3428.0,30.0,2.0,96.0,0.3125
24,RR.DCE,20230403,3375.0,3374.0,3376.0,3383.0,3363.0,3365.0,3369.0,-9.0,-5.0,1597.0,5381.58,12048.0,,3449.0,84.0,33.0,108.0,0.7777777777777778
25,RR.DCE,20230331,3377.0,3374.0,3376.0,3381.0,3367.0,3375.0,3374.0,1.0,0.0,2760.0,9312.45,12152.0,,3447.0,72.0,10.0,116.0,0.6206896551724138
26,RR.DCE,20230330,3373.0,3377.0,3375.0,3380.0,3366.0,3377.0,3374.0,0.0,-3.0,5843.0,19718.35,12733.0,,3449.0,72.0,2.0,116.0,0.6206896551724138
27,RR.DCE,20230329,3376.0,3378.0,3376.0,3384.0,3372.0,3373.0,3377.0,-5.0,-1.0,4593.0,15514.95,13401.0,,3439.0,66.0,4.0,110.0,0.6
28,RR.DCE,20230328,3381.0,3377.0,3383.0,3399.0,3372.0,3376.0,3378.0,-1.0,1.0,5273.0,17814.8,13963.0,,3390.0,14.0,3.0,64.0,0.21875
29,RR.DCE,20230327,3372.0,3367.0,3372.0,3386.0,3367.0,3381.0,3377.0,14.0,10.0,6517.0,22009.87,14200.0,,3393.0,12.0,5.0,66.0,0.18181818181818182
