,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,RRL.DCE,20230511,3388.0,3388.0,,,,3388.0,3388.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1,RRL.DCE,20230510,3388.0,3388.0,,,,3388.0,3388.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
2,RRL.DCE,20230509,3358.0,3358.0,3388.0,3388.0,3388.0,3388.0,3388.0,30.0,30.0,30.0,101.64,0.0,,,,0.0,,
3,RRL.DCE,20230508,3358.0,3358.0,,,,3358.0,3358.0,0.0,0.0,0.0,0.0,30.0,,,,30.0,,
4,RRL.DCE,20230505,3350.0,3314.0,,,,3358.0,3358.0,44.0,44.0,0.0,0.0,30.0,,,,0.0,,
5,RRL.DCE,20230504,3340.0,3343.0,3303.0,3350.0,3303.0,3350.0,3314.0,7.0,-29.0,4.0,13.26,30.0,,,,8.0,,
6,RRL.DCE,20230428,3376.0,3378.0,3363.0,3370.0,3322.0,3340.0,3343.0,-38.0,-35.0,86.0,287.56,31.0,,,,10.0,,
7,RRL.DCE,20230427,3382.0,3378.0,3376.0,3392.0,3375.0,3376.0,3378.0,-2.0,0.0,47.0,158.8,97.0,,,,36.0,,
8,RRL.DCE,20230426,3376.0,3375.0,3375.0,3393.0,3375.0,3382.0,3378.0,7.0,3.0,50.0,168.92,141.0,,,,6.0,,
9,RRL.DCE,20230425,3384.0,3400.0,3374.0,3380.0,3373.0,3376.0,3375.0,-24.0,-25.0,46.0,155.25,182.0,,,,6.0,,
10,RRL.DCE,20230424,3423.0,3427.0,3419.0,3433.0,3358.0,3384.0,3400.0,-43.0,-27.0,87.0,295.86,206.0,,3388.0,4.0,8.0,104.0,0.038461538461538464
11,RRL.DCE,20230421,3420.0,3410.0,3416.0,3435.0,3416.0,3423.0,3427.0,13.0,17.0,77.0,263.88,248.0,,3388.0,35.0,39.0,143.0,0.24475524475524477
12,RRL.DCE,20230420,3412.0,3405.0,3409.0,3420.0,3408.0,3420.0,3410.0,15.0,5.0,709.0,2418.11,293.0,,3388.0,32.0,3.0,146.0,0.2191780821917808
13,RRL.DCE,20230419,3405.0,3394.0,3401.0,3420.0,3396.0,3412.0,3405.0,18.0,11.0,3437.0,11706.35,938.0,,3358.0,54.0,8.0,124.0,0.43548387096774194
14,RRL.DCE,20230418,3337.0,3390.0,3392.0,3405.0,3386.0,3405.0,3394.0,15.0,4.0,2047.0,6947.65,2476.0,,3358.0,47.0,7.0,131.0,0.35877862595419846
15,RRL.DCE,20230417,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,0.0,,3350.0,13.0,68.0,191.0,0.06806282722513089
16,RRL.DCE,20230414,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,0.0,,3340.0,3.0,0.0,181.0,0.016574585635359115
17,RRL.DCE,20230413,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,110.0,,3376.0,39.0,0.0,145.0,0.2689655172413793
18,RRL.DCE,20230412,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,110.0,,3382.0,45.0,0.0,139.0,0.3237410071942446
19,RRL.DCE,20230411,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,110.0,,3376.0,39.0,0.0,133.0,0.2932330827067669
20,RRL.DCE,20230410,3337.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,110.0,,3384.0,47.0,0.0,125.0,0.376
21,RRL.DCE,20230407,3338.0,3337.0,,,,3337.0,3337.0,0.0,0.0,0.0,0.0,110.0,,3423.0,86.0,0.0,86.0,1.0
22,RRL.DCE,20230406,3296.0,3296.0,3300.0,3338.0,3300.0,3338.0,3337.0,42.0,41.0,127.0,423.89,110.0,,3420.0,82.0,1.0,84.0,0.9761904761904762
23,RRL.DCE,20230404,3292.0,3292.0,,,,3296.0,3296.0,4.0,4.0,0.0,0.0,236.0,,3412.0,116.0,42.0,118.0,0.9830508474576272
24,RRL.DCE,20230403,3336.0,3295.0,3292.0,3292.0,3292.0,3292.0,3292.0,-3.0,-3.0,1.0,3.29,236.0,,3405.0,113.0,4.0,115.0,0.9826086956521739
25,RRL.DCE,20230331,3296.0,3296.0,3294.0,3336.0,3292.0,3336.0,3295.0,40.0,-1.0,355.0,1170.0,236.0,,3337.0,1.0,44.0,91.0,0.01098901098901099
26,RRL.DCE,20230330,3299.0,3303.0,3295.0,3300.0,3295.0,3296.0,3296.0,-7.0,-7.0,126.0,415.41,409.0,,3337.0,41.0,40.0,131.0,0.31297709923664124
27,RRL.DCE,20230329,3307.0,3308.0,3303.0,3310.0,3296.0,3299.0,3303.0,-9.0,-5.0,262.0,865.39,427.0,,3337.0,38.0,3.0,134.0,0.2835820895522388
28,RRL.DCE,20230328,3319.0,3317.0,3313.0,3318.0,3306.0,3307.0,3308.0,-10.0,-9.0,141.0,466.48,634.0,,3337.0,30.0,8.0,142.0,0.2112676056338028
29,RRL.DCE,20230327,3325.0,3327.0,3321.0,3322.0,3314.0,3319.0,3317.0,-8.0,-10.0,93.0,308.5,733.0,,3337.0,18.0,12.0,154.0,0.11688311688311688
30,RRL.DCE,20230324,3336.0,3335.0,3334.0,3334.0,3316.0,3325.0,3327.0,-10.0,-8.0,236.0,785.28,796.0,,3337.0,12.0,6.0,160.0,0.075
