,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,FB.DCE,20230511,1278.5,1273.0,1278.5,1287.5,1266.0,1271.5,1275.5,-1.5,2.5,2351.0,2999.61,705.0,,,,,,
1,FB.DCE,20230510,1259.5,1262.0,1264.0,1294.5,1246.5,1278.5,1273.0,16.5,11.0,3275.0,4169.77,639.0,,,,7.0,,
2,FB.DCE,20230509,1276.0,1281.5,1281.0,1281.0,1255.0,1259.5,1262.0,-22.0,-19.5,1418.0,1789.58,530.0,,,,19.0,,
3,FB.DCE,20230508,1291.0,1291.5,1292.0,1295.5,1275.0,1276.0,1281.5,-15.5,-10.0,1251.0,1603.6,559.0,,,,16.5,,
4,FB.DCE,20230505,1198.0,1277.0,1279.5,1304.0,1268.0,1291.0,1291.5,14.0,14.5,1879.0,2427.1,611.0,,,,15.0,,
5,FB.DCE,20230504,1158.0,1144.0,1158.0,1200.0,1158.0,1198.0,1193.0,54.0,49.0,124.0,147.95,188.0,,,,93.0,,
6,FB.DCE,20230428,1145.5,1158.0,1146.5,1158.0,1135.0,1158.0,1144.0,0.0,-14.0,1183.0,1353.76,196.0,,,,40.0,,
7,FB.DCE,20230427,1164.5,1156.0,1164.0,1173.5,1136.0,1145.5,1158.0,-10.5,2.0,1609.0,1863.41,685.0,,,,12.5,,
8,FB.DCE,20230426,1152.0,1148.0,1156.0,1165.0,1146.5,1164.5,1156.0,16.5,8.0,1491.0,1723.93,986.0,,,,19.0,,
9,FB.DCE,20230425,1157.0,1161.5,1157.0,1162.0,1141.5,1152.0,1148.0,-9.5,-13.5,1874.0,2152.09,1323.0,,,,12.5,,
10,FB.DCE,20230424,1168.5,1175.0,1168.0,1174.0,1152.0,1157.0,1161.5,-18.0,-13.5,1171.0,1360.68,1493.0,,1271.5,114.5,5.0,239.5,0.4780793319415449
11,FB.DCE,20230421,1180.5,1178.5,1175.0,1187.5,1164.0,1168.5,1175.0,-10.0,-3.5,1039.0,1220.93,1548.0,,1278.5,110.0,11.5,244.0,0.45081967213114754
