,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,FBL.DCE,20230511,1200.0,1201.0,,,,1201.0,1201.0,0.0,0.0,0.0,0.0,129.0,,,,,,
1,FBL.DCE,20230510,1205.5,1205.5,1203.0,1203.0,1200.0,1200.0,1201.0,-5.5,-4.5,100.0,120.12,129.0,,,,1.0,,
2,FBL.DCE,20230509,1205.5,1205.5,,,,1205.5,1205.5,0.0,0.0,0.0,0.0,188.0,,,,5.5,,
3,FBL.DCE,20230508,1205.5,1205.5,,,,1205.5,1205.5,0.0,0.0,0.0,0.0,188.0,,,,0.0,,
4,FBL.DCE,20230505,1198.0,1193.0,1205.5,1205.5,1205.5,1205.5,1205.5,12.5,12.5,1.0,1.21,188.0,,,,0.0,,
5,FBL.DCE,20230504,1158.0,1144.0,1158.0,1200.0,1158.0,1198.0,1193.0,54.0,49.0,124.0,147.95,188.0,,,,7.5,,
6,FBL.DCE,20230428,1145.5,1158.0,1146.5,1158.0,1135.0,1158.0,1144.0,0.0,-14.0,1183.0,1353.76,196.0,,,,40.0,,
7,FBL.DCE,20230427,1164.5,1156.0,1164.0,1173.5,1136.0,1145.5,1158.0,-10.5,2.0,1609.0,1863.41,685.0,,,,12.5,,
8,FBL.DCE,20230426,1152.0,1148.0,1156.0,1165.0,1146.5,1164.5,1156.0,16.5,8.0,1491.0,1723.93,986.0,,,,19.0,,
9,FBL.DCE,20230425,1157.0,1161.5,1157.0,1162.0,1141.5,1152.0,1148.0,-9.5,-13.5,1874.0,2152.09,1323.0,,,,12.5,,
10,FBL.DCE,20230424,1168.5,1175.0,1168.0,1174.0,1152.0,1157.0,1161.5,-18.0,-13.5,1171.0,1360.68,1493.0,,1201.0,44.0,5.0,103.0,0.42718446601941745
11,FBL.DCE,20230421,1180.5,1178.5,1175.0,1187.5,1164.0,1168.5,1175.0,-10.0,-3.5,1039.0,1220.93,1548.0,,1200.0,31.5,11.5,113.5,0.2775330396475771
12,FBL.DCE,20230420,1192.0,1195.0,1192.0,1198.0,1161.0,1180.5,1178.5,-14.5,-16.5,2857.0,3368.14,1541.0,,1205.5,25.0,12.0,120.0,0.20833333333333334
13,FBL.DCE,20230419,1195.5,1193.0,1196.0,1199.5,1190.5,1192.0,1195.0,-1.0,2.0,761.0,909.48,1726.0,,1205.5,13.5,11.5,131.5,0.10266159695817491
14,FBL.DCE,20230418,1135.5,1187.5,1186.0,1197.0,1186.0,1195.5,1193.0,8.0,5.5,963.0,1149.0,1742.0,,1205.5,10.0,3.5,135.0,0.07407407407407407
15,FBL.DCE,20230417,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,0.0,,1198.0,62.5,60.0,187.5,0.3333333333333333
16,FBL.DCE,20230414,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1158.0,22.5,0.0,147.5,0.15254237288135594
17,FBL.DCE,20230413,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1145.5,10.0,0.0,135.0,0.07407407407407407
18,FBL.DCE,20230412,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1164.5,29.0,0.0,116.0,0.25
19,FBL.DCE,20230411,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1152.0,16.5,0.0,103.5,0.15942028985507245
20,FBL.DCE,20230410,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1157.0,21.5,0.0,98.5,0.2182741116751269
21,FBL.DCE,20230407,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1168.5,33.0,0.0,87.0,0.3793103448275862
22,FBL.DCE,20230406,1135.5,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1180.5,45.0,0.0,75.0,0.6
23,FBL.DCE,20230404,1165.0,1135.5,,,,1135.5,1135.5,0.0,0.0,0.0,0.0,71.0,,1192.0,56.5,0.0,63.5,0.889763779527559
24,FBL.DCE,20230403,1153.0,1176.5,1106.0,1165.0,1106.0,1165.0,1135.5,-11.5,-41.0,2.0,2.27,71.0,,1195.5,30.5,29.5,89.5,0.3407821229050279
25,FBL.DCE,20230331,1165.0,1164.0,1166.0,1185.0,1122.0,1153.0,1176.5,-11.0,12.5,56.0,65.91,72.0,,1135.5,17.5,12.0,41.5,0.42168674698795183
26,FBL.DCE,20230330,1176.0,1169.5,1163.0,1165.0,1163.0,1165.0,1164.0,-4.5,-5.5,4.0,4.66,74.0,,1135.5,29.5,12.0,53.5,0.5514018691588785
27,FBL.DCE,20230329,1157.0,1159.5,1157.0,1176.0,1157.0,1176.0,1169.5,16.5,10.0,3.0,3.51,74.0,,1135.5,40.5,11.0,64.5,0.627906976744186
28,FBL.DCE,20230328,1163.0,1163.0,1176.5,1176.5,1157.0,1157.0,1159.5,-6.0,-3.5,12.0,13.92,74.0,,1135.5,21.5,19.0,83.5,0.25748502994011974
29,FBL.DCE,20230327,1162.5,1166.0,,,,1163.0,1163.0,-3.0,-3.0,0.0,0.0,73.0,,1135.5,27.5,6.0,89.5,0.30726256983240224
30,FBL.DCE,20230324,1176.5,1177.0,1175.0,1175.0,1160.0,1162.5,1166.0,-14.5,-11.0,6.0,7.0,73.0,,1135.5,27.0,0.5,90.0,0.3
31,FBL.DCE,20230323,1172.0,1172.0,1178.0,1178.0,1176.5,1176.5,1177.0,4.5,5.0,5.0,5.88,74.0,,1135.5,41.0,14.0,104.0,0.3942307692307692
32,FBL.DCE,20230322,1170.0,1170.0,1172.0,1172.0,1172.0,1172.0,1172.0,2.0,2.0,1.0,1.17,74.0,,1135.5,36.5,4.5,108.5,0.33640552995391704
33,FBL.DCE,20230321,1181.0,1181.0,1171.0,1171.0,1170.0,1170.0,1170.0,-11.0,-11.0,5.0,5.85,74.0,,1135.5,34.5,2.0,110.5,0.31221719457013575
34,FBL.DCE,20230320,1182.0,1181.0,,,,1181.0,1181.0,0.0,0.0,0.0,0.0,74.0,,1165.0,16.0,11.0,92.0,0.17391304347826086
35,FBL.DCE,20230317,1180.0,1180.5,1179.5,1187.0,1177.5,1182.0,1181.0,1.5,0.5,5.0,5.91,74.0,,1153.0,29.0,1.0,81.0,0.35802469135802467
36,FBL.DCE,20230316,1207.5,1207.5,1193.5,1193.5,1177.0,1180.0,1180.5,-27.5,-27.0,6.0,7.09,74.0,,1165.0,15.0,2.0,71.0,0.2112676056338028
37,FBL.DCE,20230315,1276.5,1199.5,1207.5,1207.5,1207.5,1207.5,1207.5,8.0,8.0,1.0,1.21,74.0,,1176.0,31.5,27.5,87.5,0.36
38,FBL.DCE,20230314,1278.0,1278.0,,,,1276.5,1276.5,-1.5,-1.5,0.0,0.0,0.0,,1157.0,119.5,69.0,137.5,0.8690909090909091
39,FBL.DCE,20230313,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1163.0,115.0,1.5,133.0,0.8646616541353384
40,FBL.DCE,20230310,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1162.5,115.5,0.0,132.5,0.8716981132075472
41,FBL.DCE,20230309,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1176.5,101.5,0.0,118.5,0.8565400843881856
42,FBL.DCE,20230308,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1172.0,106.0,0.0,114.0,0.9298245614035088
43,FBL.DCE,20230307,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1170.0,108.0,0.0,112.0,0.9642857142857143
44,FBL.DCE,20230306,1278.0,1278.0,,,,1278.0,1278.0,0.0,0.0,0.0,0.0,250.0,,1181.0,97.0,0.0,101.0,0.9603960396039604
45,FBL.DCE,20230303,1278.0,1277.5,1278.0,1278.0,1278.0,1278.0,1278.0,0.5,0.5,18.0,23.0,250.0,,1182.0,96.0,0.0,100.0,0.96
46,FBL.DCE,20230302,1275.0,1276.0,1276.5,1278.0,1276.5,1278.0,1277.5,2.0,1.5,18.0,23.0,268.0,,1180.0,98.0,0.0,98.0,1.0
47,FBL.DCE,20230301,1283.0,1279.5,1275.5,1277.0,1275.0,1275.0,1276.0,-4.5,-3.5,62.0,79.13,286.0,,1207.5,67.5,3.0,73.5,0.9183673469387755
48,FBL.DCE,20230228,1283.0,1275.0,1283.0,1285.0,1274.5,1283.0,1279.5,8.0,4.5,331.0,423.62,348.0,,1276.5,6.5,8.0,12.5,0.52
49,FBL.DCE,20230227,1272.0,1272.5,1274.5,1283.0,1255.0,1283.0,1275.0,10.5,2.5,311.0,396.55,495.0,,1278.0,5.0,0.0,11.0,0.45454545454545453
50,FBL.DCE,20230224,1272.5,1272.0,1275.5,1279.0,1268.0,1272.0,1272.5,0.0,0.5,357.0,454.34,566.0,,1278.0,6.0,11.0,22.0,0.2727272727272727
51,FBL.DCE,20230223,1275.5,1277.0,1277.0,1278.0,1265.0,1272.5,1272.0,-4.5,-5.0,478.0,608.06,619.0,,1278.0,5.5,0.5,22.5,0.24444444444444444
52,FBL.DCE,20230222,1279.5,1284.5,1279.0,1284.5,1273.0,1275.5,1277.0,-9.0,-7.5,552.0,705.13,647.0,,1278.0,2.5,3.0,25.5,0.09803921568627451
53,FBL.DCE,20230221,1289.0,1291.5,1288.0,1294.5,1276.0,1279.5,1284.5,-12.0,-7.0,788.0,1012.24,677.0,,1278.0,1.5,4.0,29.5,0.05084745762711865
54,FBL.DCE,20230220,1287.5,1284.0,1287.0,1297.0,1286.0,1289.0,1291.5,5.0,7.5,863.0,1114.58,723.0,,1278.0,11.0,9.5,39.0,0.28205128205128205
55,FBL.DCE,20230217,1284.0,1280.0,1283.5,1289.0,1278.0,1287.5,1284.0,7.5,4.0,834.0,1070.88,715.0,,1278.0,9.5,1.5,40.5,0.2345679012345679
56,FBL.DCE,20230216,1282.0,1284.0,1284.0,1290.0,1261.0,1284.0,1280.0,0.0,-4.0,1032.0,1321.33,715.0,,1278.0,6.0,3.5,44.0,0.13636363636363635
57,FBL.DCE,20230215,1274.5,1287.0,1285.5,1292.0,1281.0,1282.0,1284.0,-5.0,-3.0,431.0,553.52,766.0,,1275.0,7.0,2.0,43.0,0.16279069767441862
58,FBL.DCE,20230214,1262.0,1262.0,,,,1274.5,1274.5,12.5,12.5,0.0,0.0,0.0,,1283.0,8.5,7.5,42.5,0.2
59,FBL.DCE,20230213,1262.0,1262.0,,,,1262.0,1262.0,0.0,0.0,0.0,0.0,89.0,,1283.0,21.0,12.5,55.0,0.38181818181818183
60,FBL.DCE,20230210,1262.0,1262.0,,,,1262.0,1262.0,0.0,0.0,0.0,0.0,89.0,,1272.0,10.0,0.0,44.0,0.22727272727272727
61,FBL.DCE,20230209,1262.0,1262.0,,,,1262.0,1262.0,0.0,0.0,0.0,0.0,89.0,,1272.5,10.5,0.0,43.5,0.2413793103448276
62,FBL.DCE,20230208,1262.0,1262.0,,,,1262.0,1262.0,0.0,0.0,0.0,0.0,89.0,,1275.5,13.5,0.0,40.5,0.3333333333333333
63,FBL.DCE,20230207,1274.5,1274.5,,,,1262.0,1262.0,-12.5,-12.5,0.0,0.0,89.0,,1279.5,17.5,0.0,36.5,0.4794520547945205
64,FBL.DCE,20230206,1263.0,1263.0,1274.5,1274.5,1274.5,1274.5,1274.5,11.5,11.5,1.0,1.27,89.0,,1289.0,14.5,12.5,39.5,0.3670886075949367
65,FBL.DCE,20230203,1263.0,1263.0,,,,1263.0,1263.0,0.0,0.0,0.0,0.0,89.0,,1287.5,24.5,11.5,49.5,0.494949494949495
66,FBL.DCE,20230202,1263.0,1263.0,,,,1263.0,1263.0,0.0,0.0,0.0,0.0,89.0,,1284.0,21.0,0.0,46.0,0.45652173913043476
67,FBL.DCE,20230201,1247.5,1263.0,,,,1263.0,1263.0,0.0,0.0,0.0,0.0,89.0,,1282.0,19.0,0.0,44.0,0.4318181818181818
68,FBL.DCE,20230131,1254.0,1226.5,1279.5,1280.0,1247.0,1247.5,1263.0,21.0,36.5,6.0,7.58,89.0,,1274.5,27.0,15.5,52.0,0.5192307692307693
69,FBL.DCE,20230130,1288.0,1264.0,1213.0,1281.5,1201.0,1254.0,1226.5,-10.0,-37.5,185.0,226.98,91.0,,1262.0,8.0,6.5,46.0,0.17391304347826086
