,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,PP.DCE,20230511,7255.0,7249.0,7255.0,7266.0,7195.0,7216.0,7222.0,-33.0,-27.0,400916.0,1447895.04,644719.0,,,,,,
1,PP.DCE,20230510,7257.0,7315.0,7256.0,7280.0,7218.0,7255.0,7249.0,-60.0,-66.0,366102.0,1326984.5,633716.0,,,,39.0,,
2,PP.DCE,20230509,7329.0,7312.0,7335.0,7360.0,7255.0,7257.0,7315.0,-55.0,3.0,379083.0,1386527.46,617023.0,,,,2.0,,
3,PP.DCE,20230508,7297.0,7272.0,7308.0,7346.0,7276.0,7329.0,7312.0,57.0,40.0,419826.0,1534907.35,598849.0,,,,72.0,,
4,PP.DCE,20230505,7332.0,7325.0,7332.0,7334.0,7231.0,7297.0,7272.0,-28.0,-53.0,404024.0,1469042.06,598138.0,,,,32.0,,
5,PP.DCE,20230504,7424.0,7427.0,7300.0,7374.0,7263.0,7332.0,7325.0,-95.0,-102.0,368789.0,1350706.35,552510.0,,,,35.0,,
6,PP.DCE,20230428,7412.0,7471.0,7415.0,7446.0,7406.0,7424.0,7427.0,-47.0,-44.0,305977.0,1136347.87,528951.0,,,,92.0,,
7,PP.DCE,20230427,7518.0,7520.0,7508.0,7529.0,7402.0,7412.0,7471.0,-108.0,-49.0,545921.0,2039402.29,545529.0,,,,12.0,,
8,PP.DCE,20230426,7556.0,7558.0,7540.0,7563.0,7481.0,7518.0,7520.0,-40.0,-38.0,462666.0,1739664.66,467562.0,,,,106.0,,
9,PP.DCE,20230425,7505.0,7540.0,7516.0,7595.0,7506.0,7556.0,7558.0,16.0,18.0,420687.0,1589900.44,440581.0,,,,38.0,,
10,PP.DCE,20230424,7573.0,7563.0,7575.0,7607.0,7495.0,7505.0,7540.0,-58.0,-23.0,437486.0,1649402.44,470728.0,,7216.0,289.0,51.0,479.0,0.6033402922755741
11,PP.DCE,20230421,7548.0,7537.0,7548.0,7606.0,7531.0,7573.0,7563.0,36.0,26.0,379252.0,1434156.68,436066.0,,7255.0,318.0,68.0,508.0,0.6259842519685039
12,PP.DCE,20230420,7573.0,7607.0,7570.0,7580.0,7501.0,7548.0,7537.0,-59.0,-70.0,416872.0,1571061.08,441023.0,,7257.0,291.0,25.0,531.0,0.5480225988700564
13,PP.DCE,20230419,7614.0,7608.0,7606.0,7638.0,7560.0,7573.0,7607.0,-35.0,-1.0,325751.0,1239016.69,413089.0,,7329.0,244.0,25.0,484.0,0.5041322314049587
14,PP.DCE,20230418,7604.0,7572.0,7584.0,7631.0,7584.0,7614.0,7608.0,42.0,36.0,277220.0,1054579.4,402033.0,,7297.0,317.0,41.0,493.0,0.6430020283975659
15,PP.DCE,20230417,7599.0,7527.0,7530.0,7607.0,7517.0,7604.0,7572.0,77.0,45.0,292329.0,1106885.64,382459.0,,7332.0,272.0,10.0,468.0,0.5811965811965812
16,PP.DCE,20230414,7572.0,7588.0,7589.0,7613.0,7553.0,7599.0,7582.0,11.0,-6.0,180210.0,683243.5,203428.0,,7424.0,175.0,5.0,381.0,0.45931758530183725
17,PP.DCE,20230413,7599.0,7581.0,7599.0,7622.0,7547.0,7572.0,7588.0,-9.0,7.0,253974.0,963607.99,241756.0,,7412.0,160.0,27.0,396.0,0.40404040404040403
18,PP.DCE,20230412,7587.0,7565.0,7574.0,7614.0,7555.0,7599.0,7581.0,34.0,16.0,225380.0,854348.48,269354.0,,7518.0,81.0,27.0,317.0,0.2555205047318612
19,PP.DCE,20230411,7554.0,7582.0,7552.0,7597.0,7537.0,7587.0,7565.0,5.0,-17.0,210580.0,796545.41,290043.0,,7556.0,31.0,12.0,291.0,0.10652920962199312
20,PP.DCE,20230410,7601.0,7572.0,7613.0,7630.0,7534.0,7554.0,7582.0,-18.0,10.0,252902.0,958759.05,308650.0,,7505.0,49.0,33.0,273.0,0.1794871794871795
21,PP.DCE,20230407,7580.0,7645.0,7580.0,7602.0,7545.0,7601.0,7572.0,-44.0,-73.0,245978.0,931289.8,315017.0,,7573.0,28.0,47.0,252.0,0.1111111111111111
22,PP.DCE,20230406,7675.0,7693.0,7670.0,7695.0,7575.0,7580.0,7645.0,-113.0,-48.0,244675.0,935287.33,322954.0,,7548.0,32.0,21.0,248.0,0.12903225806451613
23,PP.DCE,20230404,7715.0,7743.0,7715.0,7740.0,7652.0,7675.0,7693.0,-68.0,-50.0,270975.0,1042345.44,333050.0,,7573.0,102.0,95.0,318.0,0.32075471698113206
24,PP.DCE,20230403,7685.0,7669.0,7685.0,7820.0,7674.0,7715.0,7743.0,46.0,74.0,376354.0,1457213.29,351799.0,,7614.0,101.0,40.0,317.0,0.3186119873817035
25,PP.DCE,20230331,7608.0,7597.0,7618.0,7702.0,7610.0,7685.0,7669.0,88.0,72.0,377315.0,1446862.7,398443.0,,7604.0,81.0,30.0,337.0,0.2403560830860534
26,PP.DCE,20230330,7597.0,7610.0,7615.0,7627.0,7563.0,7608.0,7597.0,-2.0,-13.0,257418.0,977807.18,419155.0,,7599.0,9.0,77.0,409.0,0.022004889975550123
27,PP.DCE,20230329,7616.0,7614.0,7605.0,7646.0,7576.0,7597.0,7610.0,-17.0,-4.0,293018.0,1115037.8,431006.0,,7572.0,25.0,11.0,393.0,0.06361323155216285
28,PP.DCE,20230328,7573.0,7546.0,7573.0,7643.0,7573.0,7616.0,7614.0,70.0,68.0,341116.0,1298670.92,446744.0,,7599.0,17.0,19.0,385.0,0.04415584415584416
29,PP.DCE,20230327,7558.0,7512.0,7480.0,7584.0,7480.0,7573.0,7546.0,61.0,34.0,370705.0,1398709.12,471180.0,,7587.0,14.0,43.0,416.0,0.03365384615384615
30,PP.DCE,20230324,7510.0,7548.0,7530.0,7563.0,7446.0,7558.0,7512.0,10.0,-36.0,389257.0,1462158.2,481740.0,,7554.0,4.0,15.0,398.0,0.010050251256281407
