,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,PPL.DCE,20230511,7390.0,7395.0,7354.0,7354.0,7345.0,7348.0,7348.0,-47.0,-47.0,286.0,1050.82,4513.0,,,,,,
1,PPL.DCE,20230510,7443.0,7466.0,7400.0,7452.0,7370.0,7390.0,7395.0,-76.0,-71.0,1124.0,4156.41,4799.0,,,,42.0,,
2,PPL.DCE,20230509,7451.0,7465.0,7500.0,7500.0,7443.0,7443.0,7466.0,-22.0,1.0,1176.0,4390.12,5789.0,,,,53.0,,
3,PPL.DCE,20230508,7422.0,7409.0,7460.0,7490.0,7450.0,7451.0,7465.0,42.0,56.0,1543.0,5760.01,6857.0,,,,8.0,,
4,PPL.DCE,20230505,7427.0,7440.0,7440.0,7465.0,7385.0,7422.0,7409.0,-18.0,-31.0,1621.0,6005.02,8397.0,,,,29.0,,
5,PPL.DCE,20230504,7515.0,7532.0,7530.0,7530.0,7385.0,7427.0,7440.0,-105.0,-92.0,778.0,2894.54,9808.0,,,,5.0,,
6,PPL.DCE,20230428,7543.0,7598.0,7550.0,7607.0,7496.0,7515.0,7532.0,-83.0,-66.0,9672.0,36426.07,10461.0,,,,88.0,,
7,PPL.DCE,20230427,7606.0,7608.0,7596.0,7642.0,7538.0,7543.0,7598.0,-65.0,-10.0,24657.0,93681.41,18923.0,,,,28.0,,
8,PPL.DCE,20230426,7626.0,7628.0,7614.0,7634.0,7575.0,7606.0,7608.0,-22.0,-20.0,18910.0,71935.5,35272.0,,,,63.0,,
9,PPL.DCE,20230425,7588.0,7612.0,7590.0,7666.0,7581.0,7626.0,7628.0,14.0,16.0,35026.0,133603.31,43924.0,,,,20.0,,
10,PPL.DCE,20230424,7636.0,7633.0,7656.0,7663.0,7578.0,7588.0,7612.0,-45.0,-21.0,45481.0,173108.11,53676.0,,7348.0,240.0,38.0,374.0,0.6417112299465241
11,PPL.DCE,20230421,7617.0,7604.0,7625.0,7659.0,7606.0,7636.0,7633.0,32.0,29.0,41698.0,159142.79,69291.0,,7390.0,246.0,48.0,380.0,0.6473684210526316
12,PPL.DCE,20230420,7624.0,7641.0,7610.0,7637.0,7572.0,7617.0,7604.0,-24.0,-37.0,69871.0,265668.81,80691.0,,7443.0,174.0,19.0,346.0,0.5028901734104047
13,PPL.DCE,20230419,7648.0,7643.0,7638.0,7666.0,7601.0,7624.0,7641.0,-19.0,-2.0,71366.0,272671.83,108943.0,,7451.0,173.0,7.0,345.0,0.5014492753623189
14,PPL.DCE,20230418,7642.0,7620.0,7636.0,7659.0,7623.0,7648.0,7643.0,28.0,23.0,70442.0,269194.13,135115.0,,7422.0,226.0,24.0,340.0,0.6647058823529411
15,PPL.DCE,20230417,7547.0,7547.0,,,,7642.0,7642.0,95.0,95.0,201.0,768.02,0.0,,7427.0,215.0,6.0,341.0,0.6304985337243402
16,PPL.DCE,20230414,7547.0,7547.0,,,,7547.0,7547.0,0.0,0.0,0.0,0.0,1306.0,,7515.0,32.0,95.0,348.0,0.09195402298850575
17,PPL.DCE,20230413,7547.0,7547.0,,,,7547.0,7547.0,0.0,0.0,0.0,0.0,1306.0,,7543.0,4.0,0.0,320.0,0.0125
18,PPL.DCE,20230412,7711.0,7711.0,7549.0,7549.0,7547.0,7547.0,7547.0,-164.0,-164.0,26.0,98.11,1306.0,,7606.0,59.0,0.0,257.0,0.22957198443579765
19,PPL.DCE,20230411,7711.0,7711.0,,,,7711.0,7711.0,0.0,0.0,0.0,0.0,1331.0,,7626.0,85.0,164.0,401.0,0.2119700748129676
20,PPL.DCE,20230410,7711.0,7711.0,,,,7711.0,7711.0,0.0,0.0,11.0,42.41,1331.0,,7588.0,123.0,0.0,363.0,0.33884297520661155
21,PPL.DCE,20230407,7711.0,7711.0,7711.0,7711.0,7711.0,7711.0,7711.0,0.0,0.0,17.0,65.54,1342.0,,7636.0,75.0,0.0,315.0,0.23809523809523808
22,PPL.DCE,20230406,7711.0,7711.0,,,,7711.0,7711.0,0.0,0.0,6.0,23.13,1359.0,,7617.0,94.0,0.0,296.0,0.31756756756756754
23,PPL.DCE,20230404,7711.0,7711.0,,,,7711.0,7711.0,0.0,0.0,0.0,0.0,1365.0,,7624.0,87.0,0.0,289.0,0.30103806228373703
24,PPL.DCE,20230403,7646.0,7652.0,7711.0,7711.0,7711.0,7711.0,7711.0,59.0,59.0,2.0,7.71,1365.0,,7648.0,63.0,0.0,265.0,0.23773584905660378
25,PPL.DCE,20230331,7610.0,7600.0,7600.0,7680.0,7600.0,7646.0,7652.0,46.0,52.0,301.0,1151.77,1365.0,,7642.0,4.0,65.0,324.0,0.012345679012345678
26,PPL.DCE,20230330,7607.0,7600.0,7600.0,7627.0,7600.0,7610.0,7600.0,10.0,0.0,160.0,608.07,1600.0,,7547.0,63.0,36.0,265.0,0.23773584905660378
27,PPL.DCE,20230329,7622.0,7598.0,7598.0,7647.0,7573.0,7607.0,7600.0,9.0,2.0,29.0,110.21,1754.0,,7547.0,60.0,3.0,268.0,0.22388059701492538
28,PPL.DCE,20230328,7600.0,7572.0,7572.0,7678.0,7572.0,7622.0,7598.0,50.0,26.0,91.0,345.73,1766.0,,7547.0,75.0,15.0,283.0,0.26501766784452296
29,PPL.DCE,20230327,7560.0,7520.0,7563.0,7600.0,7562.0,7600.0,7572.0,80.0,52.0,21.0,79.51,1820.0,,7711.0,111.0,22.0,141.0,0.7872340425531915
30,PPL.DCE,20230324,7520.0,7544.0,7544.0,7560.0,7490.0,7560.0,7520.0,16.0,-24.0,29.0,109.05,1825.0,,7711.0,151.0,40.0,181.0,0.8342541436464088
31,PPL.DCE,20230323,7564.0,7577.0,7566.0,7599.0,7520.0,7520.0,7544.0,-57.0,-33.0,43.0,162.21,1850.0,,7711.0,191.0,40.0,221.0,0.8642533936651584
32,PPL.DCE,20230322,7525.0,7534.0,7585.0,7602.0,7541.0,7564.0,7577.0,30.0,43.0,141.0,534.23,1852.0,,7711.0,147.0,44.0,265.0,0.5547169811320755
33,PPL.DCE,20230321,7531.0,7578.0,7578.0,7578.0,7493.0,7525.0,7534.0,-53.0,-44.0,120.0,452.08,1962.0,,7711.0,186.0,39.0,304.0,0.6118421052631579
34,PPL.DCE,20230320,7604.0,7567.0,7594.0,7614.0,7517.0,7531.0,7578.0,-36.0,11.0,275.0,1042.02,2047.0,,7711.0,180.0,6.0,310.0,0.5806451612903226
35,PPL.DCE,20230317,7517.0,7530.0,7530.0,7641.0,7509.0,7604.0,7567.0,74.0,37.0,597.0,2258.93,2125.0,,7646.0,42.0,73.0,318.0,0.1320754716981132
36,PPL.DCE,20230316,7627.0,7665.0,7599.0,7599.0,7494.0,7517.0,7530.0,-148.0,-135.0,23751.0,89433.8,2420.0,,7610.0,93.0,87.0,369.0,0.25203252032520324
37,PPL.DCE,20230315,8007.0,7698.0,7698.0,7706.0,7620.0,7627.0,7665.0,-71.0,-33.0,11411.0,43732.88,3884.0,,7607.0,20.0,110.0,476.0,0.04201680672268908
38,PPL.DCE,20230314,7809.0,7809.0,,,,8007.0,8007.0,198.0,198.0,0.0,0.0,0.0,,7622.0,385.0,380.0,841.0,0.4577883472057075
39,PPL.DCE,20230313,7809.0,7809.0,,,,7809.0,7809.0,0.0,0.0,0.0,0.0,935.0,,7600.0,209.0,198.0,1017.0,0.2055063913470993
40,PPL.DCE,20230310,7809.0,7809.0,,,,7809.0,7809.0,0.0,0.0,0.0,0.0,935.0,,7560.0,249.0,0.0,977.0,0.2548618219037871
41,PPL.DCE,20230309,7809.0,7809.0,,,,7809.0,7809.0,0.0,0.0,0.0,0.0,935.0,,7520.0,289.0,0.0,937.0,0.3084311632870864
42,PPL.DCE,20230308,7809.0,7809.0,,,,7809.0,7809.0,0.0,0.0,0.0,0.0,935.0,,7564.0,245.0,0.0,893.0,0.27435610302351626
