,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,EB.DCE,20230511,8145.0,8144.0,8160.0,8166.0,8005.0,8023.0,8092.0,-121.0,-52.0,203437.0,823169.53,173279.0,,,,,,
1,EB.DCE,20230510,8113.0,8168.0,8140.0,8200.0,8076.0,8145.0,8144.0,-23.0,-24.0,169307.0,689426.99,171060.0,,,,122.0,,
2,EB.DCE,20230509,8212.0,8159.0,8225.0,8231.0,8108.0,8113.0,8168.0,-46.0,9.0,140956.0,575710.0,180849.0,,,,32.0,,
3,EB.DCE,20230508,8019.0,7999.0,8050.0,8225.0,8050.0,8212.0,8159.0,213.0,160.0,202196.0,824874.68,187794.0,,,,99.0,,
4,EB.DCE,20230505,8029.0,8005.0,8030.0,8044.0,7950.0,8019.0,7999.0,14.0,-6.0,164091.0,656295.3,215650.0,,,,193.0,,
5,EB.DCE,20230504,8251.0,8240.0,8050.0,8080.0,7943.0,8029.0,8005.0,-211.0,-235.0,170746.0,683459.17,218418.0,,,,10.0,,
6,EB.DCE,20230428,8230.0,8285.0,8230.0,8280.0,8208.0,8251.0,8240.0,-34.0,-45.0,126212.0,520000.67,218321.0,,,,222.0,,
7,EB.DCE,20230427,8320.0,8324.0,8290.0,8343.0,8228.0,8230.0,8285.0,-94.0,-39.0,167652.0,694572.64,227772.0,,,,21.0,,
8,EB.DCE,20230426,8390.0,8420.0,8368.0,8373.0,8280.0,8320.0,8324.0,-100.0,-96.0,168483.0,701270.58,219085.0,,,,90.0,,
9,EB.DCE,20230425,8384.0,8433.0,8428.0,8480.0,8371.0,8390.0,8420.0,-43.0,-13.0,164099.0,690925.74,211849.0,,,,70.0,,
10,EB.DCE,20230424,8462.0,8509.0,8493.0,8512.0,8380.0,8384.0,8433.0,-125.0,-76.0,178123.0,751112.63,217357.0,,8023.0,361.0,6.0,865.0,0.41734104046242776
11,EB.DCE,20230421,8528.0,8514.0,8540.0,8584.0,8453.0,8462.0,8509.0,-52.0,-5.0,192814.0,820367.04,207655.0,,8145.0,317.0,78.0,821.0,0.3861144945188794
12,EB.DCE,20230420,8567.0,8627.0,8561.0,8585.0,8455.0,8528.0,8514.0,-99.0,-113.0,212249.0,903644.87,194787.0,,8113.0,415.0,66.0,855.0,0.4853801169590643
13,EB.DCE,20230419,8631.0,8610.0,8631.0,8695.0,8550.0,8567.0,8629.0,-43.0,19.0,157933.0,681473.29,94844.0,,8212.0,355.0,39.0,795.0,0.44654088050314467
14,EB.DCE,20230418,8697.0,8729.0,8668.0,8682.0,8572.0,8631.0,8610.0,-98.0,-119.0,177327.0,763480.48,127294.0,,8019.0,612.0,64.0,666.0,0.918918918918919
15,EB.DCE,20230417,8623.0,8610.0,8650.0,8775.0,8623.0,8697.0,8729.0,87.0,119.0,230077.0,1004217.48,155705.0,,8029.0,668.0,66.0,722.0,0.925207756232687
16,EB.DCE,20230414,8601.0,8668.0,8601.0,8674.0,8560.0,8623.0,8610.0,-45.0,-58.0,170197.0,732749.78,156517.0,,8251.0,372.0,74.0,574.0,0.6480836236933798
17,EB.DCE,20230413,8693.0,8634.0,8710.0,8735.0,8592.0,8601.0,8668.0,-33.0,34.0,175820.0,762014.06,172834.0,,8230.0,371.0,22.0,575.0,0.6452173913043479
18,EB.DCE,20230412,8625.0,8648.0,8590.0,8696.0,8573.0,8693.0,8634.0,45.0,-14.0,166781.0,720065.11,179680.0,,8320.0,373.0,92.0,577.0,0.6464471403812825
19,EB.DCE,20230411,8622.0,8678.0,8620.0,8693.0,8591.0,8625.0,8648.0,-53.0,-30.0,149493.0,646481.93,181433.0,,8390.0,235.0,68.0,575.0,0.40869565217391307
20,EB.DCE,20230410,8671.0,8668.0,8663.0,8748.0,8602.0,8622.0,8678.0,-46.0,10.0,171962.0,746162.35,186373.0,,8384.0,238.0,3.0,572.0,0.4160839160839161
21,EB.DCE,20230407,8662.0,8672.0,8662.0,8705.0,8630.0,8671.0,8668.0,-1.0,-4.0,125114.0,542298.31,192560.0,,8462.0,209.0,49.0,543.0,0.3848987108655617
22,EB.DCE,20230406,8747.0,8685.0,8695.0,8717.0,8565.0,8662.0,8672.0,-23.0,-13.0,131265.0,569214.21,195581.0,,8528.0,134.0,9.0,486.0,0.2757201646090535
23,EB.DCE,20230404,8679.0,8643.0,8657.0,8750.0,8622.0,8747.0,8685.0,104.0,42.0,164609.0,714844.75,200514.0,,8567.0,180.0,85.0,532.0,0.3383458646616541
24,EB.DCE,20230403,8518.0,8514.0,8507.0,8765.0,8495.0,8679.0,8643.0,165.0,129.0,212104.0,916658.91,196765.0,,8631.0,48.0,68.0,536.0,0.08955223880597014
25,EB.DCE,20230331,8459.0,8463.0,8469.0,8558.0,8465.0,8518.0,8514.0,55.0,51.0,149922.0,638263.7,184765.0,,8697.0,179.0,161.0,631.0,0.2836767036450079
