,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,EBL.DCE,20230511,8250.0,8250.0,,,,8250.0,8250.0,0.0,0.0,0.0,0.0,1187.0,,,,,,
1,EBL.DCE,20230510,8188.0,8186.0,8250.0,8250.0,8250.0,8250.0,8250.0,64.0,64.0,1.0,4.12,1187.0,,,,0.0,,
2,EBL.DCE,20230509,8261.0,8220.0,8298.0,8298.0,8170.0,8188.0,8186.0,-32.0,-34.0,202.0,826.87,1187.0,,,,62.0,,
3,EBL.DCE,20230508,8020.0,8012.0,8188.0,8289.0,8188.0,8261.0,8220.0,249.0,208.0,367.0,1508.43,1399.0,,,,73.0,,
4,EBL.DCE,20230505,7980.0,8097.0,8027.0,8027.0,7950.0,8020.0,8012.0,-77.0,-85.0,276.0,1105.68,1539.0,,,,241.0,,
5,EBL.DCE,20230504,8248.0,8229.0,8229.0,8229.0,7944.0,7980.0,8097.0,-249.0,-132.0,617.0,2498.07,2294.0,,,,40.0,,
6,EBL.DCE,20230428,8223.0,8288.0,8231.0,8248.0,8199.0,8248.0,8229.0,-40.0,-59.0,4382.0,18030.47,3476.0,,,,268.0,,
7,EBL.DCE,20230427,8312.0,8336.0,8296.0,8335.0,8223.0,8223.0,8288.0,-113.0,-48.0,6826.0,28287.76,7233.0,,,,25.0,,
8,EBL.DCE,20230426,8656.0,8414.0,8358.0,8368.0,8279.0,8312.0,8336.0,-102.0,-78.0,12133.0,50570.82,13127.0,,,,89.0,,
9,EBL.DCE,20230425,8534.0,8534.0,,,,8656.0,8656.0,122.0,122.0,18.0,77.9,0.0,,,,344.0,,
10,EBL.DCE,20230424,8518.0,8534.0,,,,8534.0,8534.0,0.0,0.0,0.0,0.0,108.0,,8250.0,284.0,122.0,1264.0,0.22468354430379747
11,EBL.DCE,20230421,8576.0,8520.0,8550.0,8550.0,8518.0,8518.0,8534.0,-2.0,14.0,2.0,8.53,108.0,,8250.0,268.0,16.0,1280.0,0.209375
12,EBL.DCE,20230420,8460.0,8636.0,8410.0,8580.0,8390.0,8576.0,8520.0,-60.0,-116.0,23.0,97.99,315.0,,8188.0,388.0,58.0,1276.0,0.30407523510971785
13,EBL.DCE,20230419,8580.0,8588.0,8682.0,8698.0,8460.0,8460.0,8636.0,-128.0,48.0,33.0,142.5,615.0,,8261.0,199.0,116.0,1319.0,0.1508718726307809
14,EBL.DCE,20230418,8673.0,8724.0,8610.0,8610.0,8510.0,8580.0,8588.0,-144.0,-136.0,13.0,55.82,615.0,,8020.0,560.0,120.0,1198.0,0.4674457429048414
15,EBL.DCE,20230417,8585.0,8585.0,8760.0,8760.0,8325.0,8673.0,8724.0,88.0,139.0,73.0,318.45,615.0,,7980.0,693.0,93.0,1251.0,0.5539568345323741
16,EBL.DCE,20230414,8613.0,8677.0,8585.0,8585.0,8585.0,8585.0,8585.0,-92.0,-92.0,1.0,4.29,899.0,,8248.0,337.0,88.0,1071.0,0.3146591970121382
17,EBL.DCE,20230413,8698.0,8646.0,8705.0,8716.0,8613.0,8613.0,8677.0,-33.0,31.0,64.0,277.68,900.0,,8223.0,390.0,28.0,1074.0,0.36312849162011174
18,EBL.DCE,20230412,8623.0,8623.0,8623.0,8698.0,8623.0,8698.0,8646.0,75.0,23.0,149.0,644.18,930.0,,8312.0,386.0,85.0,1070.0,0.36074766355140186
19,EBL.DCE,20230411,8623.0,8684.0,8623.0,8623.0,8623.0,8623.0,8623.0,-61.0,-61.0,2.0,8.62,975.0,,8656.0,33.0,75.0,801.0,0.04119850187265917
20,EBL.DCE,20230410,8673.0,8699.0,8736.0,8736.0,8623.0,8623.0,8684.0,-76.0,-15.0,72.0,312.64,1675.0,,8534.0,89.0,0.0,679.0,0.13107511045655376
21,EBL.DCE,20230407,8685.0,8718.0,8700.0,8700.0,8670.0,8673.0,8699.0,-45.0,-19.0,104.0,452.35,1692.0,,8518.0,155.0,50.0,713.0,0.21739130434782608
22,EBL.DCE,20230406,8727.0,8722.0,8722.0,8722.0,8664.0,8685.0,8718.0,-37.0,-4.0,47.0,204.88,1692.0,,8576.0,109.0,12.0,667.0,0.1634182908545727
23,EBL.DCE,20230404,8711.0,8656.0,8746.0,8746.0,8713.0,8727.0,8722.0,71.0,66.0,237.0,1033.63,1734.0,,8460.0,267.0,42.0,593.0,0.4502529510961214
24,EBL.DCE,20230403,8560.0,8543.0,8543.0,8763.0,8543.0,8711.0,8656.0,168.0,113.0,283.0,1224.82,2581.0,,8580.0,131.0,16.0,489.0,0.26789366053169733
25,EBL.DCE,20230331,8510.0,8515.0,8523.0,8600.0,8517.0,8560.0,8543.0,45.0,28.0,2591.0,11068.71,3710.0,,8673.0,113.0,151.0,547.0,0.20658135283363802
26,EBL.DCE,20230330,8536.0,8527.0,8556.0,8576.0,8455.0,8510.0,8515.0,-17.0,-12.0,3558.0,15149.48,5534.0,,8585.0,75.0,50.0,509.0,0.14734774066797643
27,EBL.DCE,20230329,8505.0,8526.0,8549.0,8549.0,8495.0,8536.0,8527.0,10.0,1.0,5112.0,21797.09,7459.0,,8613.0,77.0,26.0,507.0,0.15187376725838264
28,EBL.DCE,20230328,8604.0,8604.0,,,,8505.0,8505.0,-99.0,-99.0,0.0,0.0,0.0,,8698.0,193.0,31.0,453.0,0.4260485651214128
29,EBL.DCE,20230327,8604.0,8604.0,,,,8604.0,8604.0,0.0,0.0,0.0,0.0,0.0,,8623.0,19.0,99.0,477.0,0.039832285115303984
30,EBL.DCE,20230324,8604.0,8604.0,,,,8604.0,8604.0,0.0,0.0,0.0,0.0,0.0,,8623.0,19.0,0.0,477.0,0.039832285115303984
31,EBL.DCE,20230323,8604.0,8604.0,,,,8604.0,8604.0,0.0,0.0,0.0,0.0,66.0,,8673.0,69.0,0.0,427.0,0.16159250585480095
32,EBL.DCE,20230322,8604.0,8604.0,,,,8604.0,8604.0,0.0,0.0,0.0,0.0,67.0,,8685.0,81.0,0.0,415.0,0.19518072289156627
33,EBL.DCE,20230321,8950.0,8604.0,,,,8604.0,8604.0,0.0,0.0,0.0,0.0,67.0,,8727.0,123.0,0.0,373.0,0.3297587131367292
34,EBL.DCE,20230320,8500.0,8500.0,8400.0,9350.0,7650.0,8950.0,8604.0,450.0,104.0,21.0,90.35,266.0,,8711.0,239.0,346.0,703.0,0.3399715504978663
35,EBL.DCE,20230317,8301.0,8500.0,,,,8500.0,8500.0,0.0,0.0,0.0,0.0,266.0,,8560.0,60.0,450.0,1002.0,0.059880239520958084
36,EBL.DCE,20230316,8296.0,8296.0,9100.0,9100.0,8301.0,8301.0,8500.0,5.0,204.0,400.0,1700.15,266.0,,8510.0,209.0,199.0,1151.0,0.18158123370981755
37,EBL.DCE,20230315,8296.0,8296.0,,,,8296.0,8296.0,0.0,0.0,0.0,0.0,266.0,,8536.0,240.0,5.0,1130.0,0.21238938053097345
38,EBL.DCE,20230314,8400.0,8398.0,,,,8296.0,8296.0,-102.0,-102.0,0.0,0.0,266.0,,8505.0,209.0,0.0,1099.0,0.19017288444040037
39,EBL.DCE,20230313,8274.0,8274.0,8394.0,8400.0,8394.0,8400.0,8398.0,126.0,124.0,37.0,155.38,266.0,,8604.0,204.0,104.0,1104.0,0.18478260869565216
40,EBL.DCE,20230310,8385.0,8202.0,,,,8274.0,8274.0,72.0,72.0,0.0,0.0,303.0,,8604.0,330.0,126.0,1230.0,0.2682926829268293
41,EBL.DCE,20230309,8520.0,8538.0,7736.0,8431.0,7736.0,8385.0,8202.0,-153.0,-336.0,122.0,500.34,303.0,,8604.0,219.0,111.0,1341.0,0.16331096196868009
42,EBL.DCE,20230308,8550.0,8551.0,8551.0,8551.0,8492.0,8520.0,8538.0,-31.0,-13.0,185.0,789.82,696.0,,8604.0,84.0,135.0,1476.0,0.056910569105691054
43,EBL.DCE,20230307,8440.0,8473.0,8553.0,8553.0,8550.0,8550.0,8551.0,77.0,78.0,5.0,21.38,1699.0,,8604.0,54.0,30.0,1506.0,0.035856573705179286
44,EBL.DCE,20230306,8550.0,8470.0,8515.0,8515.0,8440.0,8440.0,8473.0,-30.0,3.0,410.0,1737.02,1704.0,,8950.0,510.0,110.0,1270.0,0.4015748031496063
45,EBL.DCE,20230303,8540.0,8543.0,8490.0,8550.0,8426.0,8550.0,8470.0,7.0,-73.0,4244.0,17975.01,2702.0,,8500.0,50.0,110.0,930.0,0.053763440860215055
46,EBL.DCE,20230302,8520.0,8500.0,8500.0,8550.0,8500.0,8540.0,8543.0,40.0,43.0,4796.0,20486.7,6959.0,,8301.0,239.0,10.0,741.0,0.3225371120107962
47,EBL.DCE,20230301,8483.0,8454.0,8454.0,8555.0,8450.0,8520.0,8500.0,66.0,46.0,2128.0,9044.57,12307.0,,8296.0,224.0,20.0,756.0,0.2962962962962963
48,EBL.DCE,20230228,8476.0,8575.0,8475.0,8519.0,8395.0,8483.0,8454.0,-92.0,-121.0,17139.0,72447.28,14370.0,,8296.0,187.0,37.0,793.0,0.23581336696090793
49,EBL.DCE,20230227,8552.0,8599.0,8540.0,8620.0,8476.0,8476.0,8575.0,-123.0,-24.0,22294.0,95594.08,25284.0,,8400.0,76.0,7.0,696.0,0.10919540229885058
50,EBL.DCE,20230224,8214.0,8555.0,8595.0,8663.0,8520.0,8552.0,8599.0,-3.0,44.0,35125.0,151026.32,35071.0,,8274.0,278.0,76.0,646.0,0.43034055727554177
51,EBL.DCE,20230223,8361.0,8361.0,,,,8214.0,8214.0,-147.0,-147.0,0.0,0.0,0.0,,8385.0,171.0,338.0,873.0,0.1958762886597938
52,EBL.DCE,20230222,8361.0,8361.0,,,,8361.0,8361.0,0.0,0.0,0.0,0.0,0.0,,8520.0,159.0,147.0,885.0,0.17966101694915254
53,EBL.DCE,20230221,8361.0,8361.0,,,,8361.0,8361.0,0.0,0.0,0.0,0.0,0.0,,8550.0,189.0,0.0,855.0,0.22105263157894736
54,EBL.DCE,20230220,8361.0,8361.0,,,,8361.0,8361.0,0.0,0.0,0.0,0.0,0.0,,8440.0,79.0,0.0,745.0,0.10604026845637583
55,EBL.DCE,20230217,8361.0,8361.0,,,,8361.0,8361.0,0.0,0.0,0.0,0.0,54.0,,8550.0,189.0,0.0,635.0,0.29763779527559053
56,EBL.DCE,20230216,8350.0,8350.0,,,,8361.0,8361.0,11.0,11.0,0.0,0.0,54.0,,8540.0,179.0,0.0,625.0,0.2864
57,EBL.DCE,20230215,8350.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,54.0,,8520.0,170.0,11.0,616.0,0.275974025974026
58,EBL.DCE,20230214,8400.0,8350.0,,,,8350.0,8350.0,0.0,0.0,0.0,0.0,254.0,,8483.0,133.0,0.0,579.0,0.229706390328152
59,EBL.DCE,20230213,8285.0,8210.0,8300.0,8400.0,8300.0,8400.0,8350.0,190.0,140.0,2.0,8.35,254.0,,8476.0,76.0,50.0,622.0,0.12218649517684887
60,EBL.DCE,20230210,8380.0,8375.0,8200.0,8295.0,8111.0,8285.0,8210.0,-90.0,-165.0,70.0,287.37,254.0,,8552.0,267.0,115.0,661.0,0.4039334341906203
61,EBL.DCE,20230209,8371.0,8360.0,8371.0,8380.0,8371.0,8380.0,8375.0,20.0,15.0,2.0,8.38,248.0,,8214.0,166.0,95.0,418.0,0.39712918660287083
62,EBL.DCE,20230208,8370.0,8339.0,8371.0,8371.0,8350.0,8371.0,8360.0,32.0,21.0,4.0,16.72,1750.0,,8361.0,10.0,9.0,280.0,0.03571428571428571
63,EBL.DCE,20230207,8300.0,8364.0,8364.0,8370.0,8112.0,8370.0,8339.0,6.0,-25.0,10.0,41.7,2230.0,,8361.0,9.0,1.0,281.0,0.03202846975088968
64,EBL.DCE,20230206,8420.0,8550.0,8420.0,8420.0,8279.0,8300.0,8364.0,-250.0,-186.0,463.0,1936.46,2637.0,,8361.0,61.0,70.0,351.0,0.1737891737891738
65,EBL.DCE,20230203,8500.0,8595.0,8595.0,8595.0,8400.0,8420.0,8550.0,-175.0,-45.0,120.0,513.04,3452.0,,8361.0,59.0,120.0,471.0,0.12526539278131635
66,EBL.DCE,20230202,8680.0,8705.0,8700.0,8700.0,8500.0,8500.0,8595.0,-205.0,-110.0,1159.0,4981.16,4850.0,,8361.0,139.0,80.0,551.0,0.25226860254083483
67,EBL.DCE,20230201,8650.0,8685.0,8685.0,8761.0,8672.0,8680.0,8705.0,-5.0,20.0,2884.0,12553.77,5751.0,,8350.0,330.0,180.0,720.0,0.4583333333333333
68,EBL.DCE,20230131,8786.0,8901.0,8829.0,8829.0,8615.0,8650.0,8685.0,-251.0,-216.0,15360.0,66704.08,7626.0,,8350.0,300.0,30.0,750.0,0.4
69,EBL.DCE,20230130,8966.0,8880.0,9038.0,9708.0,8771.0,8786.0,8901.0,-94.0,21.0,16728.0,74453.29,17471.0,,8400.0,386.0,136.0,836.0,0.46172248803827753
70,EBL.DCE,20230120,8242.0,8812.0,8834.0,8981.0,8799.0,8966.0,8880.0,154.0,68.0,34223.0,151965.78,25382.0,,8285.0,681.0,180.0,901.0,0.755826859045505
71,EBL.DCE,20230119,8680.0,8680.0,,,,8242.0,8242.0,-438.0,-438.0,0.0,0.0,0.0,,8380.0,138.0,724.0,1530.0,0.09019607843137255
72,EBL.DCE,20230118,8680.0,8680.0,,,,8680.0,8680.0,0.0,0.0,0.0,0.0,0.0,,8371.0,309.0,438.0,1959.0,0.15773353751914243
73,EBL.DCE,20230117,8680.0,8680.0,,,,8680.0,8680.0,0.0,0.0,0.0,0.0,0.0,,8370.0,310.0,0.0,1958.0,0.15832482124616956
74,EBL.DCE,20230116,8843.0,8843.0,8680.0,8680.0,8680.0,8680.0,8680.0,-163.0,-163.0,2.0,8.68,850.0,,8300.0,380.0,0.0,1888.0,0.20127118644067796
75,EBL.DCE,20230113,8800.0,8843.0,,,,8843.0,8843.0,0.0,0.0,0.0,0.0,1016.0,,8420.0,423.0,163.0,1931.0,0.21905748316934232
76,EBL.DCE,20230112,8100.0,8139.0,8887.0,8887.0,8800.0,8800.0,8843.0,661.0,704.0,4.0,17.69,1016.0,,8500.0,300.0,43.0,1894.0,0.1583949313621964
77,EBL.DCE,20230111,8200.0,8200.0,8178.0,8178.0,8100.0,8100.0,8139.0,-100.0,-61.0,2.0,8.14,1016.0,,8680.0,580.0,700.0,2414.0,0.24026512013256007
78,EBL.DCE,20230110,8250.0,8250.0,8200.0,8200.0,8200.0,8200.0,8200.0,-50.0,-50.0,30.0,123.0,1017.0,,8650.0,450.0,100.0,2484.0,0.18115942028985507
79,EBL.DCE,20230109,8201.0,8216.0,8250.0,8250.0,8250.0,8250.0,8250.0,34.0,34.0,50.0,206.25,1097.0,,8786.0,536.0,50.0,2398.0,0.22351959966638865
80,EBL.DCE,20230106,8205.0,8233.0,8225.0,8225.0,8201.0,8201.0,8216.0,-32.0,-17.0,87.0,357.43,1517.0,,8966.0,765.0,49.0,2267.0,0.3374503749448611
81,EBL.DCE,20230105,8315.0,8391.0,8285.0,8285.0,8205.0,8205.0,8233.0,-186.0,-158.0,683.0,2811.74,1714.0,,8242.0,37.0,4.0,1547.0,0.023917259211376857
82,EBL.DCE,20230104,8453.0,8456.0,8456.0,8480.0,8315.0,8315.0,8391.0,-141.0,-65.0,488.0,2047.58,2395.0,,8680.0,365.0,110.0,1219.0,0.29942575881870387
83,EBL.DCE,20230103,8421.0,8280.0,8471.0,8485.0,8350.0,8453.0,8456.0,173.0,176.0,43.0,181.81,2565.0,,8680.0,227.0,138.0,1357.0,0.16728076639646278
84,EBL.DCE,20221230,8268.0,8247.0,8247.0,8439.0,8228.0,8421.0,8280.0,174.0,33.0,6118.0,25329.72,2598.0,,8680.0,259.0,32.0,1389.0,0.18646508279337654
85,EBL.DCE,20221229,8290.0,8316.0,8309.0,8309.0,8192.0,8268.0,8247.0,-48.0,-69.0,9912.0,40874.84,7638.0,,8843.0,575.0,153.0,1379.0,0.4169688179840464
86,EBL.DCE,20221228,8142.0,8301.0,8380.0,8380.0,8229.0,8290.0,8316.0,-11.0,15.0,8455.0,35158.47,14065.0,,8800.0,510.0,22.0,1358.0,0.3755522827687776
87,EBL.DCE,20221227,8200.0,8200.0,,,,8142.0,8142.0,-58.0,-58.0,0.0,0.0,0.0,,8100.0,42.0,148.0,806.0,0.052109181141439205
88,EBL.DCE,20221226,8200.0,8200.0,,,,8200.0,8200.0,0.0,0.0,0.0,0.0,205.0,,8200.0,0.0,58.0,764.0,0.0
89,EBL.DCE,20221223,8200.0,8200.0,,,,8200.0,8200.0,0.0,0.0,0.0,0.0,205.0,,8250.0,50.0,0.0,714.0,0.0700280112044818
90,EBL.DCE,20221222,8200.0,8200.0,,,,8200.0,8200.0,0.0,0.0,0.0,0.0,205.0,,8201.0,1.0,0.0,665.0,0.0015037593984962407
91,EBL.DCE,20221221,8100.0,8096.0,8200.0,8200.0,8200.0,8200.0,8200.0,104.0,104.0,34.0,139.4,205.0,,8205.0,5.0,0.0,661.0,0.007564296520423601
92,EBL.DCE,20221220,8062.0,8062.0,8060.0,8100.0,8060.0,8100.0,8096.0,38.0,34.0,508.0,2056.46,239.0,,8315.0,215.0,100.0,651.0,0.3302611367127496
93,EBL.DCE,20221219,8310.0,8310.0,,,,8062.0,8062.0,-248.0,-248.0,112.0,465.36,747.0,,8453.0,391.0,38.0,551.0,0.7096188747731398
94,EBL.DCE,20221216,8312.0,8310.0,,,,8310.0,8310.0,0.0,0.0,0.0,0.0,859.0,,8421.0,111.0,248.0,767.0,0.14471968709256844
95,EBL.DCE,20221215,8298.0,8298.0,8310.0,8312.0,8310.0,8312.0,8310.0,14.0,12.0,9.0,37.4,859.0,,8268.0,44.0,2.0,616.0,0.07142857142857142
96,EBL.DCE,20221214,8298.0,8298.0,8298.0,8298.0,8298.0,8298.0,8298.0,0.0,0.0,10.0,41.49,868.0,,8290.0,8.0,14.0,608.0,0.013157894736842105
97,EBL.DCE,20221213,8200.0,8298.0,,,,8298.0,8298.0,0.0,0.0,0.0,0.0,878.0,,8142.0,156.0,0.0,460.0,0.3391304347826087
98,EBL.DCE,20221212,8295.0,8201.0,8300.0,8300.0,8200.0,8200.0,8298.0,-1.0,97.0,367.0,1522.84,878.0,,8200.0,0.0,98.0,500.0,0.0
