,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,A.DCE,20230511,4942.0,4970.0,4970.0,4970.0,4906.0,4957.0,4934.0,-13.0,-36.0,171254.0,845052.78,152781.0,,,,,,
1,A.DCE,20230510,5075.0,5078.0,5051.0,5056.0,4925.0,4942.0,4970.0,-136.0,-108.0,222502.0,1106003.63,155084.0,,,,15.0,,
2,A.DCE,20230509,5108.0,5010.0,5109.0,5149.0,5032.0,5075.0,5078.0,65.0,68.0,237043.0,1203853.08,165057.0,,,,133.0,,
3,A.DCE,20230508,4894.0,4840.0,4856.0,5108.0,4856.0,5108.0,5010.0,268.0,170.0,290850.0,1457384.55,163524.0,,,,33.0,,
4,A.DCE,20230505,4803.0,4796.0,4809.0,4898.0,4765.0,4894.0,4840.0,98.0,44.0,224027.0,1084479.4,157683.0,,,,214.0,,
5,A.DCE,20230504,4837.0,4822.0,4815.0,4843.0,4760.0,4803.0,4796.0,-19.0,-26.0,130356.0,625279.5,154332.0,,,,91.0,,
6,A.DCE,20230428,4849.0,4878.0,4849.0,4874.0,4774.0,4837.0,4822.0,-41.0,-56.0,193355.0,932496.61,148643.0,,,,34.0,,
7,A.DCE,20230427,4891.0,4895.0,4895.0,4921.0,4841.0,4849.0,4878.0,-46.0,-17.0,128504.0,626906.86,151774.0,,,,12.0,,
8,A.DCE,20230426,4931.0,4918.0,4933.0,4933.0,4865.0,4891.0,4895.0,-27.0,-23.0,118693.0,581021.41,148466.0,,,,42.0,,
9,A.DCE,20230425,4952.0,4928.0,4935.0,4945.0,4885.0,4931.0,4918.0,3.0,-10.0,123632.0,608044.6,142799.0,,,,40.0,,
10,A.DCE,20230424,4870.0,4895.0,4880.0,4958.0,4870.0,4952.0,4928.0,57.0,33.0,179262.0,883420.8,147557.0,,4957.0,5.0,21.0,635.0,0.007874015748031496
11,A.DCE,20230421,4957.0,5006.0,4957.0,4960.0,4853.0,4870.0,4895.0,-136.0,-111.0,165843.0,811934.99,162027.0,,4942.0,72.0,82.0,702.0,0.10256410256410256
12,A.DCE,20230420,5066.0,5086.0,5066.0,5077.0,4948.0,4957.0,5006.0,-129.0,-80.0,170943.0,855909.76,153252.0,,5075.0,118.0,87.0,656.0,0.1798780487804878
13,A.DCE,20230419,5118.0,5089.0,5100.0,5122.0,5061.0,5066.0,5086.0,-23.0,-3.0,115414.0,587063.41,134853.0,,5108.0,42.0,109.0,732.0,0.05737704918032787
