,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,AL.DCE,20230511,4903.0,4909.0,4910.0,4910.0,4910.0,4910.0,4910.0,1.0,1.0,25.0,122.75,0.0,,,,,,
1,AL.DCE,20230510,5010.0,5030.0,4950.0,4950.0,4903.0,4903.0,4909.0,-127.0,-121.0,437.0,2145.64,792.0,,,,7.0,,
2,AL.DCE,20230509,5120.0,5095.0,5044.0,5044.0,5010.0,5010.0,5030.0,-85.0,-65.0,18.0,90.54,2816.0,,,,107.0,,
3,AL.DCE,20230508,4856.0,4856.0,4940.0,5120.0,4940.0,5120.0,5095.0,264.0,239.0,158.0,805.03,2802.0,,,,110.0,,
4,AL.DCE,20230505,4766.0,4836.0,4856.0,4856.0,4856.0,4856.0,4856.0,20.0,20.0,1.0,4.86,2803.0,,,,264.0,,
5,AL.DCE,20230504,4867.0,4867.0,4867.0,4899.0,4655.0,4766.0,4836.0,-101.0,-31.0,747.0,3612.57,2803.0,,,,90.0,,
6,AL.DCE,20230428,4909.0,4938.0,4909.0,4915.0,4815.0,4867.0,4867.0,-71.0,-71.0,7146.0,34781.98,2934.0,,,,101.0,,
7,AL.DCE,20230427,4970.0,4969.0,4969.0,4988.0,4909.0,4909.0,4938.0,-60.0,-31.0,2649.0,13081.74,6848.0,,,,42.0,,
8,AL.DCE,20230426,4999.0,4985.0,4989.0,4995.0,4955.0,4970.0,4969.0,-15.0,-16.0,1156.0,5745.0,9146.0,,,,61.0,,
9,AL.DCE,20230425,5010.0,5003.0,5006.0,5013.0,4969.0,4999.0,4985.0,-4.0,-18.0,1523.0,7592.6,9990.0,,,,29.0,,
10,AL.DCE,20230424,4968.0,5001.0,4968.0,5030.0,4968.0,5010.0,5003.0,9.0,2.0,3880.0,19414.82,10963.0,,4910.0,100.0,11.0,822.0,0.12165450121654502
11,AL.DCE,20230421,5044.0,5109.0,5044.0,5066.0,4952.0,4968.0,5001.0,-141.0,-108.0,2859.0,14299.37,13090.0,,4903.0,65.0,42.0,857.0,0.07584597432905485
12,AL.DCE,20230420,5159.0,5175.0,5163.0,5172.0,5044.0,5044.0,5109.0,-131.0,-66.0,6292.0,32151.63,14684.0,,5010.0,34.0,76.0,826.0,0.04116222760290557
13,AL.DCE,20230419,5204.0,5195.0,5188.0,5204.0,5150.0,5159.0,5175.0,-36.0,-20.0,4244.0,21966.21,17962.0,,5120.0,39.0,115.0,831.0,0.04693140794223827
14,AL.DCE,20230418,5189.0,5218.0,5204.0,5208.0,5175.0,5204.0,5195.0,-14.0,-23.0,10647.0,55313.29,20074.0,,4856.0,348.0,45.0,612.0,0.5686274509803921
15,AL.DCE,20230417,5217.0,5260.0,5210.0,5246.0,5172.0,5189.0,5218.0,-71.0,-42.0,12848.0,67042.46,24420.0,,4766.0,423.0,15.0,537.0,0.7877094972067039
16,AL.DCE,20230414,5274.0,5290.0,5274.0,5290.0,5213.0,5217.0,5260.0,-73.0,-30.0,11308.0,59484.52,29286.0,,4867.0,350.0,28.0,464.0,0.7543103448275862
17,AL.DCE,20230413,5286.0,5281.0,5284.0,5309.0,5262.0,5274.0,5290.0,-7.0,9.0,12100.0,64015.32,35203.0,,4909.0,365.0,57.0,479.0,0.7620041753653445
18,AL.DCE,20230412,5284.0,5307.0,5284.0,5298.0,5264.0,5286.0,5281.0,-21.0,-26.0,15012.0,79282.96,40449.0,,4970.0,316.0,12.0,430.0,0.7348837209302326
19,AL.DCE,20230411,5362.0,5355.0,5346.0,5346.0,5266.0,5284.0,5307.0,-71.0,-48.0,37200.0,197422.21,46352.0,,4999.0,285.0,2.0,403.0,0.707196029776675
20,AL.DCE,20230410,5353.0,5327.0,5365.0,5372.0,5334.0,5362.0,5355.0,35.0,28.0,59604.0,319231.92,54357.0,,5010.0,352.0,78.0,470.0,0.7489361702127659
21,AL.DCE,20230407,5299.0,5327.0,5310.0,5356.0,5291.0,5353.0,5327.0,26.0,0.0,78325.0,417240.29,68427.0,,4968.0,385.0,9.0,437.0,0.8810068649885584
22,AL.DCE,20230406,5358.0,5361.0,5368.0,5368.0,5285.0,5299.0,5327.0,-62.0,-34.0,65339.0,348061.54,78750.0,,5044.0,255.0,54.0,415.0,0.6144578313253012
23,AL.DCE,20230404,5388.0,5379.0,5382.0,5397.0,5343.0,5358.0,5361.0,-21.0,-18.0,59492.0,318946.88,81013.0,,5159.0,199.0,59.0,359.0,0.5543175487465181
24,AL.DCE,20230403,5390.0,5389.0,5380.0,5406.0,5346.0,5388.0,5379.0,-1.0,-10.0,80529.0,433207.58,83514.0,,5204.0,184.0,30.0,344.0,0.5348837209302325
25,AL.DCE,20230331,5369.0,5363.0,5386.0,5430.0,5362.0,5390.0,5389.0,27.0,26.0,73905.0,398331.52,87219.0,,5189.0,201.0,2.0,331.0,0.6072507552870091
26,AL.DCE,20230330,5371.0,5385.0,5371.0,5386.0,5341.0,5369.0,5363.0,-16.0,-22.0,84572.0,453576.46,89487.0,,5217.0,152.0,21.0,324.0,0.4691358024691358
27,AL.DCE,20230329,5399.0,5413.0,5386.0,5407.0,5370.0,5371.0,5385.0,-42.0,-28.0,66434.0,357763.9,87050.0,,5274.0,97.0,2.0,269.0,0.36059479553903345
28,AL.DCE,20230328,5416.0,5406.0,5416.0,5456.0,5393.0,5399.0,5413.0,-7.0,7.0,68061.0,368465.65,88870.0,,5286.0,113.0,28.0,285.0,0.39649122807017545
29,AL.DCE,20230327,5433.0,5418.0,5435.0,5446.0,5353.0,5416.0,5406.0,-2.0,-12.0,110512.0,597531.76,94270.0,,5284.0,132.0,17.0,300.0,0.44
30,AL.DCE,20230324,5428.0,5447.0,5418.0,5442.0,5405.0,5433.0,5418.0,-14.0,-29.0,69032.0,374072.71,96362.0,,5362.0,71.0,17.0,239.0,0.29707112970711297
31,AL.DCE,20230323,5464.0,5427.0,5453.0,5479.0,5415.0,5428.0,5447.0,1.0,20.0,72916.0,397244.01,97248.0,,5353.0,75.0,5.0,235.0,0.3191489361702128
32,AL.DCE,20230322,5438.0,5427.0,5454.0,5477.0,5391.0,5464.0,5427.0,37.0,0.0,96762.0,525178.9,101211.0,,5299.0,165.0,36.0,217.0,0.7603686635944701
33,AL.DCE,20230321,5446.0,5463.0,5454.0,5456.0,5402.0,5438.0,5427.0,-25.0,-36.0,86480.0,469353.04,102827.0,,5358.0,80.0,26.0,184.0,0.43478260869565216
34,AL.DCE,20230320,5446.0,5461.0,5459.0,5483.0,5446.0,5446.0,5463.0,-15.0,2.0,58347.0,318750.26,100876.0,,5388.0,58.0,8.0,162.0,0.35802469135802467
