,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,B.DCE,20230511,4053.0,4065.0,4070.0,4087.0,4006.0,4046.0,4048.0,-19.0,-17.0,73531.0,297666.26,24546.0,,,,,,
1,B.DCE,20230510,4095.0,4084.0,4107.0,4107.0,4031.0,4053.0,4065.0,-31.0,-19.0,90495.0,367916.1,26322.0,,,,7.0,,
2,B.DCE,20230509,4114.0,4073.0,4121.0,4128.0,4056.0,4095.0,4084.0,22.0,11.0,69661.0,284517.99,28304.0,,,,42.0,,
3,B.DCE,20230508,4023.0,3990.0,4013.0,4120.0,4013.0,4114.0,4073.0,124.0,83.0,97249.0,396147.36,27606.0,,,,19.0,,
4,B.DCE,20230505,4000.0,3993.0,3971.0,4040.0,3930.0,4023.0,3990.0,30.0,-3.0,98148.0,391670.24,28270.0,,,,91.0,,
5,B.DCE,20230504,3999.0,3976.0,4000.0,4041.0,3938.0,4000.0,3993.0,24.0,17.0,77907.0,311153.59,28624.0,,,,23.0,,
6,B.DCE,20230428,3948.0,3979.0,3926.0,4029.0,3915.0,3999.0,3976.0,20.0,-3.0,90716.0,360742.2,31379.0,,,,1.0,,
7,B.DCE,20230427,3980.0,3889.0,3980.0,4014.0,3937.0,3948.0,3979.0,59.0,90.0,104636.0,416399.54,35988.0,,,,51.0,,
8,B.DCE,20230426,3843.0,3836.0,3833.0,3981.0,3805.0,3980.0,3889.0,144.0,53.0,101911.0,396421.42,40966.0,,,,32.0,,
9,B.DCE,20230425,3860.0,3845.0,3846.0,3883.0,3801.0,3843.0,3836.0,-2.0,-9.0,76256.0,292535.53,43067.0,,,,137.0,,
10,B.DCE,20230424,4027.0,3890.0,3838.0,3878.0,3800.0,3860.0,3845.0,-30.0,-45.0,65214.0,250806.77,39768.0,,4046.0,186.0,17.0,420.0,0.44285714285714284
11,B.DCE,20230421,4117.0,4132.0,4123.0,4139.0,4016.0,4027.0,4087.0,-105.0,-45.0,40429.0,165239.25,16430.0,,4053.0,26.0,167.0,580.0,0.04482758620689655
12,B.DCE,20230420,4169.0,4231.0,4169.0,4173.0,4086.0,4117.0,4132.0,-114.0,-99.0,55625.0,229872.71,18743.0,,4095.0,22.0,90.0,628.0,0.03503184713375796
13,B.DCE,20230419,4339.0,4299.0,4310.0,4330.0,4167.0,4169.0,4231.0,-130.0,-68.0,82632.0,349663.61,21869.0,,4114.0,55.0,52.0,661.0,0.0832072617246596
14,B.DCE,20230418,4227.0,4161.0,4245.0,4342.0,4234.0,4339.0,4299.0,178.0,138.0,64141.0,275752.41,24492.0,,4023.0,316.0,170.0,740.0,0.42702702702702705
15,B.DCE,20230417,4164.0,4222.0,4181.0,4236.0,4111.0,4227.0,4161.0,5.0,-61.0,70323.0,292641.92,25840.0,,4000.0,227.0,112.0,829.0,0.2738238841978287
16,B.DCE,20230414,4235.0,4190.0,4239.0,4267.0,4160.0,4164.0,4222.0,-26.0,32.0,60477.0,255382.0,26366.0,,3999.0,165.0,63.0,891.0,0.18518518518518517
17,B.DCE,20230413,4149.0,4169.0,4146.0,4240.0,4146.0,4235.0,4190.0,66.0,21.0,59187.0,248026.19,27929.0,,3948.0,287.0,71.0,911.0,0.3150384193194292
18,B.DCE,20230412,4171.0,4134.0,4175.0,4197.0,4138.0,4149.0,4169.0,15.0,35.0,49436.0,206144.06,29343.0,,3980.0,169.0,86.0,965.0,0.17512953367875647
