,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,BL.DCE,20230511,4150.0,4160.0,,,,4160.0,4160.0,0.0,0.0,0.0,0.0,1100.0,,,,,,
1,BL.DCE,20230510,4153.0,4153.0,4180.0,4180.0,4150.0,4150.0,4160.0,-3.0,7.0,3.0,12.48,1100.0,,,,10.0,,
2,BL.DCE,20230509,4153.0,4153.0,,,,4153.0,4153.0,0.0,0.0,0.0,0.0,1102.0,,,,3.0,,
3,BL.DCE,20230508,4055.0,4088.0,4130.0,4157.0,4130.0,4153.0,4153.0,65.0,65.0,27.0,112.15,1102.0,,,,0.0,,
4,BL.DCE,20230505,4117.0,4162.0,4135.0,4199.0,4043.0,4055.0,4088.0,-107.0,-74.0,48.0,196.24,1081.0,,,,98.0,,
5,BL.DCE,20230504,4200.0,4093.0,4297.0,4297.0,4117.0,4117.0,4162.0,24.0,69.0,4.0,16.65,1079.0,,,,62.0,,
6,BL.DCE,20230428,4067.0,4096.0,4075.0,4200.0,4035.0,4200.0,4093.0,104.0,-3.0,1879.0,7690.76,1080.0,,,,83.0,,
7,BL.DCE,20230427,4110.0,4005.0,4092.0,4139.0,4055.0,4067.0,4096.0,62.0,91.0,2555.0,10466.41,2818.0,,,,133.0,,
8,BL.DCE,20230426,3961.0,4000.0,3943.0,4110.0,3943.0,4110.0,4005.0,110.0,5.0,6851.0,27438.63,4858.0,,,,43.0,,
9,BL.DCE,20230425,4010.0,4007.0,4015.0,4116.0,3920.0,3961.0,4000.0,-46.0,-7.0,14120.0,56482.23,7156.0,,,,149.0,,
10,BL.DCE,20230424,4027.0,4087.0,4007.0,4054.0,3956.0,4010.0,4007.0,-77.0,-80.0,27440.0,109970.46,10777.0,,4160.0,150.0,49.0,630.0,0.23809523809523808
11,BL.DCE,20230421,4117.0,4132.0,4123.0,4139.0,4016.0,4027.0,4087.0,-105.0,-45.0,40429.0,165239.25,16430.0,,4150.0,123.0,17.0,637.0,0.19309262166405022
12,BL.DCE,20230420,4169.0,4231.0,4169.0,4173.0,4086.0,4117.0,4132.0,-114.0,-99.0,55625.0,229872.71,18743.0,,4153.0,36.0,90.0,724.0,0.049723756906077346
13,BL.DCE,20230419,4339.0,4299.0,4310.0,4330.0,4167.0,4169.0,4231.0,-130.0,-68.0,82632.0,349663.61,21869.0,,4153.0,16.0,52.0,776.0,0.020618556701030927
14,BL.DCE,20230418,4243.0,4161.0,4245.0,4342.0,4234.0,4339.0,4299.0,178.0,138.0,64141.0,275752.41,24492.0,,4055.0,284.0,170.0,848.0,0.33490566037735847
15,BL.DCE,20230417,4640.0,4640.0,,,,4243.0,4243.0,-397.0,-397.0,0.0,0.0,0.0,,4117.0,126.0,96.0,882.0,0.14285714285714285
16,BL.DCE,20230414,4640.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,4200.0,440.0,397.0,1196.0,0.36789297658862874
17,BL.DCE,20230413,4640.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,4067.0,573.0,0.0,1063.0,0.5390404515522107
18,BL.DCE,20230412,4640.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,4110.0,530.0,0.0,1020.0,0.5196078431372549
19,BL.DCE,20230411,4640.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,3961.0,679.0,0.0,871.0,0.7795637198622273
20,BL.DCE,20230410,4640.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,4010.0,630.0,0.0,822.0,0.7664233576642335
21,BL.DCE,20230407,4550.0,4640.0,,,,4640.0,4640.0,0.0,0.0,0.0,0.0,900.0,,4027.0,613.0,0.0,805.0,0.7614906832298136
22,BL.DCE,20230406,4499.0,4456.0,4777.0,4777.0,4322.0,4550.0,4640.0,94.0,184.0,10.0,46.41,900.0,,4117.0,433.0,90.0,805.0,0.537888198757764
23,BL.DCE,20230404,4498.0,4188.0,4496.0,4499.0,4395.0,4499.0,4456.0,311.0,268.0,5.0,22.28,900.0,,4169.0,330.0,51.0,804.0,0.41044776119402987
24,BL.DCE,20230403,4175.0,4201.0,4101.0,4498.0,4065.0,4498.0,4188.0,297.0,-13.0,91.0,381.17,904.0,,4339.0,159.0,1.0,635.0,0.2503937007874016
25,BL.DCE,20230331,4194.0,4165.0,4195.0,4223.0,4134.0,4175.0,4201.0,10.0,36.0,2352.0,9880.92,985.0,,4243.0,68.0,323.0,862.0,0.07888631090487239
26,BL.DCE,20230330,4134.0,4137.0,4145.0,4198.0,4127.0,4194.0,4165.0,57.0,28.0,1971.0,8210.7,2549.0,,4640.0,446.0,19.0,484.0,0.9214876033057852
27,BL.DCE,20230329,4094.0,4087.0,4111.0,4166.0,4104.0,4134.0,4137.0,47.0,50.0,3171.0,13119.86,3949.0,,4640.0,506.0,60.0,544.0,0.9301470588235294
28,BL.DCE,20230328,4049.0,4084.0,4070.0,4106.0,4068.0,4094.0,4087.0,10.0,3.0,6683.0,27315.17,4712.0,,4640.0,546.0,40.0,584.0,0.934931506849315
29,BL.DCE,20230327,4106.0,4095.0,4066.0,4136.0,4031.0,4049.0,4084.0,-46.0,-11.0,12700.0,51867.64,6350.0,,4640.0,591.0,45.0,629.0,0.9395866454689984
