,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,Y.DCE,20230511,7524.0,7570.0,7542.0,7554.0,7326.0,7326.0,7442.0,-244.0,-128.0,934941.0,6957980.42,611905.0,,,,,,
1,Y.DCE,20230510,7552.0,7626.0,7576.0,7622.0,7514.0,7524.0,7570.0,-102.0,-56.0,808926.0,6125160.41,577572.0,,,,198.0,,
2,Y.DCE,20230509,7676.0,7646.0,7704.0,7724.0,7548.0,7552.0,7626.0,-94.0,-20.0,764268.0,5829439.84,576187.0,,,,28.0,,
3,Y.DCE,20230508,7596.0,7550.0,7596.0,7710.0,7584.0,7676.0,7646.0,126.0,96.0,886001.0,6775470.82,551354.0,,,,124.0,,
4,Y.DCE,20230505,7604.0,7498.0,7616.0,7636.0,7472.0,7596.0,7550.0,98.0,52.0,895825.0,6764442.09,555666.0,,,,80.0,,
5,Y.DCE,20230504,7468.0,7470.0,7470.0,7606.0,7352.0,7604.0,7498.0,134.0,28.0,653847.0,4903389.09,545721.0,,,,8.0,,
6,Y.DCE,20230428,7470.0,7558.0,7452.0,7510.0,7434.0,7468.0,7470.0,-90.0,-88.0,599479.0,4478441.22,541127.0,,,,136.0,,
7,Y.DCE,20230427,7596.0,7522.0,7580.0,7644.0,7458.0,7470.0,7558.0,-52.0,36.0,840271.0,6351693.82,560359.0,,,,2.0,,
8,Y.DCE,20230426,7546.0,7550.0,7536.0,7618.0,7422.0,7596.0,7522.0,46.0,-28.0,891526.0,6707219.08,538497.0,,,,126.0,,
9,Y.DCE,20230425,7528.0,7556.0,7538.0,7630.0,7488.0,7546.0,7550.0,-10.0,-6.0,656216.0,4954735.1,523820.0,,,,50.0,,
10,Y.DCE,20230424,7550.0,7650.0,7560.0,7646.0,7476.0,7528.0,7556.0,-122.0,-94.0,752660.0,5687502.17,515740.0,,7326.0,202.0,18.0,770.0,0.2623376623376623
11,Y.DCE,20230421,7744.0,7822.0,7744.0,7754.0,7544.0,7550.0,7650.0,-272.0,-172.0,705055.0,5394506.28,518082.0,,7524.0,26.0,22.0,594.0,0.04377104377104377
12,Y.DCE,20230420,7914.0,7968.0,7882.0,7928.0,7714.0,7744.0,7822.0,-224.0,-146.0,731205.0,5720096.66,472602.0,,7552.0,192.0,194.0,760.0,0.25263157894736843
13,Y.DCE,20230419,8010.0,7904.0,7990.0,8028.0,7886.0,7914.0,7968.0,10.0,64.0,682528.0,5439714.8,442054.0,,7676.0,238.0,170.0,806.0,0.29528535980148884
14,Y.DCE,20230418,8082.0,7804.0,7852.0,8012.0,7806.0,8010.0,7904.0,206.0,100.0,601719.0,4756116.64,428190.0,,7596.0,414.0,96.0,822.0,0.5036496350364964
15,Y.DCE,20230417,8110.0,8194.0,8130.0,8130.0,8002.0,8082.0,8066.0,-112.0,-128.0,298666.0,2409080.17,145074.0,,7604.0,478.0,72.0,886.0,0.5395033860045146
16,Y.DCE,20230414,8184.0,8174.0,8188.0,8264.0,8090.0,8110.0,8194.0,-64.0,20.0,352870.0,2891689.33,165084.0,,7468.0,642.0,28.0,778.0,0.8251928020565553
