,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,ML.DCE,20230511,3800.0,3820.0,3809.0,3810.0,3661.0,3733.0,3710.0,-87.0,-110.0,415.0,1539.8,11970.0,,,,,,
1,ML.DCE,20230510,3819.0,3824.0,3844.0,3845.0,3795.0,3800.0,3820.0,-24.0,-4.0,93.0,355.27,12022.0,,,,67.0,,
2,ML.DCE,20230509,3815.0,3777.0,3815.0,3845.0,3788.0,3819.0,3824.0,42.0,47.0,378.0,1445.51,12083.0,,,,19.0,,
3,ML.DCE,20230508,3747.0,3684.0,3736.0,3815.0,3736.0,3815.0,3777.0,131.0,93.0,1419.0,5359.68,12136.0,,,,4.0,,
4,ML.DCE,20230505,3750.0,3651.0,3651.0,3750.0,3651.0,3747.0,3684.0,96.0,33.0,3598.0,13255.55,13198.0,,,,68.0,,
5,ML.DCE,20230504,3654.0,3643.0,3641.0,3750.0,3620.0,3750.0,3651.0,107.0,8.0,2295.0,8379.46,14888.0,,,,3.0,,
6,ML.DCE,20230428,3606.0,3614.0,3605.0,3685.0,3592.0,3654.0,3643.0,40.0,29.0,48627.0,177162.21,17161.0,,,,96.0,,
7,ML.DCE,20230427,3632.0,3557.0,3615.0,3649.0,3587.0,3606.0,3614.0,49.0,57.0,49733.0,179767.67,55631.0,,,,48.0,,
8,ML.DCE,20230426,3554.0,3564.0,3540.0,3634.0,3507.0,3632.0,3557.0,68.0,-7.0,93258.0,331747.04,78548.0,,,,26.0,,
9,ML.DCE,20230425,3595.0,3543.0,3600.0,3618.0,3521.0,3554.0,3564.0,11.0,21.0,127693.0,455134.16,112284.0,,,,78.0,,
10,ML.DCE,20230424,3537.0,3586.0,3534.0,3601.0,3498.0,3595.0,3543.0,9.0,-43.0,134337.0,476008.43,155302.0,,3733.0,138.0,41.0,450.0,0.30666666666666664
11,ML.DCE,20230421,3619.0,3620.0,3609.0,3639.0,3531.0,3537.0,3586.0,-83.0,-34.0,183533.0,658240.66,191236.0,,3800.0,263.0,58.0,441.0,0.5963718820861678
