,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,shift_close,numerator,abs_change,denominator,er
0,JDL.DCE,20230511,4250.0,4244.0,4250.0,4250.0,4240.0,4250.0,4244.0,6.0,0.0,8.0,33.95,383.0,,,,,,
1,JDL.DCE,20230510,4242.0,4235.0,4246.0,4250.0,4231.0,4250.0,4244.0,15.0,9.0,6.0,25.47,391.0,,,,0.0,,
2,JDL.DCE,20230509,4231.0,4230.0,4229.0,4250.0,4228.0,4242.0,4235.0,12.0,5.0,14.0,59.3,393.0,,,,8.0,,
3,JDL.DCE,20230508,4296.0,4313.0,4173.0,4266.0,4173.0,4231.0,4230.0,-82.0,-83.0,45.0,190.36,402.0,,,,11.0,,
4,JDL.DCE,20230505,4309.0,4309.0,4266.0,4318.0,4266.0,4296.0,4313.0,-13.0,4.0,54.0,232.9,419.0,,,,65.0,,
5,JDL.DCE,20230504,4251.0,4241.0,4241.0,4339.0,4241.0,4309.0,4309.0,68.0,68.0,606.0,2611.5,464.0,,,,13.0,,
6,JDL.DCE,20230428,4269.0,4262.0,4269.0,4292.0,4183.0,4251.0,4241.0,-11.0,-21.0,9256.0,39258.27,912.0,,,,58.0,,
7,JDL.DCE,20230427,4246.0,4251.0,4230.0,4285.0,4213.0,4269.0,4262.0,18.0,11.0,4414.0,18814.7,8994.0,,,,18.0,,
8,JDL.DCE,20230426,4495.0,4271.0,4271.0,4272.0,4238.0,4246.0,4251.0,-25.0,-20.0,3940.0,16751.62,11958.0,,,,23.0,,
9,JDL.DCE,20230425,4499.0,4526.0,,,,4495.0,4495.0,-31.0,-31.0,0.0,0.0,0.0,,,,249.0,,
10,JDL.DCE,20230424,4550.0,4543.0,4550.0,4550.0,4485.0,4499.0,4526.0,-44.0,-17.0,7.0,31.68,79.0,,4250.0,249.0,4.0,449.0,0.5545657015590201
11,JDL.DCE,20230421,4450.0,4507.0,4500.0,4550.0,4500.0,4550.0,4543.0,43.0,36.0,8.0,36.35,123.0,,4250.0,300.0,51.0,500.0,0.6
12,JDL.DCE,20230420,4500.0,4500.0,4650.0,4650.0,4450.0,4450.0,4507.0,-50.0,7.0,7.0,31.55,146.0,,4242.0,208.0,100.0,592.0,0.35135135135135137
13,JDL.DCE,20230419,4500.0,4494.0,4500.0,4500.0,4500.0,4500.0,4500.0,6.0,6.0,10.0,45.0,166.0,,4231.0,269.0,50.0,631.0,0.42630744849445323
14,JDL.DCE,20230418,4580.0,4504.0,4458.0,4500.0,4458.0,4500.0,4494.0,-4.0,-10.0,35.0,157.29,166.0,,4296.0,204.0,0.0,566.0,0.36042402826855124
15,JDL.DCE,20230417,4455.0,4453.0,4520.0,4580.0,4435.0,4580.0,4504.0,127.0,51.0,69.0,310.83,196.0,,4309.0,271.0,80.0,633.0,0.42812006319115326
16,JDL.DCE,20230414,4460.0,4435.0,4450.0,4455.0,4450.0,4455.0,4453.0,20.0,18.0,3.0,13.36,279.0,,4251.0,204.0,125.0,700.0,0.2914285714285714
17,JDL.DCE,20230413,4400.0,4443.0,4410.0,4460.0,4410.0,4460.0,4435.0,17.0,-8.0,2.0,8.87,292.0,,4269.0,191.0,5.0,687.0,0.2780203784570597
18,JDL.DCE,20230412,4417.0,4426.0,4487.0,4488.0,4400.0,4400.0,4443.0,-26.0,17.0,20.0,88.88,293.0,,4246.0,154.0,60.0,724.0,0.212707182320442
19,JDL.DCE,20230411,4400.0,4439.0,4420.0,4444.0,4417.0,4417.0,4426.0,-22.0,-13.0,52.0,230.2,303.0,,4495.0,78.0,17.0,492.0,0.15853658536585366
20,JDL.DCE,20230410,4396.0,4438.0,4448.0,4450.0,4400.0,4400.0,4439.0,-38.0,1.0,35.0,155.4,367.0,,4499.0,99.0,17.0,505.0,0.19603960396039605
21,JDL.DCE,20230407,4379.0,4379.0,4450.0,4450.0,4395.0,4396.0,4438.0,17.0,59.0,10.0,44.39,396.0,,4550.0,154.0,4.0,458.0,0.33624454148471616
22,JDL.DCE,20230406,4386.0,4376.0,4375.0,4380.0,4375.0,4379.0,4379.0,3.0,3.0,18.0,78.83,419.0,,4450.0,71.0,17.0,375.0,0.18933333333333333
23,JDL.DCE,20230404,4371.0,4363.0,4370.0,4386.0,4370.0,4386.0,4376.0,23.0,13.0,16.0,70.03,440.0,,4500.0,114.0,7.0,332.0,0.3433734939759036
24,JDL.DCE,20230403,4314.0,4404.0,4320.0,4440.0,4320.0,4371.0,4363.0,-33.0,-41.0,329.0,1435.49,446.0,,4500.0,129.0,15.0,347.0,0.37175792507204614
25,JDL.DCE,20230331,4405.0,4410.0,4412.0,4459.0,4313.0,4314.0,4404.0,-96.0,-6.0,4246.0,18702.29,670.0,,4580.0,266.0,57.0,324.0,0.8209876543209876
26,JDL.DCE,20230330,4415.0,4411.0,4406.0,4424.0,4399.0,4405.0,4410.0,-6.0,-1.0,379.0,1671.49,3630.0,,4455.0,50.0,91.0,290.0,0.1724137931034483
27,JDL.DCE,20230329,4534.0,4395.0,4404.0,4427.0,4404.0,4415.0,4411.0,20.0,16.0,241.0,1063.28,3766.0,,4460.0,45.0,10.0,295.0,0.15254237288135594
28,JDL.DCE,20230328,4555.0,4555.0,,,,4534.0,4534.0,-21.0,-21.0,0.0,0.0,0.0,,4400.0,134.0,119.0,354.0,0.3785310734463277
29,JDL.DCE,20230327,4400.0,4355.0,4555.0,4555.0,4555.0,4555.0,4555.0,200.0,200.0,2.0,9.11,37.0,,4417.0,138.0,21.0,358.0,0.3854748603351955
30,JDL.DCE,20230324,4290.0,4342.0,4245.0,4400.0,4245.0,4400.0,4355.0,58.0,13.0,9.0,39.2,41.0,,4400.0,0.0,155.0,496.0,0.0
31,JDL.DCE,20230323,4439.0,4463.0,4438.0,4438.0,4290.0,4290.0,4342.0,-173.0,-121.0,6.0,26.06,46.0,,4396.0,106.0,110.0,602.0,0.1760797342192691
32,JDL.DCE,20230322,4569.0,4582.0,4488.0,4488.0,4439.0,4439.0,4463.0,-143.0,-119.0,4.0,17.85,48.0,,4379.0,60.0,149.0,734.0,0.08174386920980926
33,JDL.DCE,20230321,4600.0,4602.0,4649.0,4650.0,4564.0,4569.0,4582.0,-33.0,-20.0,40.0,183.3,76.0,,4386.0,183.0,130.0,857.0,0.21353558926487748
34,JDL.DCE,20230320,4581.0,4581.0,4640.0,4640.0,4598.0,4600.0,4602.0,19.0,21.0,15.0,69.03,117.0,,4371.0,229.0,31.0,873.0,0.2623138602520046
35,JDL.DCE,20230317,4581.0,4581.0,,,,4581.0,4581.0,0.0,0.0,0.0,0.0,136.0,,4314.0,267.0,19.0,835.0,0.3197604790419162
36,JDL.DCE,20230316,4561.0,4534.0,4581.0,4581.0,4581.0,4581.0,4581.0,47.0,47.0,2.0,9.16,136.0,,4405.0,176.0,0.0,744.0,0.23655913978494625
37,JDL.DCE,20230315,4602.0,4574.0,4571.0,4649.0,4490.0,4561.0,4534.0,-13.0,-40.0,14.0,63.48,138.0,,4415.0,146.0,20.0,754.0,0.19363395225464192
38,JDL.DCE,20230314,4460.0,4460.0,4523.0,4602.0,4465.0,4602.0,4574.0,142.0,114.0,15.0,68.62,130.0,,4534.0,68.0,41.0,676.0,0.10059171597633136
39,JDL.DCE,20230313,4400.0,4410.0,4472.0,4472.0,4460.0,4460.0,4460.0,50.0,50.0,21.0,93.67,142.0,,4555.0,95.0,142.0,797.0,0.1191969887076537
40,JDL.DCE,20230310,4466.0,4424.0,4348.0,4460.0,4346.0,4400.0,4410.0,-24.0,-14.0,23.0,101.45,153.0,,4400.0,0.0,60.0,702.0,0.0
41,JDL.DCE,20230309,4428.0,4402.0,4488.0,4488.0,4335.0,4466.0,4424.0,64.0,22.0,16.0,70.79,165.0,,4290.0,176.0,66.0,658.0,0.2674772036474164
42,JDL.DCE,20230308,4438.0,4416.0,4398.0,4428.0,4393.0,4428.0,4402.0,12.0,-14.0,11.0,48.43,155.0,,4439.0,11.0,38.0,547.0,0.02010968921389397
43,JDL.DCE,20230307,4412.0,4412.0,4438.0,4438.0,4372.0,4438.0,4416.0,26.0,4.0,3.0,13.25,163.0,,4569.0,131.0,10.0,427.0,0.30679156908665106
44,JDL.DCE,20230306,4363.0,4354.0,4412.0,4412.0,4412.0,4412.0,4412.0,58.0,58.0,6.0,26.47,163.0,,4600.0,188.0,26.0,422.0,0.44549763033175355
45,JDL.DCE,20230303,4365.0,4358.0,4350.0,4363.0,4350.0,4363.0,4354.0,5.0,-4.0,3.0,13.06,166.0,,4581.0,218.0,49.0,452.0,0.4823008849557522
46,JDL.DCE,20230302,4363.0,4368.0,4350.0,4365.0,4341.0,4365.0,4358.0,-3.0,-10.0,20.0,87.17,164.0,,4581.0,216.0,2.0,454.0,0.47577092511013214
47,JDL.DCE,20230301,4377.0,4339.0,4370.0,4370.0,4343.0,4363.0,4368.0,24.0,29.0,103.0,449.93,171.0,,4561.0,198.0,2.0,436.0,0.4541284403669725
