,fitness,expression,depth,length
alpha_1,0.0045577506479511885,"sub(open, TA_HT_TRENDLINE(low))",2,4
alpha_9,0.003032544379697388,TA_HT_TRENDLINE(volume),1,2
alpha_6,-0.0007876556753539567,TA_HT_TRENDLINE(log(volume)),2,3
alpha_24,-0.0017640693082286527,TA_HT_DCPHASE(close),1,2
alpha_12,-0.0019674556203026113,TA_HT_TRENDLINE(elu(volume)),2,3
alpha_8,-0.0019674556203026113,TA_HT_TRENDLINE(abs(volume)),2,3
alpha_13,-0.0028050880669361934,TA_HT_TRENDLINE(TA_HT_TRENDLINE(volume)),2,3
alpha_50,-0.002855389843554418,TA_HT_DCPHASE(open),1,2
alpha_3,-0.003013080682186798,"TA_HT_TRENDLINE(sub(open, low))",2,4
alpha_4,-0.004455349081742577,"div(TA_HT_TRENDLINE(volume), close)",2,4
alpha_5,-0.004686021093534309,"TA_HT_TRENDLINE(div(volume, close))",2,4
alpha_17,-0.00489396128643213,"sub(open, low)",1,3
alpha_2,-0.005268070746076985,"TA_HT_TRENDLINE(log(sub(open, low)))",3,5
alpha_23,-0.006387297878365264,TA_HT_TRENDLINE(TA_HT_DCPHASE(open)),2,3
alpha_7,-0.006923829071259147,TA_HT_TRENDLINE(TA_HT_TRENDLINE(log(volume))),3,4
alpha_37,-0.007517008476494636,TA_HT_TRENDLINE(TA_HT_DCPHASE(close)),2,3
alpha_38,-0.007615694045006706,"div(open, close)",1,3
alpha_39,-0.0077557463488459304,"div(volume, close)",1,3
alpha_40,-0.007813642667477567,log(TA_HT_DCPERIOD(low)),2,3
alpha_14,-0.009893961286432131,"abs(sub(open, low))",2,4
