,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002076.SZ,20230420,2.89,2.89,2.79,2.8,2.9,-0.1,-3.4483,257475.85,72619.197
1,002076.SZ,20230419,3.02,3.03,2.86,2.9,3.03,-0.13,-4.2904,341623.74,99523.284
2,002076.SZ,20230418,3.09,3.18,3.0,3.03,3.12,-0.09,-2.8846,369371.78,113304.882
3,002076.SZ,20230417,2.97,3.24,2.95,3.12,3.0,0.12,4.0,510149.2,158101.901
4,002076.SZ,20230414,2.83,3.11,2.74,3.0,2.83,0.17,6.0071,533660.4,155839.127
5,002076.SZ,20230413,2.88,2.93,2.7,2.83,2.88,-0.05,-1.7361,645116.62,181246.125
6,002076.SZ,20230411,2.83,2.9,2.77,2.88,2.83,0.05,1.7668,150395.48,42690.863
7,002076.SZ,20230410,2.88,2.91,2.82,2.83,2.9,-0.07,-2.4138,135498.98,38798.656
8,002076.SZ,20230407,2.82,2.92,2.81,2.9,2.81,0.09,3.2028,167044.04,47977.113
9,002076.SZ,20230406,2.82,2.84,2.79,2.81,2.83,-0.02,-0.7067,100838.66,28373.044
10,002076.SZ,20230404,2.75,2.83,2.75,2.83,2.78,0.05,1.7986,176627.91,49507.326
11,002076.SZ,20230403,2.73,2.83,2.73,2.78,2.74,0.04,1.4599,154061.44,42758.052
12,002076.SZ,20230331,2.7,2.76,2.69,2.74,2.73,0.01,0.3663,190435.33,51935.728
13,002076.SZ,20230330,2.82,2.84,2.73,2.73,2.87,-0.14,-4.878,262834.17,72391.208
14,002076.SZ,20230329,2.76,2.88,2.74,2.87,2.75,0.12,4.3636,271337.19,76340.238
15,002076.SZ,20230328,2.78,2.78,2.71,2.75,2.77,-0.02,-0.722,126187.58,34624.252
16,002076.SZ,20230327,2.79,2.82,2.74,2.77,2.78,-0.01,-0.3597,102437.33,28397.128
17,002076.SZ,20230324,2.8,2.81,2.72,2.78,2.81,-0.03,-1.0676,137265.0,37964.585
18,002076.SZ,20230323,2.79,2.84,2.78,2.81,2.78,0.03,1.0791,105859.94,29689.96
19,002076.SZ,20230322,2.82,2.83,2.76,2.78,2.82,-0.04,-1.4184,132531.19,36920.864
20,002076.SZ,20230321,2.81,2.87,2.79,2.82,2.8,0.02,0.7143,144116.86,40747.772
21,002076.SZ,20230320,2.85,2.86,2.78,2.8,2.85,-0.05,-1.7544,119481.14,33593.918
22,002076.SZ,20230317,2.89,2.9,2.83,2.85,2.87,-0.02,-0.6969,132876.0,37974.446
23,002076.SZ,20230316,2.85,2.96,2.85,2.87,2.87,0.0,0.0,188432.19,54792.648
24,002076.SZ,20230315,2.8,2.88,2.8,2.87,2.78,0.09,3.2374,145049.76,41241.894
25,002076.SZ,20230314,2.87,2.87,2.72,2.78,2.85,-0.07,-2.4561,210757.71,58505.235
26,002076.SZ,20230313,2.89,2.93,2.8,2.85,2.91,-0.06,-2.0619,181885.26,51851.249
27,002076.SZ,20230310,2.98,3.03,2.9,2.91,2.97,-0.06,-2.0202,219909.0,65237.844
28,002076.SZ,20230309,2.98,3.0,2.96,2.97,2.98,-0.01,-0.3356,100581.27,29914.537
29,002076.SZ,20230308,2.97,3.02,2.93,2.98,2.99,-0.01,-0.3344,189431.87,56341.376
30,002076.SZ,20230307,2.96,3.04,2.94,2.99,2.96,0.03,1.0135,197184.46,58997.017
31,002076.SZ,20230306,2.95,2.98,2.9,2.96,2.95,0.01,0.339,155010.51,45621.615
32,002076.SZ,20230303,2.89,2.98,2.86,2.95,2.85,0.1,3.5088,262165.05,76705.696
33,002076.SZ,20230302,2.89,2.95,2.81,2.85,2.91,-0.06,-2.0619,268368.85,77188.892
34,002076.SZ,20230301,2.88,2.92,2.84,2.91,2.87,0.04,1.3937,133514.41,38480.385
35,002076.SZ,20230228,2.88,2.9,2.82,2.87,2.88,-0.01,-0.3472,131525.69,37601.385
36,002076.SZ,20230227,2.91,2.93,2.86,2.88,2.89,-0.01,-0.346,106595.05,30895.896
37,002076.SZ,20230224,2.89,2.93,2.86,2.89,2.9,-0.01,-0.3448,122709.52,35464.328
38,002076.SZ,20230223,2.86,2.9,2.86,2.9,2.86,0.04,1.3986,98875.6,28513.993
39,002076.SZ,20230222,2.83,2.89,2.82,2.86,2.84,0.02,0.7042,143958.43,41166.413
40,002076.SZ,20230221,2.77,2.88,2.75,2.84,2.76,0.08,2.8986,240026.39,67596.268
41,002076.SZ,20230220,2.74,2.77,2.67,2.76,2.74,0.02,0.7299,151155.46,41099.721
42,002076.SZ,20230217,2.77,2.82,2.71,2.74,2.76,-0.02,-0.7246,200533.16,55275.826
43,002076.SZ,20230216,2.77,2.83,2.74,2.76,2.76,0.0,0.0,221393.97,61753.881
