,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300750.SZ,20230420,410.3,410.3,396.0,396.0,410.37,-14.37,-3.5017,158437.9,6335888.039
1,300750.SZ,20230419,414.5,414.84,406.0,410.37,409.0,1.37,0.335,116223.55,4770263.895
2,300750.SZ,20230418,407.89,418.0,407.29,409.0,407.88,1.12,0.2746,140605.17,5793046.444
3,300750.SZ,20230417,396.33,410.0,395.8,407.88,397.29,10.59,2.6656,176631.58,7173869.979
4,300750.SZ,20230414,387.9,402.37,387.5,397.29,388.26,9.03,2.3258,159236.54,6337229.777
5,300750.SZ,20230413,390.0,391.36,385.0,388.26,392.01,-3.75,-0.9566,100464.45,3896072.549
6,300750.SZ,20230412,400.0,400.0,392.0,392.01,399.95,-7.94,-1.9852,87367.33,3443470.021
7,300750.SZ,20230411,400.01,409.87,398.0,399.95,402.01,-2.06,-0.5124,143662.94,5785418.238
8,300750.SZ,20230410,393.89,402.11,388.0,402.01,390.51,11.5,2.9449,172379.41,6844475.287
9,300750.SZ,20230407,386.15,394.0,384.36,390.51,388.02,2.49,0.6417,100581.14,3923098.225
10,300750.SZ,20230406,384.0,389.55,380.15,388.02,388.0,0.02,0.0052,105815.89,4064823.971
11,300750.SZ,20230404,399.99,399.99,381.81,388.0,398.71,-10.71,-2.6862,200897.01,7782699.959
12,300750.SZ,20230403,406.11,406.8,396.0,398.71,406.05,-7.34,-1.8077,167632.18,6698371.581
13,300750.SZ,20230331,404.5,414.98,404.5,406.05,400.11,5.94,1.4846,196075.72,8033742.42
14,300750.SZ,20230330,400.99,402.0,397.35,400.11,400.18,-0.07,-0.0175,86819.22,3465633.465
15,300750.SZ,20230329,395.21,404.28,393.03,400.18,392.6,7.58,1.9307,137546.11,5508159.641
16,300750.SZ,20230328,394.0,396.18,390.2,392.6,396.5,-3.9,-0.9836,75905.61,2976678.086
17,300750.SZ,20230327,391.11,398.6,384.42,396.5,393.58,2.92,0.7419,161157.21,6311744.703
18,300750.SZ,20230324,398.4,402.26,390.0,393.58,398.38,-4.8,-1.2049,117652.52,4645723.682
19,300750.SZ,20230323,398.0,401.92,394.43,398.38,399.2,-0.82,-0.2054,100288.67,3981184.718
20,300750.SZ,20230322,398.74,408.66,397.02,399.2,393.78,5.42,1.3764,176872.41,7125770.901
21,300750.SZ,20230321,382.2,394.18,378.7,393.78,379.95,13.83,3.64,172923.73,6720740.862
22,300750.SZ,20230320,374.54,384.6,368.0,379.95,375.98,3.97,1.0559,158369.74,6002000.932
23,300750.SZ,20230317,389.0,389.99,375.5,375.98,385.11,-9.13,-2.3708,201447.47,7641555.518
24,300750.SZ,20230316,384.0,389.91,383.5,385.11,388.0,-2.89,-0.7448,101131.55,3897781.768
25,300750.SZ,20230315,393.0,395.74,383.62,388.0,387.23,0.77,0.1988,129682.91,5046344.791
26,300750.SZ,20230314,390.88,391.0,378.0,387.23,392.0,-4.77,-1.2168,184846.63,7095007.8
27,300750.SZ,20230313,403.03,406.66,390.0,392.0,405.79,-13.79,-3.3983,188331.97,7424578.06
28,300750.SZ,20230310,401.69,409.93,395.9,405.79,397.01,8.78,2.2115,191425.96,7722447.89
29,300750.SZ,20230309,396.2,401.28,388.24,397.01,397.73,-0.72,-0.181,81366.84,3228769.655
30,300750.SZ,20230308,400.01,402.93,395.11,397.73,402.2,-4.47,-1.1114,81293.73,3231604.462
31,300750.SZ,20230307,404.0,408.99,401.83,402.2,408.42,-6.22,-1.5229,99183.5,4014218.859
32,300750.SZ,20230306,402.17,408.87,392.01,408.42,402.32,6.1,1.5162,166266.62,6674565.924
33,300750.SZ,20230303,402.3,405.71,400.0,402.32,400.8,1.52,0.3792,82030.9,3300669.921
34,300750.SZ,20230302,409.5,411.0,396.2,400.8,411.78,-10.98,-2.6665,161452.7,6483446.93
35,300750.SZ,20230301,403.1,414.18,403.03,411.78,403.9,7.88,1.951,126020.05,5166296.898
36,300750.SZ,20230228,403.99,408.3,401.5,403.9,401.1,2.8,0.6981,93230.92,3769996.772
37,300750.SZ,20230227,402.73,405.48,400.1,401.1,405.4,-4.3,-1.0607,92206.33,3705001.334
38,300750.SZ,20230224,411.0,411.8,404.02,405.4,413.23,-7.83,-1.8948,99893.88,4060495.07
39,300750.SZ,20230223,410.0,415.13,407.4,413.23,409.47,3.76,0.9183,95372.65,3922375.682
40,300750.SZ,20230222,409.0,414.1,406.67,409.47,415.01,-5.54,-1.3349,123639.2,5069312.344
41,300750.SZ,20230221,417.48,422.49,412.0,415.01,420.47,-5.46,-1.2985,131845.96,5490561.031
42,300750.SZ,20230220,416.0,421.88,406.33,420.47,420.19,0.28,0.0666,168298.72,6992852.567
43,300750.SZ,20230217,442.0,442.0,420.0,420.19,443.2,-23.01,-5.1918,214695.51,9171648.847
44,300750.SZ,20230216,451.99,454.5,438.0,443.2,448.6,-5.4,-1.2037,100910.69,4514542.232
45,300750.SZ,20230215,453.1,457.0,448.0,448.6,451.05,-2.45,-0.5432,77733.87,3508461.573
46,300750.SZ,20230214,469.0,469.3,445.79,451.05,460.0,-8.95,-1.9457,128121.9,5816558.282
47,300750.SZ,20230213,450.98,461.57,447.01,460.0,445.95,14.05,3.1506,134185.43,6143224.997
48,300750.SZ,20230210,453.0,455.68,445.01,445.95,452.99,-7.04,-1.5541,83977.9,3773477.539
49,300750.SZ,20230209,447.21,455.99,441.5,452.99,447.21,5.78,1.2925,80314.4,3627030.215
50,300750.SZ,20230208,449.6,453.45,445.0,447.21,448.1,-0.89,-0.1986,73298.53,3293742.444
51,300750.SZ,20230207,450.49,453.8,444.66,448.1,450.6,-2.5,-0.5548,72112.37,3231274.19
52,300750.SZ,20230206,452.0,453.52,441.09,450.6,456.2,-5.6,-1.2275,107529.18,4811799.061
53,300750.SZ,20230203,464.0,466.2,451.38,456.2,466.1,-9.9,-2.124,120200.01,5495174.744
54,300750.SZ,20230202,478.87,479.7,464.88,466.1,476.8,-10.7,-2.2441,134557.12,6339908.128
55,300750.SZ,20230201,470.99,479.36,470.48,476.8,465.2,11.6,2.4936,115021.67,5464594.494
56,300750.SZ,20230131,469.88,477.5,462.44,465.2,470.65,-5.45,-1.158,139540.34,6565989.151
57,300750.SZ,20230130,479.37,490.56,467.47,470.65,452.0,18.65,4.1261,211743.07,10102385.367
58,300750.SZ,20230120,446.77,452.2,444.26,452.0,446.77,5.23,1.1706,107656.5,4841543.971
59,300750.SZ,20230119,445.33,451.5,442.19,446.77,448.5,-1.73,-0.3857,73099.9,3254123.919
60,300750.SZ,20230118,448.51,450.88,443.11,448.5,445.61,2.89,0.6485,73443.25,3292955.688
61,300750.SZ,20230117,446.93,451.87,443.61,445.61,446.63,-1.02,-0.2284,98958.01,4416180.658
62,300750.SZ,20230116,438.5,449.5,435.11,446.63,439.5,7.13,1.6223,168090.99,7451169.295
63,300750.SZ,20230113,444.0,452.52,430.0,439.5,433.5,6.0,1.3841,207574.96,9140635.814
64,300750.SZ,20230112,432.0,438.78,429.68,433.5,427.86,5.64,1.3182,111367.98,4837460.193
65,300750.SZ,20230111,430.5,436.0,424.0,427.86,432.0,-4.14,-0.9583,122418.06,5252326.721
66,300750.SZ,20230110,417.66,435.0,413.3,432.0,416.6,15.4,3.6966,182606.52,7781973.49
67,300750.SZ,20230109,422.88,422.88,414.0,416.6,416.66,-0.06,-0.0144,128403.02,5373244.036
68,300750.SZ,20230106,406.0,424.98,404.06,416.66,407.51,9.15,2.2453,183924.95,7641585.134
69,300750.SZ,20230105,388.0,410.17,385.01,407.51,384.01,23.5,6.1196,260432.6,10371713.858
70,300750.SZ,20230104,386.5,387.0,382.05,384.01,389.64,-5.63,-1.4449,196022.62,7527791.631
