,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_basis,dom_basis,near_basis_rate,dom_basis_rate,date
0,C,2667.14,c2201,2618.0,c2205,2695.0,-49.13999999999987,27.860000000000127,-0.0184242296992283,0.01044564589785324,20220104
1,CS,3300.0,cs2201,2977.0,cs2203,2997.0,-323.0,-303.0,-0.0978787878787879,-0.0918181818181818,20220104
2,A,6070.0,a2201,5929.0,a2203,5798.0,-141.0,-272.0,-0.02322899505766063,-0.04481054365733117,20220104
3,M,3568.0,m2201,3403.0,m2205,3247.0,-165.0,-321.0,-0.04624439461883412,-0.08996636771300448,20220104
4,Y,9638.0,y2201,9132.0,y2205,8934.0,-506.0,-704.0,-0.05250051877982986,-0.07304420004150236,20220104
5,P,9750.0,p2201,9630.0,p2205,8660.0,-120.0,-1090.0,-0.012307692307692353,-0.1117948717948718,20220104
6,JD,4585.0,jd2201,4099.0,jd2205,4111.0,-486.0,-474.0,-0.10599781897491822,-0.10338058887677204,20220104
7,L,8700.0,l2201,8750.0,l2205,8720.0,50.0,20.0,0.005747126436781658,0.0022988505747125743,20220104
8,V,8320.0,v2201,8462.0,v2205,8546.0,142.0,226.0,0.017067307692307798,0.027163461538461497,20220104
9,PP,8130.0,pp2201,8308.0,pp2205,8314.0,178.0,184.0,0.021894218942189347,0.022632226322263138,20220104
10,I,816.0,i2201,680.5,i2205,679.5,-135.5,-136.5,-0.16605392156862742,-0.16727941176470584,20220104
11,EG,4908.33,eg2201,4971.0,eg2205,5055.0,62.67000000000007,146.67000000000007,0.01276809016508662,0.029881853909578204,20220104
12,EB,8400.0,eb2201,8542.0,eb2202,8618.0,142.0,218.0,0.016904761904761978,0.02595238095238095,20220104
13,PG,5210.0,pg2201,4818.0,pg2202,4819.0,-392.0,-391.0,-0.07523992322456818,-0.07504798464491358,20220104
14,LH,16.17,lh2201,13785.0,lh2203,14245.0,13768.83,14228.83,851.5046382189238,879.9523809523808,20220104
15,WH,2834.0,WH201,2841.0,WH205,2956.0,7.0,122.0,0.0024700070571630484,0.04304869442484116,20220104
16,PM,2834.0,PM201,2422.0,PM201,2422.0,-412.0,-412.0,-0.14537755822159493,-0.14537755822159493,20220104
17,CF,22289.17,CF201,21850.0,CF205,20675.0,-439.16999999999825,-1614.1699999999983,-0.019703290880728086,-0.0724194754672336,20220104
